subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
25,15,a,EC_only,nonword,0,makan,none,filler,no,no,yes,no,1294395,1296412
25,15,a,EC_only,nonword,1,roosle,negative,critical,no,yes,no,no,1297445,1297916
25,15,a,EC_only,nonword,2,babit,negative,critical,yes,no,no,no,1298950,1300020
25,15,a,EC_only,nonword,3,avouco,positive,critical,no,no,yes,no,1301053,1301761
25,15,a,EC_only,nonword,4,tafta,none,filler,no,yes,no,no,1302794,1303449
25,15,a,EC_only,nonword,5,trelle,negative,critical,no,no,yes,no,1304483,1305243
25,15,a,EC_only,nonword,6,parlic,negative,critical,yes,no,no,no,1306276,1307087
25,15,a,EC_only,nonword,7,naptor,none,filler,no,no,yes,no,1308120,1308639
25,15,a,EC_only,nonword,8,hesire,positive,critical,no,yes,no,no,1309672,1310703
25,15,a,EC_only,nonword,9,lobee,negative,control,no,no,yes,no,1311735,1312860
25,15,a,EC_only,nonword,10,seloom,positive,critical,yes,no,no,no,1313892,1314572
25,15,a,EC_only,nonword,11,zillie,none,filler,no,no,yes,no,1315614,1316322
25,15,a,EC_only,nonword,12,pubio,none,filler,yes,no,no,no,1317355,1318169
25,15,a,EC_only,nonword,13,coskie,positive,control,no,yes,no,no,1319202,1319873
25,15,a,EC_only,nonword,14,tavoo,none,filler,no,no,yes,no,1320905,1321783
25,15,a,EC_only,nonword,15,altine,positive,critical,yes,no,no,no,1322815,1323674
