subject_nr,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,correct_opt,correct_type,im_opt_1, im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_im,time_blank
54,EC_only,nonword,0,babit,negative,critical,Gift,word,9331.png,9180.png,9007.png,Horror,Gift,Neid,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1593791,1606101
54,EC_only,nonword,1,parlic,neutral,filler,Bein,word,neu2575.png,neu2635.png,neu5510.png,Bein,Knopf,Tuch,picture,picture,picture,word,word,word,no,no,yes,no,no,no,1607149,1611961
54,EC_only,nonword,2,makan,negative,control,Unglück,word,9500.png,9280.png,9920.png,Unglück,Eiter,Horror,picture,picture,picture,word,word,word,no,no,no,yes,no,no,1613001,1617658
54,EC_only,nonword,3,pubio,neutral,filler,Sessel,word,neu7004.png,neu7820.png,neu5510.png,Sessel,Glas,Klinke,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1618698,1623184
54,EC_only,nonword,4,trelle,positive,critical,5910.png,picture,1650.png,5910.png,8370.png,Strand,Bücher,Lachen,picture,picture,picture,word,word,word,no,no,no,no,no,no,1624224,1627829
54,EC_only,nonword,5,seloom,neutral,filler,Wand,word,neu2372.png,neu1616.png,neu2220.png,Wand,Taste,Glas,picture,picture,picture,word,word,word,no,no,yes,no,no,no,1628869,1631239
54,EC_only,nonword,6,tavoo,negative,critical,8485.png,picture,8485.png,7380.png,9630.png,Tyrann,Angst,Abscheu,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1632278,1639536
54,EC_only,nonword,7,naptor,negative,critical,6530.png,picture,6530.png,6570.1.png,6831.png,Folter,Hass,Betrug,picture,picture,picture,word,word,word,yes,no,no,no,no,no,1640575,1644990
54,EC_only,nonword,8,lobee,positive,control,2791.png,picture,2791.png,2550.png,2070.png,Strand,Musik,Geburt,picture,picture,picture,word,word,word,no,no,no,no,yes,no,1646030,1652454
54,EC_only,nonword,9,hesire,positive,critical,Ruhe,word,7330.png,8420.png,4622.png,Brief,Ruhe,Musik,picture,picture,picture,word,word,word,yes,no,no,no,no,no,1653502,1660358
54,EC_only,nonword,10,avouco,neutral,filler,neu2220.png,picture,neu2580.png,neu2372.png,neu2220.png,Klinke,Hand,Wand,picture,picture,picture,word,word,word,no,no,no,yes,no,no,1661398,1667230
54,EC_only,nonword,11,coskie,negative,critical,Unfall,word,9340.png,2276.png,2900.png,Folter,Unfall,Waffe,picture,picture,picture,word,word,word,no,no,no,no,no,no,1668270,1671564
54,EC_only,nonword,12,altine,neutral,filler,Knopf,word,neu2220.png,neu2580.png,neu2372.png,Lampe,Klinke,Knopf,picture,picture,picture,word,word,word,no,no,no,yes,no,no,1672604,1676770
54,EC_only,nonword,13,tafta,neutral,filler,Lampe,word,neu5740.png,neu5510.png,neu2372.png,Taste,Schrank,Lampe,picture,picture,picture,word,word,word,no,no,yes,no,no,no,1677810,1684093
54,EC_only,nonword,14,zillie,positive,critical,Wiese,word,2550.png,8170.png,1650.png,Spaß,Wärme,Wiese,picture,picture,picture,word,word,word,no,no,no,no,no,no,1685132,1688450
54,EC_only,nonword,15,roosle,positive,critical,2091.png,picture,2209.png,7580.png,2091.png,Mutter,Brief,Bücher,picture,picture,picture,word,word,word,no,no,no,no,no,no,1689490,1691746
