subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
29,20,a,EC_subj_obj,pokemon,0,4_mittel.png,negative,critical,18,2035916,2039495
29,20,a,EC_subj_obj,pokemon,1,9_mittel.png,positive,control,9,2040527,2044253
29,20,a,EC_subj_obj,pokemon,2,2_mittel.png,negative,critical,17,2045285,2047931
29,20,a,EC_subj_obj,pokemon,3,15_mittel.png,negative,critical,10,2048964,2052744
29,20,a,EC_subj_obj,pokemon,4,18_mittel.png,negative,critical,4,2053776,2055213
29,20,a,EC_subj_obj,pokemon,5,16_mittel.png,positive,critical,8,2056245,2058023
29,20,a,EC_subj_obj,pokemon,6,22_mittel.png,positive,critical,10,2059055,2061537
29,20,a,EC_subj_obj,pokemon,7,39_mittel.png,none,filler,6,2062569,2064384
29,20,a,EC_subj_obj,pokemon,8,25_mittel.png,negative,control,3,2065416,2067567
29,20,a,EC_subj_obj,pokemon,9,11_mittel.png,none,filler,15,2068599,2070926
29,20,a,EC_subj_obj,pokemon,10,37_mittel.png,positive,critical,14,2071957,2074762
29,20,a,EC_subj_obj,pokemon,11,23_mittel.png,none,filler,12,2075794,2077909
29,20,a,EC_subj_obj,pokemon,12,10_mittel.png,positive,critical,18,2078940,2081180
29,20,a,EC_subj_obj,pokemon,13,5_mittel.png,none,filler,16,2082212,2085284
29,20,a,EC_subj_obj,pokemon,14,40_mittel.png,none,filler,8,2086315,2089317
29,20,a,EC_subj_obj,pokemon,15,24_mittel.png,none,filler,5,2090348,2093959
