subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
100,8,a,EC_only,nonword,0,tavoo,negative,critical,17,1520622,1525227
100,8,a,EC_only,nonword,1,naptor,none,filler,3,1526260,1532574
100,8,a,EC_only,nonword,2,seloom,negative,critical,12,1533606,1539249
100,8,a,EC_only,nonword,3,pubio,positive,control,11,1540281,1548432
100,8,a,EC_only,nonword,4,trelle,none,filler,4,1549463,1551721
100,8,a,EC_only,nonword,5,altine,negative,critical,1,1552753,1557011
100,8,a,EC_only,nonword,6,hesire,none,filler,4,1558043,1563434
100,8,a,EC_only,nonword,7,tafta,positive,critical,12,1564466,1569503
100,8,a,EC_only,nonword,8,makan,none,filler,10,1570535,1577490
100,8,a,EC_only,nonword,9,roosle,none,filler,10,1578521,1581532
100,8,a,EC_only,nonword,10,zillie,none,filler,6,1582563,1587667
100,8,a,EC_only,nonword,11,lobee,positive,critical,4,1588698,1590672
100,8,a,EC_only,nonword,12,parlic,positive,critical,9,1591703,1593819
100,8,a,EC_only,nonword,13,coskie,positive,critical,7,1594851,1599768
100,8,a,EC_only,nonword,14,babit,negative,critical,7,1600801,1604533
100,8,a,EC_only,nonword,15,avouco,negative,control,4,1605564,1608078
