subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
25,15,a,EC_only,nonword,0,naptor,none,filler,11,1255690,1258536
25,15,a,EC_only,nonword,1,avouco,positive,critical,12,1259569,1260278
25,15,a,EC_only,nonword,2,babit,negative,critical,15,1261310,1262770
25,15,a,EC_only,nonword,3,zillie,none,filler,2,1263802,1264512
25,15,a,EC_only,nonword,4,tavoo,none,filler,18,1265544,1266984
25,15,a,EC_only,nonword,5,lobee,negative,control,10,1268016,1268847
25,15,a,EC_only,nonword,6,roosle,negative,critical,16,1269879,1270804
25,15,a,EC_only,nonword,7,trelle,negative,critical,5,1271836,1272775
25,15,a,EC_only,nonword,8,makan,none,filler,17,1273806,1274626
25,15,a,EC_only,nonword,9,pubio,none,filler,8,1275657,1277193
25,15,a,EC_only,nonword,10,parlic,negative,critical,16,1278224,1279336
25,15,a,EC_only,nonword,11,tafta,none,filler,5,1280367,1281239
25,15,a,EC_only,nonword,12,seloom,positive,critical,18,1282271,1283211
25,15,a,EC_only,nonword,13,coskie,positive,control,5,1284243,1285283
25,15,a,EC_only,nonword,14,hesire,positive,critical,18,1286314,1287291
25,15,a,EC_only,nonword,15,altine,positive,critical,6,1288323,1289186
