subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
23,5,a,EC_only,nonword,0,makan,negative,critical,8,1496392,1499747
23,5,a,EC_only,nonword,1,tafta,negative,control,5,1500779,1503136
23,5,a,EC_only,nonword,2,pubio,positive,critical,15,1504168,1506027
23,5,a,EC_only,nonword,3,zillie,none,filler,2,1507059,1511136
23,5,a,EC_only,nonword,4,lobee,negative,critical,16,1512168,1513820
23,5,a,EC_only,nonword,5,naptor,positive,critical,11,1514852,1517218
23,5,a,EC_only,nonword,6,babit,none,filler,15,1518250,1524087
23,5,a,EC_only,nonword,7,altine,negative,critical,18,1525119,1526849
23,5,a,EC_only,nonword,8,parlic,positive,control,1,1527881,1529352
23,5,a,EC_only,nonword,9,tavoo,none,filler,3,1530384,1531348
23,5,a,EC_only,nonword,10,hesire,positive,critical,16,1532380,1533841
23,5,a,EC_only,nonword,11,seloom,none,filler,15,1534873,1537247
23,5,a,EC_only,nonword,12,trelle,negative,critical,6,1538279,1539586
23,5,a,EC_only,nonword,13,coskie,none,filler,6,1540618,1541702
23,5,a,EC_only,nonword,14,roosle,none,filler,5,1542734,1544037
23,5,a,EC_only,nonword,15,avouco,positive,critical,15,1545069,1547277
