subject_nr,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,correct_opt,correct_type,im_opt_1, im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_im,time_blank
44,EC_subj_obj,nonword,0,parlic,neutral,filler,Sessel,word,neu7490.png,neu2575.png,neu2635.png,Sessel,Dach,Linie,picture,picture,picture,word,word,word,no,no,yes,no,no,no,2844835,2861982
44,EC_subj_obj,nonword,1,makan,neutral,filler,neu5510.png,picture,neu7004.png,neu2575.png,neu5510.png,Klinke,Sessel,Taste,picture,picture,picture,word,word,word,no,no,yes,no,no,no,2863024,2883660
44,EC_subj_obj,nonword,2,naptor,positive,critical,Scherz,word,2071.png,5830.png,2209.png,Rose,Scherz,Kuss,picture,picture,picture,word,word,word,no,no,no,no,no,no,2884700,2888217
44,EC_subj_obj,nonword,3,roosle,positive,critical,8330.png,picture,5594.png,5460.png,8330.png,Wärme,Familie,Kinder,picture,picture,picture,word,word,word,no,no,yes,no,no,no,2889257,2895264
44,EC_subj_obj,nonword,4,avouco,neutral,filler,neu2575.png,picture,neu2372.png,neu7000.png,neu2575.png,Linie,Lampe,Klinke,picture,picture,picture,word,word,word,no,no,no,no,no,no,2896309,2911032
44,EC_subj_obj,nonword,5,tavoo,negative,critical,7380.png,picture,7380.png,8485.png,9102.png,Mord,Waffe,AIDS,picture,picture,picture,word,word,word,no,no,yes,no,no,no,2912072,2922200
44,EC_subj_obj,nonword,6,hesire,neutral,filler,neu1616.png,picture,neu1616.png,neu7000.png,neu7490.png,Klinke,Linie,Hand,picture,picture,picture,word,word,word,no,no,no,no,no,no,2923243,2929722
44,EC_subj_obj,nonword,7,trelle,positive,control,2080.png,picture,2311.png,7502.png,2080.png,Freund,Paradies,Romantik,picture,picture,picture,word,word,word,no,no,no,no,yes,no,2930762,2944457
44,EC_subj_obj,nonword,8,babit,negative,critical,9006.png,picture,2375.1.png,2141.png,9006.png,Betrug,Sucht,AIDS,picture,picture,picture,word,word,word,no,no,yes,no,no,no,2945497,2949978
44,EC_subj_obj,nonword,9,tafta,neutral,filler,Tuch,word,neu7187.png,neu7004.png,neu1616.png,Hand,Tuch,Lampe,picture,picture,picture,word,word,word,no,no,no,no,no,no,2951018,2955050
44,EC_subj_obj,nonword,10,altine,negative,control,Gewalt,word,6570.1.png,2141.png,9404.png,Gewalt,Schmerz,Unfall,picture,picture,picture,word,word,word,yes,no,no,no,no,no,2956090,2961969
44,EC_subj_obj,nonword,11,zillie,positive,critical,8170.png,picture,5910.png,5460.png,8170.png,Kunst,Lachen,Wiese,picture,picture,picture,word,word,word,no,no,no,no,no,no,2963013,2968509
44,EC_subj_obj,nonword,12,pubio,negative,critical,Horror,word,9520.png,6311.png,2750.png,Frust,Horror,Gemeinheit,picture,picture,picture,word,word,word,no,no,no,yes,no,no,2969549,2982060
44,EC_subj_obj,nonword,13,lobee,positive,critical,Himmel,word,7470.png,2900.2.png,2150.png,Brief,Himmel,Sonne,picture,picture,picture,word,word,word,no,no,yes,no,no,no,2983100,2990125
44,EC_subj_obj,nonword,14,coskie,negative,critical,Ärger,word,9630.png,9180.png,9500.png,Ärger,Mord,Frust,picture,picture,picture,word,word,word,no,no,no,no,no,no,2991166,2996049
44,EC_subj_obj,nonword,15,seloom,neutral,filler,neu7640.png,picture,neu2635.png,neu2575.png,neu7640.png,Lampe,Linie,Bein,picture,picture,picture,word,word,word,no,no,yes,no,no,no,2997089,3003040
