subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
67,15,a,EC_subj_obj,nonword,0,tavoo,none,filler,12,2564944,2569115
67,15,a,EC_subj_obj,nonword,1,altine,positive,critical,15,2570147,2573360
67,15,a,EC_subj_obj,nonword,2,babit,negative,critical,4,2574392,2576683
67,15,a,EC_subj_obj,nonword,3,lobee,negative,control,12,2577715,2580759
67,15,a,EC_subj_obj,nonword,4,coskie,positive,control,15,2581790,2583714
67,15,a,EC_subj_obj,nonword,5,pubio,none,filler,16,2584746,2588300
67,15,a,EC_subj_obj,nonword,6,tafta,none,filler,10,2589331,2591983
67,15,a,EC_subj_obj,nonword,7,parlic,negative,critical,6,2593015,2596708
67,15,a,EC_subj_obj,nonword,8,avouco,positive,critical,8,2597740,2600787
67,15,a,EC_subj_obj,nonword,9,makan,none,filler,2,2601819,2605355
67,15,a,EC_subj_obj,nonword,10,hesire,positive,critical,15,2606386,2608784
67,15,a,EC_subj_obj,nonword,11,zillie,none,filler,10,2609815,2611643
67,15,a,EC_subj_obj,nonword,12,seloom,positive,critical,5,2612674,2616507
67,15,a,EC_subj_obj,nonword,13,trelle,negative,critical,8,2617538,2619778
67,15,a,EC_subj_obj,nonword,14,naptor,none,filler,10,2620810,2623545
67,15,a,EC_subj_obj,nonword,15,roosle,negative,critical,11,2624576,2627204
