subject_nr,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,correct_opt,correct_type,im_opt_1, im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_im,time_blank
25,EC_only,nonword,0,roosle,negative,critical,Abgas,word,6838.png,8485.png,2141.png,Wahnsinn,Abgas,Ärger,picture,picture,picture,word,word,word,no,no,no,yes,no,no,1548291,1561511
25,EC_only,nonword,1,pubio,neutral,filler,neu7830.png,picture,neu7004.png,neu7233.png,neu7830.png,Tuch,Glas,Taste,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1562551,1570409
25,EC_only,nonword,2,naptor,neutral,filler,Knopf,word,neu7640.png,neu7830.png,neu7233.png,Knopf,Sessel,Bein,picture,picture,picture,word,word,word,no,no,no,no,no,no,1571449,1580240
25,EC_only,nonword,3,trelle,negative,critical,Mord,word,9630.png,9330.png,9560.png,Mord,Folter,Abscheu,picture,picture,picture,word,word,word,no,no,no,no,no,no,1581280,1584985
25,EC_only,nonword,4,tavoo,neutral,filler,Hand,word,neu2372.png,neu5395.png,neu5731.png,Bein,Kreis,Hand,picture,picture,picture,word,word,word,no,no,no,no,yes,no,1586025,1596671
25,EC_only,nonword,5,coskie,positive,control,Mutter,word,1463.png,5994.png,1710.png,Meer,Mutter,Paradies,picture,picture,picture,word,word,word,yes,no,no,no,no,no,1597711,1612697
25,EC_only,nonword,6,parlic,negative,critical,9050.png,picture,8485.png,9050.png,6838.png,Neid,Pech,Tyrann,picture,picture,picture,word,word,word,no,no,no,no,no,yes,1613742,1627282
25,EC_only,nonword,7,tafta,neutral,filler,neu2372.png,picture,neu2220.png,neu2372.png,neu7550.png,Bein,Tuch,Sessel,picture,picture,picture,word,word,word,yes,no,no,no,no,no,1628322,1636682
25,EC_only,nonword,8,babit,negative,critical,2276.png,picture,9404.png,6242.png,2276.png,Absturz,Sadist,Ärger,picture,picture,picture,word,word,word,no,no,no,no,no,no,1637722,1640982
25,EC_only,nonword,9,zillie,neutral,filler,neu7000.png,picture,neu7640.png,neu7000.png,neu7080.png,Bein,Glas,Tuch,picture,picture,picture,word,word,word,no,no,no,no,no,no,1642022,1649605
25,EC_only,nonword,10,lobee,negative,control,9265.png,picture,9265.png,9920.png,3160.png,Abscheu,Teufel,Gemeinheit,picture,picture,picture,word,word,word,no,no,no,no,yes,no,1650645,1655461
25,EC_only,nonword,11,avouco,positive,critical,5594.png,picture,5594.png,2311.png,2091.png,Spiel,Brief,Kinder,picture,picture,picture,word,word,word,no,no,no,no,no,no,1656501,1659586
25,EC_only,nonword,12,seloom,positive,critical,Kuss,word,2660.png,4606.png,1463.png,Kuss,Natur,Witz,picture,picture,picture,word,word,word,no,no,no,no,no,no,1660626,1666271
25,EC_only,nonword,13,altine,positive,critical,8200.png,picture,8190.png,1650.png,8200.png,Spaß,Leben,Freizeit,picture,picture,picture,word,word,word,no,no,no,no,no,no,1667311,1672630
25,EC_only,nonword,14,hesire,positive,critical,Urlaub,word,8170.png,8496.png,8501.png,Sommer,Lachen,Urlaub,picture,picture,picture,word,word,word,no,no,no,no,no,no,1673678,1676889
25,EC_only,nonword,15,makan,neutral,filler,Schrank,word,neu7550.png,neu7820.png,neu7640.png,Sessel,Schrank,Knopf,picture,picture,picture,word,word,word,no,no,no,no,no,no,1677929,1684482
