subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
52,17,a,EC_subj_obj,pokemon,0,22_mittel.png,positive,critical,yes,no,no,no,2216011,2223599
52,17,a,EC_subj_obj,pokemon,1,25_mittel.png,none,filler,yes,no,no,no,2224632,2226703
52,17,a,EC_subj_obj,pokemon,2,10_mittel.png,negative,critical,no,no,yes,no,2227737,2229842
52,17,a,EC_subj_obj,pokemon,3,15_mittel.png,none,filler,no,no,yes,no,2230875,2232904
52,17,a,EC_subj_obj,pokemon,4,24_mittel.png,none,filler,no,no,yes,no,2233937,2237079
52,17,a,EC_subj_obj,pokemon,5,39_mittel.png,negative,control,no,yes,no,no,2238112,2240158
52,17,a,EC_subj_obj,pokemon,6,40_mittel.png,positive,critical,no,yes,no,no,2241191,2242441
52,17,a,EC_subj_obj,pokemon,7,37_mittel.png,negative,critical,no,no,yes,no,2243473,2244795
52,17,a,EC_subj_obj,pokemon,8,5_mittel.png,none,filler,no,no,yes,no,2245828,2246941
52,17,a,EC_subj_obj,pokemon,9,18_mittel.png,none,filler,no,no,yes,no,2247982,2249046
52,17,a,EC_subj_obj,pokemon,10,4_mittel.png,positive,critical,no,no,yes,no,2250079,2250995
52,17,a,EC_subj_obj,pokemon,11,23_mittel.png,negative,critical,no,no,no,yes,2252028,2255318
52,17,a,EC_subj_obj,pokemon,12,9_mittel.png,positive,control,no,no,no,yes,2256350,2257756
52,17,a,EC_subj_obj,pokemon,13,2_mittel.png,positive,critical,no,no,yes,no,2258789,2259904
52,17,a,EC_subj_obj,pokemon,14,11_mittel.png,negative,critical,no,no,yes,no,2260936,2263277
52,17,a,EC_subj_obj,pokemon,15,16_mittel.png,none,filler,no,yes,no,no,2264309,2267556
