subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
42,27,b,EC_subj_obj,pokemon,0,16_mittel.png,positive,control,yes,no,no,no,2060995,2065822
42,27,b,EC_subj_obj,pokemon,1,23_mittel.png,none,filler,no,no,yes,no,2066855,2074017
42,27,b,EC_subj_obj,pokemon,2,4_mittel.png,negative,control,no,no,no,yes,2075050,2078508
42,27,b,EC_subj_obj,pokemon,3,18_mittel.png,negative,critical,no,no,yes,no,2079541,2081498
42,27,b,EC_subj_obj,pokemon,4,40_mittel.png,negative,critical,yes,no,no,no,2082531,2086174
42,27,b,EC_subj_obj,pokemon,5,25_mittel.png,positive,critical,no,yes,no,no,2087212,2090041
42,27,b,EC_subj_obj,pokemon,6,37_mittel.png,negative,critical,no,no,yes,no,2091074,2092288
42,27,b,EC_subj_obj,pokemon,7,10_mittel.png,none,filler,no,no,no,yes,2093321,2095040
42,27,b,EC_subj_obj,pokemon,8,11_mittel.png,positive,critical,no,no,yes,no,2096072,2097590
42,27,b,EC_subj_obj,pokemon,9,5_mittel.png,none,filler,no,no,yes,no,2098623,2102242
42,27,b,EC_subj_obj,pokemon,10,2_mittel.png,none,filler,no,no,yes,no,2103274,2104762
42,27,b,EC_subj_obj,pokemon,11,22_mittel.png,positive,critical,no,no,yes,no,2105795,2108709
42,27,b,EC_subj_obj,pokemon,12,39_mittel.png,negative,critical,no,no,yes,no,2109742,2113506
42,27,b,EC_subj_obj,pokemon,13,9_mittel.png,none,filler,no,no,yes,no,2114548,2117604
42,27,b,EC_subj_obj,pokemon,14,15_mittel.png,positive,critical,no,no,yes,no,2118638,2121027
42,27,b,EC_subj_obj,pokemon,15,24_mittel.png,none,filler,no,no,no,yes,2122059,2123792
