ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
14	60	13.604000	99.png	negative	153	1	methexp32	2017-07-18_10.31.55.729000
14	9	2.846000	02.png	negative	153	2	methexp32	2017-07-18_10.31.55.729000
14	7	2.696000	43.png	positive	153	3	methexp32	2017-07-18_10.31.55.729000
14	20	2.747000	67.png	positive	153	4	methexp32	2017-07-18_10.31.55.729000
14	70	3.036000	70.png	negative	153	5	methexp32	2017-07-18_10.31.55.729000
14	95	3.627000	77.png	negative	153	6	methexp32	2017-07-18_10.31.55.729000
14	97	3.306000	68.png	negative	153	7	methexp32	2017-07-18_10.31.55.729000
14	129	4.187000	81.png	negative	153	8	methexp32	2017-07-18_10.31.55.729000
14	148	6.136000	12.png	positive	153	9	methexp32	2017-07-18_10.31.55.729000
14	38	2.598000	16.png	negative	153	10	methexp32	2017-07-18_10.31.55.729000
14	153	3.657000	29.png	neutral	170	11	methexp32	2017-07-18_10.31.55.729000
14	82	5.957000	14.png	positive	153	12	methexp32	2017-07-18_10.31.55.729000
14	146	4.666000	50.png	neutral	158	13	methexp32	2017-07-18_10.31.55.729000
14	89	6.166000	72.png	negative	153	14	methexp32	2017-07-18_10.31.55.729000
14	45	7.156000	13.png	positive	153	15	methexp32	2017-07-18_10.31.55.729000
14	158	5.115000	20.png	positive	153	16	methexp32	2017-07-18_10.31.55.729000
14	163	2.090000	39.png	positive	153	17	methexp32	2017-07-18_10.31.55.729000
14	180	2.131000	98.png	positive	153	18	methexp32	2017-07-18_10.31.55.729000
