ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
9	182	7.335000	12.png	positive	153	1	methexp32	2017-07-13_18.14.54.998000
9	130	2.865000	70.png	negative	153	2	methexp32	2017-07-13_18.14.54.998000
9	79	2.616000	99.png	positive	153	3	methexp32	2017-07-13_18.14.54.998000
9	80	2.348000	14.png	negative	153	4	methexp32	2017-07-13_18.14.54.998000
9	110	2.367000	81.png	negative	153	5	methexp32	2017-07-13_18.14.54.998000
9	110	2.231000	39.png	positive	153	6	methexp32	2017-07-13_18.14.54.998000
9	179	3.336000	50.png	neutral	170	7	methexp32	2017-07-13_18.14.54.998000
9	139	2.676000	13.png	negative	153	8	methexp32	2017-07-13_18.14.54.998000
9	140	2.553000	29.png	neutral	158	9	methexp32	2017-07-13_18.14.54.998000
9	130	2.787000	16.png	positive	153	10	methexp32	2017-07-13_18.14.54.998000
9	159	3.177000	68.png	negative	153	11	methexp32	2017-07-13_18.14.54.998000
9	170	3.756000	77.png	positive	153	12	methexp32	2017-07-13_18.14.54.998000
9	120	2.470000	98.png	negative	153	13	methexp32	2017-07-13_18.14.54.998000
9	171	2.526000	43.png	negative	153	14	methexp32	2017-07-13_18.14.54.998000
9	91	2.466000	20.png	positive	153	15	methexp32	2017-07-13_18.14.54.998000
9	129	2.626000	02.png	negative	153	16	methexp32	2017-07-13_18.14.54.998000
9	170	2.157000	67.png	positive	153	17	methexp32	2017-07-13_18.14.54.998000
9	130	3.406000	72.png	positive	153	18	methexp32	2017-07-13_18.14.54.998000
