ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
4	146	6.205000	99.png	negative	153	1	methexp32	2017-07-13_11.00.17.607000
4	144	2.081000	39.png	negative	153	2	methexp32	2017-07-13_11.00.17.607000
4	170	2.455000	70.png	negative	153	3	methexp32	2017-07-13_11.00.17.607000
4	71	1.956000	12.png	positive	153	4	methexp32	2017-07-13_11.00.17.607000
4	183	2.596000	68.png	positive	153	5	methexp32	2017-07-13_11.00.17.607000
4	162	6.897000	67.png	positive	153	6	methexp32	2017-07-13_11.00.17.607000
4	132	2.408000	43.png	positive	153	7	methexp32	2017-07-13_11.00.17.607000
4	111	2.052000	98.png	negative	153	8	methexp32	2017-07-13_11.00.17.607000
4	60	2.037000	14.png	negative	153	9	methexp32	2017-07-13_11.00.17.607000
4	162	2.156000	13.png	positive	153	10	methexp32	2017-07-13_11.00.17.607000
4	136	1.707000	16.png	negative	153	11	methexp32	2017-07-13_11.00.17.607000
4	88	1.246000	29.png	neutral	158	12	methexp32	2017-07-13_11.00.17.607000
4	84	2.296000	72.png	negative	153	13	methexp32	2017-07-13_11.00.17.607000
4	64	2.007000	77.png	positive	153	14	methexp32	2017-07-13_11.00.17.607000
4	64	1.848000	81.png	positive	153	15	methexp32	2017-07-13_11.00.17.607000
4	81	1.686000	20.png	positive	153	16	methexp32	2017-07-13_11.00.17.607000
4	85	3.406000	50.png	neutral	170	17	methexp32	2017-07-13_11.00.17.607000
4	68	1.666000	02.png	negative	153	18	methexp32	2017-07-13_11.00.17.607000
