ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
19	43.png	n25.wav	153	1	0	270	99.png	0	methexp32	2017-07-19_09.26.27.292000
19	20.png	p89.wav	153	2	90	180	02.png	0	methexp32	2017-07-19_09.26.27.292000
19	81.png	p36.wav	153	3	180	0	81.png	1	methexp32	2017-07-19_09.26.27.292000
19	72.png	p21.wav	153	4	270	90	43.png	0	methexp32	2017-07-19_09.26.27.292000
19	29.png	neu8.wav	158	5	90	270	68.png	0	methexp32	2017-07-19_09.26.27.292000
19	13.png	p45.wav	153	6	180	90	12.png	0	methexp32	2017-07-19_09.26.27.292000
19	02.png	p21.wav	153	7	90	270	99.png	0	methexp32	2017-07-19_09.26.27.292000
19	29.png	neu10.wav	158	8	0	90	02.png	0	methexp32	2017-07-19_09.26.27.292000
19	77.png	n13.wav	153	9	0	270	77.png	1	methexp32	2017-07-19_09.26.27.292000
19	20.png	p91.wav	153	10	270	180	20.png	1	methexp32	2017-07-19_09.26.27.292000
19	39.png	n45.wav	153	11	90	0	14.png	0	methexp32	2017-07-19_09.26.27.292000
19	98.png	p45.wav	153	12	270	180	98.png	1	methexp32	2017-07-19_09.26.27.292000
19	98.png	p22.wav	153	13	180	0	98.png	1	methexp32	2017-07-19_09.26.27.292000
19	16.png	n30.wav	153	14	270	90	02.png	0	methexp32	2017-07-19_09.26.27.292000
19	77.png	n46.wav	153	15	180	90	68.png	0	methexp32	2017-07-19_09.26.27.292000
19	98.png	p52.wav	153	16	180	0	14.png	0	methexp32	2017-07-19_09.26.27.292000
19	39.png	n14.wav	153	17	90	180	39.png	1	methexp32	2017-07-19_09.26.27.292000
19	13.png	p73.wav	153	18	90	180	13.png	1	methexp32	2017-07-19_09.26.27.292000
19	77.png	n50.wav	153	19	180	0	50.png	0	methexp32	2017-07-19_09.26.27.292000
19	43.png	n13.wav	153	20	90	0	02.png	0	methexp32	2017-07-19_09.26.27.292000
