ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
27	98.png	n50.wav	153	1	90	270	70.png	0	methexp32	2017-07-20_11.15.54.190000
27	16.png	p21.wav	153	2	270	90	77.png	0	methexp32	2017-07-20_11.15.54.190000
27	68.png	n13.wav	153	3	90	180	68.png	1	methexp32	2017-07-20_11.15.54.190000
27	16.png	p91.wav	153	4	0	270	29.png	0	methexp32	2017-07-20_11.15.54.190000
27	50.png	neu2.wav	170	5	180	90	50.png	1	methexp32	2017-07-20_11.15.54.190000
27	50.png	neu3.wav	170	6	270	0	50.png	1	methexp32	2017-07-20_11.15.54.190000
27	67.png	n11.wav	153	7	90	180	77.png	0	methexp32	2017-07-20_11.15.54.190000
27	13.png	p22.wav	153	8	0	270	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	13.png	p23.wav	153	9	180	90	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	99.png	p53.wav	153	10	270	180	29.png	0	methexp32	2017-07-20_11.15.54.190000
27	12.png	p89.wav	153	11	90	0	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	81.png	p22.wav	153	12	270	180	98.png	0	methexp32	2017-07-20_11.15.54.190000
27	43.png	n13.wav	153	13	180	0	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	68.png	n14.wav	153	14	270	90	98.png	0	methexp32	2017-07-20_11.15.54.190000
27	02.png	p91.wav	153	15	90	180	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	02.png	p73.wav	153	16	90	180	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	67.png	n31.wav	153	17	90	180	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	98.png	n40.wav	153	18	180	270	39.png	0	methexp32	2017-07-20_11.15.54.190000
27	20.png	n46.wav	153	19	180	270	20.png	1	methexp32	2017-07-20_11.15.54.190000
27	70.png	n45.wav	153	20	0	180	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	70.png	n31.wav	153	21	90	180	77.png	0	methexp32	2017-07-20_11.15.54.190000
27	39.png	p53.wav	153	22	270	0	39.png	1	methexp32	2017-07-20_11.15.54.190000
27	68.png	n45.wav	153	23	270	180	50.png	0	methexp32	2017-07-20_11.15.54.190000
27	16.png	p53.wav	153	24	0	90	39.png	0	methexp32	2017-07-20_11.15.54.190000
27	98.png	n25.wav	153	25	0	90	98.png	1	methexp32	2017-07-20_11.15.54.190000
27	43.png	n50.wav	153	26	0	90	39.png	0	methexp32	2017-07-20_11.15.54.190000
27	29.png	neu9.wav	158	27	0	90	29.png	1	methexp32	2017-07-20_11.15.54.190000
27	72.png	p21.wav	153	28	0	270	43.png	0	methexp32	2017-07-20_11.15.54.190000
27	67.png	n40.wav	153	29	90	0	39.png	0	methexp32	2017-07-20_11.15.54.190000
27	81.png	p52.wav	153	30	270	90	68.png	0	methexp32	2017-07-20_11.15.54.190000
27	72.png	p45.wav	153	31	0	270	12.png	0	methexp32	2017-07-20_11.15.54.190000
27	99.png	p52.wav	153	32	90	0	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	72.png	p91.wav	153	33	0	270	98.png	0	methexp32	2017-07-20_11.15.54.190000
27	02.png	p36.wav	153	34	270	180	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	13.png	p53.wav	153	35	0	270	13.png	1	methexp32	2017-07-20_11.15.54.190000
27	39.png	p23.wav	153	36	90	270	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	99.png	p21.wav	153	37	0	90	20.png	0	methexp32	2017-07-20_11.15.54.190000
27	77.png	n45.wav	153	38	180	270	16.png	0	methexp32	2017-07-20_11.15.54.190000
27	16.png	p36.wav	153	39	90	270	13.png	0	methexp32	2017-07-20_11.15.54.190000
27	29.png	neu1.wav	158	40	90	180	29.png	1	methexp32	2017-07-20_11.15.54.190000
27	39.png	p22.wav	153	41	180	90	98.png	0	methexp32	2017-07-20_11.15.54.190000
