ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
23	190	5.520000	39.png	negative	153	1	methexp32	2017-07-19_13.08.03.286000
23	143	3.176000	81.png	negative	153	2	methexp32	2017-07-19_13.08.03.286000
23	89	7.496000	02.png	positive	153	3	methexp32	2017-07-19_13.08.03.286000
23	130	3.187000	12.png	positive	153	4	methexp32	2017-07-19_13.08.03.286000
23	49	2.175000	70.png	negative	153	5	methexp32	2017-07-19_13.08.03.286000
23	141	4.071000	98.png	negative	153	6	methexp32	2017-07-19_13.08.03.286000
23	54	2.215000	72.png	positive	153	7	methexp32	2017-07-19_13.08.03.286000
23	9	3.077000	13.png	negative	153	8	methexp32	2017-07-19_13.08.03.286000
23	125	2.007000	77.png	positive	153	9	methexp32	2017-07-19_13.08.03.286000
23	130	4.428000	67.png	positive	153	10	methexp32	2017-07-19_13.08.03.286000
23	100	4.836000	43.png	positive	153	11	methexp32	2017-07-19_13.08.03.286000
23	99	3.195000	99.png	negative	153	12	methexp32	2017-07-19_13.08.03.286000
23	39	5.037000	68.png	negative	153	13	methexp32	2017-07-19_13.08.03.286000
23	140	4.145000	16.png	positive	153	14	methexp32	2017-07-19_13.08.03.286000
23	10	3.977000	14.png	negative	153	15	methexp32	2017-07-19_13.08.03.286000
23	69	4.826000	20.png	positive	153	16	methexp32	2017-07-19_13.08.03.286000
23	139	4.186000	29.png	neutral	158	17	methexp32	2017-07-19_13.08.03.286000
23	140	2.446000	50.png	neutral	170	18	methexp32	2017-07-19_13.08.03.286000
