ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
30	117	6.211000	98.png	positive	153	1	methexp32	2017-07-20_11.29.13.340000
30	139	2.476000	02.png	positive	153	2	methexp32	2017-07-20_11.29.13.340000
30	59	3.826000	77.png	positive	153	3	methexp32	2017-07-20_11.29.13.340000
30	187	6.486000	50.png	neutral	158	4	methexp32	2017-07-20_11.29.13.340000
30	94	2.406000	72.png	negative	153	5	methexp32	2017-07-20_11.29.13.340000
30	166	2.047000	99.png	negative	153	6	methexp32	2017-07-20_11.29.13.340000
30	128	7.987000	68.png	negative	153	7	methexp32	2017-07-20_11.29.13.340000
30	40	2.606000	70.png	positive	153	8	methexp32	2017-07-20_11.29.13.340000
30	27	3.366000	81.png	negative	153	9	methexp32	2017-07-20_11.29.13.340000
30	38	2.726000	43.png	negative	153	10	methexp32	2017-07-20_11.29.13.340000
30	163	3.666000	20.png	negative	153	11	methexp32	2017-07-20_11.29.13.340000
30	157	2.188000	16.png	positive	153	12	methexp32	2017-07-20_11.29.13.340000
30	32	3.307000	12.png	positive	153	13	methexp32	2017-07-20_11.29.13.340000
30	5	2.377000	14.png	negative	153	14	methexp32	2017-07-20_11.29.13.340000
30	108	1.761000	39.png	positive	153	15	methexp32	2017-07-20_11.29.13.340000
30	138	2.496000	29.png	neutral	170	16	methexp32	2017-07-20_11.29.13.340000
30	44	1.836000	13.png	positive	153	17	methexp32	2017-07-20_11.29.13.340000
30	132	1.595000	67.png	negative	153	18	methexp32	2017-07-20_11.29.13.340000
