ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
2	89	5.417000	81.png	negative	153	1	methexp32	2017-07-12_15.26.15.751000
2	81	2.536000	77.png	positive	153	2	methexp32	2017-07-12_15.26.15.751000
2	115	3.347000	13.png	positive	153	3	methexp32	2017-07-12_15.26.15.751000
2	30	2.196000	68.png	negative	153	4	methexp32	2017-07-12_15.26.15.751000
2	158	2.034000	29.png	neutral	170	5	methexp32	2017-07-12_15.26.15.751000
2	66	1.857000	72.png	negative	153	6	methexp32	2017-07-12_15.26.15.751000
2	88	2.090000	98.png	positive	153	7	methexp32	2017-07-12_15.26.15.751000
2	11	2.346000	50.png	neutral	158	8	methexp32	2017-07-12_15.26.15.751000
2	11	1.937000	70.png	negative	153	9	methexp32	2017-07-12_15.26.15.751000
2	104	2.489000	39.png	positive	153	10	methexp32	2017-07-12_15.26.15.751000
2	72	3.486000	14.png	negative	153	11	methexp32	2017-07-12_15.26.15.751000
2	86	2.516000	02.png	negative	153	12	methexp32	2017-07-12_15.26.15.751000
2	110	1.585000	20.png	positive	153	13	methexp32	2017-07-12_15.26.15.751000
2	78	2.507000	67.png	positive	153	14	methexp32	2017-07-12_15.26.15.751000
2	88	4.285000	99.png	positive	153	15	methexp32	2017-07-12_15.26.15.751000
2	136	2.327000	12.png	negative	153	16	methexp32	2017-07-12_15.26.15.751000
2	113	2.115000	43.png	positive	153	17	methexp32	2017-07-12_15.26.15.751000
2	115	2.205000	16.png	negative	153	18	methexp32	2017-07-12_15.26.15.751000
