ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
11	99.png	p45.wav	153	67	0	180	12.png	0	methexp32	2017-07-14_11.38.47.366000
11	77.png	p23.wav	153	68	90	270	20.png	0	methexp32	2017-07-14_11.38.47.366000
11	16.png	p73.wav	153	69	180	0	29.png	0	methexp32	2017-07-14_11.38.47.366000
11	68.png	n46.wav	153	70	0	270	68.png	1	methexp32	2017-07-14_11.38.47.366000
11	16.png	p53.wav	153	71	270	0	29.png	0	methexp32	2017-07-14_11.38.47.366000
11	16.png	p45.wav	153	72	180	90	70.png	0	methexp32	2017-07-14_11.38.47.366000
11	81.png	p22.wav	153	73	0	180	81.png	1	methexp32	2017-07-14_11.38.47.366000
11	12.png	n50.wav	153	74	90	180	12.png	1	methexp32	2017-07-14_11.38.47.366000
11	50.png	neu10.wav	170	75	0	90	50.png	1	methexp32	2017-07-14_11.38.47.366000
11	70.png	n46.wav	153	76	180	90	20.png	0	methexp32	2017-07-14_11.38.47.366000
11	99.png	p89.wav	153	77	270	90	39.png	0	methexp32	2017-07-14_11.38.47.366000
11	67.png	n40.wav	153	78	270	180	77.png	0	methexp32	2017-07-14_11.38.47.366000
11	20.png	p23.wav	153	79	180	270	13.png	0	methexp32	2017-07-14_11.38.47.366000
11	16.png	p21.wav	153	80	270	90	16.png	1	methexp32	2017-07-14_11.38.47.366000
11	67.png	n46.wav	153	81	90	270	68.png	0	methexp32	2017-07-14_11.38.47.366000
11	39.png	p73.wav	153	82	90	270	13.png	0	methexp32	2017-07-14_11.38.47.366000
11	43.png	n25.wav	153	83	90	0	20.png	0	methexp32	2017-07-14_11.38.47.366000
11	12.png	n45.wav	153	84	0	90	02.png	0	methexp32	2017-07-14_11.38.47.366000
11	68.png	n25.wav	153	85	180	0	29.png	0	methexp32	2017-07-14_11.38.47.366000
11	13.png	p36.wav	153	86	90	180	20.png	0	methexp32	2017-07-14_11.38.47.366000
11	99.png	p22.wav	153	87	0	270	20.png	0	methexp32	2017-07-14_11.38.47.366000
11	02.png	n31.wav	153	88	270	90	98.png	0	methexp32	2017-07-14_11.38.47.366000
11	77.png	p53.wav	153	89	0	180	39.png	0	methexp32	2017-07-14_11.38.47.366000
11	50.png	neu9.wav	170	90	180	0	50.png	1	methexp32	2017-07-14_11.38.47.366000
11	13.png	p91.wav	153	91	0	90	29.png	0	methexp32	2017-07-14_11.38.47.366000
11	12.png	n31.wav	153	92	90	180	13.png	0	methexp32	2017-07-14_11.38.47.366000
11	50.png	neu7.wav	170	93	270	180	50.png	1	methexp32	2017-07-14_11.38.47.366000
11	14.png	p36.wav	153	94	270	90	98.png	0	methexp32	2017-07-14_11.38.47.366000
11	16.png	p89.wav	153	95	0	180	16.png	1	methexp32	2017-07-14_11.38.47.366000
11	14.png	p53.wav	153	96	270	90	14.png	1	methexp32	2017-07-14_11.38.47.366000
11	02.png	n40.wav	153	97	180	270	81.png	0	methexp32	2017-07-14_11.38.47.366000
11	29.png	neu1.wav	158	98	0	180	29.png	1	methexp32	2017-07-14_11.38.47.366000
11	70.png	n30.wav	153	99	180	90	67.png	0	methexp32	2017-07-14_11.38.47.366000
11	43.png	n45.wav	153	100	0	90	39.png	0	methexp32	2017-07-14_11.38.47.366000
11	13.png	p53.wav	153	101	270	180	67.png	0	methexp32	2017-07-14_11.38.47.366000
11	14.png	p45.wav	153	102	0	180	14.png	1	methexp32	2017-07-14_11.38.47.366000
11	81.png	p89.wav	153	103	90	270	02.png	0	methexp32	2017-07-14_11.38.47.366000
11	81.png	p52.wav	153	104	90	270	68.png	0	methexp32	2017-07-14_11.38.47.366000
11	70.png	n13.wav	153	105	180	0	43.png	0	methexp32	2017-07-14_11.38.47.366000
11	12.png	n11.wav	153	106	0	270	67.png	0	methexp32	2017-07-14_11.38.47.366000
11	72.png	n40.wav	153	107	0	270	70.png	0	methexp32	2017-07-14_11.38.47.366000
11	20.png	p53.wav	153	108	180	0	43.png	0	methexp32	2017-07-14_11.38.47.366000
11	29.png	neu9.wav	158	109	180	0	29.png	1	methexp32	2017-07-14_11.38.47.366000
11	50.png	neu3.wav	170	110	180	270	50.png	1	methexp32	2017-07-14_11.38.47.366000
11	43.png	n50.wav	153	111	0	180	20.png	0	methexp32	2017-07-14_11.38.47.366000
11	20.png	p73.wav	153	112	270	90	98.png	0	methexp32	2017-07-14_11.38.47.366000
11	67.png	n50.wav	153	113	180	90	67.png	1	methexp32	2017-07-14_11.38.47.366000
11	81.png	p53.wav	153	114	270	0	81.png	1	methexp32	2017-07-14_11.38.47.366000
11	39.png	p45.wav	153	115	90	180	98.png	0	methexp32	2017-07-14_11.38.47.366000
11	72.png	n14.wav	153	116	180	0	13.png	0	methexp32	2017-07-14_11.38.47.366000
11	77.png	p52.wav	153	117	180	90	70.png	0	methexp32	2017-07-14_11.38.47.366000
11	98.png	n40.wav	153	118	270	180	98.png	1	methexp32	2017-07-14_11.38.47.366000
11	20.png	p22.wav	153	119	270	180	77.png	0	methexp32	2017-07-14_11.38.47.366000
11	39.png	p89.wav	153	120	270	90	43.png	0	methexp32	2017-07-14_11.38.47.366000
11	39.png	p23.wav	153	121	0	270	39.png	1	methexp32	2017-07-14_11.38.47.366000
11	16.png	p23.wav	153	122	0	270	16.png	1	methexp32	2017-07-14_11.38.47.366000
11	99.png	p23.wav	153	123	270	90	67.png	0	methexp32	2017-07-14_11.38.47.366000
11	67.png	n13.wav	153	124	90	0	67.png	1	methexp32	2017-07-14_11.38.47.366000
11	29.png	neu8.wav	158	125	0	270	29.png	1	methexp32	2017-07-14_11.38.47.366000
11	72.png	n11.wav	153	126	270	180	12.png	0	methexp32	2017-07-14_11.38.47.366000
11	02.png	n30.wav	153	127	180	0	13.png	0	methexp32	2017-07-14_11.38.47.366000
11	39.png	p22.wav	153	128	270	90	29.png	0	methexp32	2017-07-14_11.38.47.366000
11	29.png	neu6.wav	158	129	90	270	29.png	1	methexp32	2017-07-14_11.38.47.366000
11	20.png	p45.wav	153	130	0	90	14.png	0	methexp32	2017-07-14_11.38.47.366000
11	16.png	p22.wav	153	131	180	90	16.png	1	methexp32	2017-07-14_11.38.47.366000
11	99.png	p52.wav	153	132	90	180	68.png	0	methexp32	2017-07-14_11.38.47.366000
11	72.png	n46.wav	153	133	180	0	68.png	0	methexp32	2017-07-14_11.38.47.366000
11	98.png	n25.wav	153	134	270	0	98.png	1	methexp32	2017-07-14_11.38.47.366000
11	68.png	n45.wav	153	135	90	270	68.png	1	methexp32	2017-07-14_11.38.47.366000
11	12.png	n30.wav	153	136	90	180	72.png	0	methexp32	2017-07-14_11.38.47.366000
11	02.png	n25.wav	153	137	180	270	77.png	0	methexp32	2017-07-14_11.38.47.366000
11	67.png	n14.wav	153	138	180	90	67.png	1	methexp32	2017-07-14_11.38.47.366000
11	67.png	n30.wav	153	139	0	180	67.png	1	methexp32	2017-07-14_11.38.47.366000
11	14.png	p52.wav	153	140	0	180	50.png	0	methexp32	2017-07-14_11.38.47.366000
11	02.png	n50.wav	153	141	0	90	68.png	0	methexp32	2017-07-14_11.38.47.366000
11	68.png	n30.wav	153	142	270	180	68.png	1	methexp32	2017-07-14_11.38.47.366000
11	99.png	p36.wav	153	143	180	270	12.png	0	methexp32	2017-07-14_11.38.47.366000
11	12.png	n40.wav	153	144	90	0	12.png	1	methexp32	2017-07-14_11.38.47.366000
11	39.png	p36.wav	153	145	0	180	14.png	0	methexp32	2017-07-14_11.38.47.366000
11	70.png	n40.wav	153	146	270	180	68.png	0	methexp32	2017-07-14_11.38.47.366000
11	50.png	neu4.wav	170	147	180	90	50.png	1	methexp32	2017-07-14_11.38.47.366000
11	29.png	neu2.wav	158	148	0	90	29.png	1	methexp32	2017-07-14_11.38.47.366000
11	98.png	n13.wav	153	149	90	0	39.png	0	methexp32	2017-07-14_11.38.47.366000
11	39.png	p21.wav	153	150	0	270	39.png	1	methexp32	2017-07-14_11.38.47.366000
11	98.png	n14.wav	153	151	0	270	98.png	1	methexp32	2017-07-14_11.38.47.366000
11	68.png	n31.wav	153	152	90	180	68.png	1	methexp32	2017-07-14_11.38.47.366000
11	50.png	neu2.wav	170	153	0	180	50.png	1	methexp32	2017-07-14_11.38.47.366000
11	20.png	p91.wav	153	154	90	0	14.png	0	methexp32	2017-07-14_11.38.47.366000
11	39.png	p53.wav	153	155	180	270	20.png	0	methexp32	2017-07-14_11.38.47.366000
11	20.png	p21.wav	153	156	90	0	20.png	1	methexp32	2017-07-14_11.38.47.366000
11	13.png	p73.wav	153	157	180	90	13.png	1	methexp32	2017-07-14_11.38.47.366000
11	02.png	n46.wav	153	158	180	0	43.png	0	methexp32	2017-07-14_11.38.47.366000
11	12.png	n13.wav	153	159	180	0	12.png	1	methexp32	2017-07-14_11.38.47.366000
11	13.png	p21.wav	153	160	270	180	13.png	1	methexp32	2017-07-14_11.38.47.366000
11	77.png	p45.wav	153	161	180	270	77.png	1	methexp32	2017-07-14_11.38.47.366000
11	77.png	p91.wav	153	162	0	90	13.png	0	methexp32	2017-07-14_11.38.47.366000
11	72.png	n13.wav	153	163	0	180	20.png	0	methexp32	2017-07-14_11.38.47.366000
11	29.png	neu5.wav	158	164	90	0	29.png	1	methexp32	2017-07-14_11.38.47.366000
11	12.png	n14.wav	153	165	90	180	12.png	1	methexp32	2017-07-14_11.38.47.366000
11	68.png	n40.wav	153	166	270	0	68.png	1	methexp32	2017-07-14_11.38.47.366000
11	81.png	p23.wav	153	167	270	0	81.png	1	methexp32	2017-07-14_11.38.47.366000
11	67.png	n45.wav	153	168	270	180	70.png	0	methexp32	2017-07-14_11.38.47.366000
11	20.png	p89.wav	153	169	90	180	16.png	0	methexp32	2017-07-14_11.38.47.366000
11	77.png	p73.wav	153	170	90	0	72.png	0	methexp32	2017-07-14_11.38.47.366000
11	50.png	neu1.wav	170	171	0	180	50.png	1	methexp32	2017-07-14_11.38.47.366000
11	20.png	p36.wav	153	172	270	180	77.png	0	methexp32	2017-07-14_11.38.47.366000
11	68.png	n50.wav	153	173	90	180	68.png	1	methexp32	2017-07-14_11.38.47.366000
11	43.png	n31.wav	153	174	270	90	77.png	0	methexp32	2017-07-14_11.38.47.366000
11	13.png	p52.wav	153	175	180	270	13.png	1	methexp32	2017-07-14_11.38.47.366000
11	16.png	p91.wav	153	176	0	90	70.png	0	methexp32	2017-07-14_11.38.47.366000
11	77.png	p22.wav	153	177	0	90	02.png	0	methexp32	2017-07-14_11.38.47.366000
11	99.png	p73.wav	153	178	0	270	43.png	0	methexp32	2017-07-14_11.38.47.366000
11	50.png	neu5.wav	170	179	0	90	50.png	1	methexp32	2017-07-14_11.38.47.366000
11	81.png	p21.wav	153	180	180	0	81.png	1	methexp32	2017-07-14_11.38.47.366000
