ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
28	160	12.658000	77.png	negative	153	1	methexp32	2017-07-20_11.16.39.763000
28	109	2.862000	02.png	positive	153	2	methexp32	2017-07-20_11.16.39.763000
28	56	2.437000	16.png	positive	153	3	methexp32	2017-07-20_11.16.39.763000
28	130	2.796000	14.png	negative	153	4	methexp32	2017-07-20_11.16.39.763000
28	159	5.667000	12.png	negative	153	5	methexp32	2017-07-20_11.16.39.763000
28	81	5.130000	39.png	negative	153	6	methexp32	2017-07-20_11.16.39.763000
28	60	4.908000	50.png	neutral	170	7	methexp32	2017-07-20_11.16.39.763000
28	140	3.425000	70.png	negative	153	8	methexp32	2017-07-20_11.16.39.763000
28	49	3.166000	43.png	positive	153	9	methexp32	2017-07-20_11.16.39.763000
28	100	3.266000	13.png	negative	153	10	methexp32	2017-07-20_11.16.39.763000
28	129	4.127000	67.png	positive	153	11	methexp32	2017-07-20_11.16.39.763000
28	140	2.366000	72.png	positive	153	12	methexp32	2017-07-20_11.16.39.763000
28	40	2.520000	98.png	positive	153	13	methexp32	2017-07-20_11.16.39.763000
28	11	2.776000	20.png	positive	153	14	methexp32	2017-07-20_11.16.39.763000
28	98	3.334000	99.png	negative	153	15	methexp32	2017-07-20_11.16.39.763000
28	98	2.405000	68.png	positive	153	16	methexp32	2017-07-20_11.16.39.763000
28	64	3.524000	29.png	neutral	158	17	methexp32	2017-07-20_11.16.39.763000
28	125	2.946000	81.png	negative	153	18	methexp32	2017-07-20_11.16.39.763000
