ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
21	57	3.539000	13.png	positive	153	1	methexp32	2017-07-19_10.52.04.322000
21	91	1.766000	14.png	positive	153	2	methexp32	2017-07-19_10.52.04.322000
21	70	1.475000	77.png	negative	153	3	methexp32	2017-07-19_10.52.04.322000
21	71	1.527000	68.png	positive	153	4	methexp32	2017-07-19_10.52.04.322000
21	88	2.015000	67.png	negative	153	5	methexp32	2017-07-19_10.52.04.322000
21	48	2.135000	29.png	neutral	158	6	methexp32	2017-07-19_10.52.04.322000
21	57	1.726000	72.png	positive	153	7	methexp32	2017-07-19_10.52.04.322000
21	46	1.505000	43.png	positive	153	8	methexp32	2017-07-19_10.52.04.322000
21	31	2.006000	50.png	neutral	170	9	methexp32	2017-07-19_10.52.04.322000
21	44	1.947000	02.png	positive	153	10	methexp32	2017-07-19_10.52.04.322000
21	32	1.941000	98.png	positive	153	11	methexp32	2017-07-19_10.52.04.322000
21	50	2.896000	70.png	negative	153	12	methexp32	2017-07-19_10.52.04.322000
21	58	2.307000	16.png	positive	153	13	methexp32	2017-07-19_10.52.04.322000
21	45	1.685000	12.png	negative	153	14	methexp32	2017-07-19_10.52.04.322000
21	96	1.685000	20.png	negative	153	15	methexp32	2017-07-19_10.52.04.322000
21	66	1.507000	81.png	negative	153	16	methexp32	2017-07-19_10.52.04.322000
21	59	1.777000	99.png	negative	153	17	methexp32	2017-07-19_10.52.04.322000
21	61	1.550000	39.png	negative	153	18	methexp32	2017-07-19_10.52.04.322000
