ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
3	160	18.325000	13.png	positive	153	1	methexp32	2017-07-13_10.54.49.940000
3	30	7.898000	98.png	negative	153	2	methexp32	2017-07-13_10.54.49.940000
3	20	6.525000	29.png	neutral	170	3	methexp32	2017-07-13_10.54.49.940000
3	80	8.786000	70.png	negative	153	4	methexp32	2017-07-13_10.54.49.940000
3	119	6.196000	43.png	negative	153	5	methexp32	2017-07-13_10.54.49.940000
3	51	4.937000	67.png	negative	153	6	methexp32	2017-07-13_10.54.49.940000
3	140	3.866000	99.png	positive	153	7	methexp32	2017-07-13_10.54.49.940000
3	50	4.016000	77.png	positive	153	8	methexp32	2017-07-13_10.54.49.940000
3	21	2.836000	16.png	positive	153	9	methexp32	2017-07-13_10.54.49.940000
3	151	3.566000	02.png	positive	153	10	methexp32	2017-07-13_10.54.49.940000
3	19	3.456000	68.png	negative	153	11	methexp32	2017-07-13_10.54.49.940000
3	181	3.826000	12.png	negative	153	12	methexp32	2017-07-13_10.54.49.940000
3	9	3.456000	20.png	positive	153	13	methexp32	2017-07-13_10.54.49.940000
3	130	3.676000	72.png	positive	153	14	methexp32	2017-07-13_10.54.49.940000
3	169	2.995000	50.png	neutral	158	15	methexp32	2017-07-13_10.54.49.940000
3	120	2.211000	39.png	negative	153	16	methexp32	2017-07-13_10.54.49.940000
3	112	3.087000	14.png	negative	153	17	methexp32	2017-07-13_10.54.49.940000
3	30	2.357000	81.png	positive	153	18	methexp32	2017-07-13_10.54.49.940000
