ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
8	103	5.735000	70.png	negative	153	1	methexp32	2017-07-13_17.30.30.483000
8	77	2.044000	29.png	neutral	170	2	methexp32	2017-07-13_17.30.30.483000
8	141	1.886000	50.png	neutral	158	3	methexp32	2017-07-13_17.30.30.483000
8	165	2.865000	39.png	positive	153	4	methexp32	2017-07-13_17.30.30.483000
8	122	2.747000	16.png	negative	153	5	methexp32	2017-07-13_17.30.30.483000
8	101	1.816000	99.png	negative	153	6	methexp32	2017-07-13_17.30.30.483000
8	136	1.666000	68.png	positive	153	7	methexp32	2017-07-13_17.30.30.483000
8	93	4.364000	43.png	positive	153	8	methexp32	2017-07-13_17.30.30.483000
8	80	4.246000	14.png	positive	153	9	methexp32	2017-07-13_17.30.30.483000
8	105	1.946000	13.png	negative	153	10	methexp32	2017-07-13_17.30.30.483000
8	135	1.926000	12.png	negative	153	11	methexp32	2017-07-13_17.30.30.483000
8	171	2.026000	20.png	positive	153	12	methexp32	2017-07-13_17.30.30.483000
8	110	1.765000	77.png	negative	153	13	methexp32	2017-07-13_17.30.30.483000
8	57	1.656000	02.png	negative	153	14	methexp32	2017-07-13_17.30.30.483000
8	91	2.637000	67.png	negative	153	15	methexp32	2017-07-13_17.30.30.483000
8	79	2.576000	72.png	positive	153	16	methexp32	2017-07-13_17.30.30.483000
8	127	1.475000	81.png	positive	153	17	methexp32	2017-07-13_17.30.30.483000
8	159	1.670000	98.png	positive	153	18	methexp32	2017-07-13_17.30.30.483000
