ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
5	116	8.047000	02.png	negative	153	1	methexp32	2017-07-13_13.19.40.979000
5	140	4.886000	70.png	negative	153	2	methexp32	2017-07-13_13.19.40.979000
5	90	3.547000	72.png	positive	153	3	methexp32	2017-07-13_13.19.40.979000
5	69	3.662000	98.png	positive	153	4	methexp32	2017-07-13_13.19.40.979000
5	40	2.528000	67.png	negative	153	5	methexp32	2017-07-13_13.19.40.979000
5	160	2.787000	68.png	positive	153	6	methexp32	2017-07-13_13.19.40.979000
5	111	2.508000	12.png	negative	153	7	methexp32	2017-07-13_13.19.40.979000
5	49	2.597000	81.png	negative	153	8	methexp32	2017-07-13_13.19.40.979000
5	111	2.477000	20.png	positive	153	9	methexp32	2017-07-13_13.19.40.979000
5	141	3.027000	99.png	positive	153	10	methexp32	2017-07-13_13.19.40.979000
5	30	3.646000	50.png	neutral	158	11	methexp32	2017-07-13_13.19.40.979000
5	104	2.325000	43.png	positive	153	12	methexp32	2017-07-13_13.19.40.979000
5	49	2.437000	77.png	positive	153	13	methexp32	2017-07-13_13.19.40.979000
5	148	4.896000	13.png	positive	153	14	methexp32	2017-07-13_13.19.40.979000
5	110	1.639000	39.png	negative	153	15	methexp32	2017-07-13_13.19.40.979000
5	34	2.886000	16.png	negative	153	16	methexp32	2017-07-13_13.19.40.979000
5	74	2.116000	29.png	neutral	170	17	methexp32	2017-07-13_13.19.40.979000
5	84	2.788000	14.png	negative	153	18	methexp32	2017-07-13_13.19.40.979000
