ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
22	124	3.667000	72.png	negative	153	1	methexp32	2017-07-19_13.00.02.530000
22	151	1.827000	67.png	positive	153	2	methexp32	2017-07-19_13.00.02.530000
22	95	1.436000	99.png	negative	153	3	methexp32	2017-07-19_13.00.02.530000
22	36	3.446000	14.png	negative	153	4	methexp32	2017-07-19_13.00.02.530000
22	148	2.247000	50.png	neutral	170	5	methexp32	2017-07-19_13.00.02.530000
22	21	2.156000	16.png	positive	153	6	methexp32	2017-07-19_13.00.02.530000
22	120	2.221000	39.png	negative	153	7	methexp32	2017-07-19_13.00.02.530000
22	140	1.896000	13.png	positive	153	8	methexp32	2017-07-19_13.00.02.530000
22	86	2.047000	20.png	negative	153	9	methexp32	2017-07-19_13.00.02.530000
22	155	2.157000	81.png	positive	153	10	methexp32	2017-07-19_13.00.02.530000
22	52	2.006000	02.png	positive	153	11	methexp32	2017-07-19_13.00.02.530000
22	139	2.807000	12.png	negative	153	12	methexp32	2017-07-19_13.00.02.530000
22	150	2.237000	70.png	positive	153	13	methexp32	2017-07-19_13.00.02.530000
22	152	1.646000	68.png	positive	153	14	methexp32	2017-07-19_13.00.02.530000
22	72	2.007000	77.png	negative	153	15	methexp32	2017-07-19_13.00.02.530000
22	93	1.561000	98.png	negative	153	16	methexp32	2017-07-19_13.00.02.530000
22	120	1.194000	29.png	neutral	158	17	methexp32	2017-07-19_13.00.02.530000
22	57	2.056000	43.png	positive	153	18	methexp32	2017-07-19_13.00.02.530000
