ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
18	4	5.831000	13.png	negative	153	1	methexp32	2017-07-18_15.19.06.057000
18	9	2.377000	20.png	positive	153	2	methexp32	2017-07-18_15.19.06.057000
18	9	1.906000	02.png	positive	153	3	methexp32	2017-07-18_15.19.06.057000
18	5	2.427000	72.png	negative	153	4	methexp32	2017-07-18_15.19.06.057000
18	103	2.318000	67.png	positive	153	5	methexp32	2017-07-18_15.19.06.057000
18	85	5.207000	99.png	negative	153	6	methexp32	2017-07-18_15.19.06.057000
18	91	3.308000	12.png	positive	153	7	methexp32	2017-07-18_15.19.06.057000
18	104	4.196000	29.png	neutral	170	8	methexp32	2017-07-18_15.19.06.057000
18	101	4.987000	77.png	negative	153	9	methexp32	2017-07-18_15.19.06.057000
18	134	2.427000	70.png	negative	153	10	methexp32	2017-07-18_15.19.06.057000
18	65	4.115000	43.png	negative	153	11	methexp32	2017-07-18_15.19.06.057000
18	37	2.371000	98.png	positive	153	12	methexp32	2017-07-18_15.19.06.057000
18	18	1.887000	16.png	positive	153	13	methexp32	2017-07-18_15.19.06.057000
18	53	3.637000	14.png	positive	153	14	methexp32	2017-07-18_15.19.06.057000
18	1	2.171000	39.png	negative	153	15	methexp32	2017-07-18_15.19.06.057000
18	103	4.477000	50.png	neutral	158	16	methexp32	2017-07-18_15.19.06.057000
18	5	2.648000	81.png	negative	153	17	methexp32	2017-07-18_15.19.06.057000
18	114	2.417000	68.png	positive	153	18	methexp32	2017-07-18_15.19.06.057000
