ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
25	29	8.047000	50.png	neutral	158	1	methexp32	2017-07-19_15.37.57.377000
25	106	3.765000	02.png	positive	153	2	methexp32	2017-07-19_15.37.57.377000
25	200	7.224000	29.png	neutral	170	3	methexp32	2017-07-19_15.37.57.377000
25	110	2.911000	72.png	positive	153	4	methexp32	2017-07-19_15.37.57.377000
25	79	2.648000	70.png	negative	153	5	methexp32	2017-07-19_15.37.57.377000
25	38	2.046000	99.png	negative	153	6	methexp32	2017-07-19_15.37.57.377000
25	19	1.888000	81.png	positive	153	7	methexp32	2017-07-19_15.37.57.377000
25	0	5.377000	13.png	positive	153	8	methexp32	2017-07-19_15.37.57.377000
25	8	2.231000	98.png	negative	153	9	methexp32	2017-07-19_15.37.57.377000
25	19	2.091000	39.png	negative	153	10	methexp32	2017-07-19_15.37.57.377000
25	17	1.898000	67.png	positive	153	11	methexp32	2017-07-19_15.37.57.377000
25	51	1.858000	12.png	negative	153	12	methexp32	2017-07-19_15.37.57.377000
25	73	2.457000	68.png	positive	153	13	methexp32	2017-07-19_15.37.57.377000
25	138	1.827000	16.png	positive	153	14	methexp32	2017-07-19_15.37.57.377000
25	159	1.556000	43.png	negative	153	15	methexp32	2017-07-19_15.37.57.377000
25	137	2.016000	20.png	positive	153	16	methexp32	2017-07-19_15.37.57.377000
25	174	2.127000	14.png	negative	153	17	methexp32	2017-07-19_15.37.57.377000
25	197	2.117000	77.png	negative	153	18	methexp32	2017-07-19_15.37.57.377000
