ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
6	80	14.640000	13.png	negative	153	1	methexp32	2017-07-13_16.11.57.139000
6	100	4.716000	99.png	positive	153	2	methexp32	2017-07-13_16.11.57.139000
6	119	2.707000	12.png	positive	153	3	methexp32	2017-07-13_16.11.57.139000
6	140	3.336000	43.png	positive	153	4	methexp32	2017-07-13_16.11.57.139000
6	100	3.325000	29.png	neutral	170	5	methexp32	2017-07-13_16.11.57.139000
6	121	2.950000	98.png	negative	153	6	methexp32	2017-07-13_16.11.57.139000
6	140	2.421000	39.png	negative	153	7	methexp32	2017-07-13_16.11.57.139000
6	80	3.237000	14.png	positive	153	8	methexp32	2017-07-13_16.11.57.139000
6	120	3.247000	68.png	negative	153	9	methexp32	2017-07-13_16.11.57.139000
6	140	2.516000	02.png	positive	153	10	methexp32	2017-07-13_16.11.57.139000
6	141	3.146000	72.png	positive	153	11	methexp32	2017-07-13_16.11.57.139000
6	149	2.776000	50.png	neutral	158	12	methexp32	2017-07-13_16.11.57.139000
6	141	3.116000	77.png	positive	153	13	methexp32	2017-07-13_16.11.57.139000
6	119	2.747000	67.png	negative	153	14	methexp32	2017-07-13_16.11.57.139000
6	129	3.695000	20.png	negative	153	15	methexp32	2017-07-13_16.11.57.139000
6	121	2.287000	16.png	negative	153	16	methexp32	2017-07-13_16.11.57.139000
6	100	3.815000	81.png	positive	153	17	methexp32	2017-07-13_16.11.57.139000
6	109	3.876000	70.png	negative	153	18	methexp32	2017-07-13_16.11.57.139000
