ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
15	100	4.525000	81.png	positive	153	1	methexp32	2017-07-18_12.02.11.088000
15	131	2.260000	98.png	positive	153	2	methexp32	2017-07-18_12.02.11.088000
15	62	3.077000	12.png	negative	153	3	methexp32	2017-07-18_12.02.11.088000
15	175	1.956000	29.png	neutral	158	4	methexp32	2017-07-18_12.02.11.088000
15	60	2.167000	14.png	negative	153	5	methexp32	2017-07-18_12.02.11.088000
15	25	1.807000	13.png	negative	153	6	methexp32	2017-07-18_12.02.11.088000
15	132	2.722000	70.png	positive	153	7	methexp32	2017-07-18_12.02.11.088000
15	183	1.616000	50.png	neutral	170	8	methexp32	2017-07-18_12.02.11.088000
15	149	1.767000	99.png	negative	153	9	methexp32	2017-07-18_12.02.11.088000
15	43	2.072000	39.png	negative	153	10	methexp32	2017-07-18_12.02.11.088000
15	87	2.296000	02.png	positive	153	11	methexp32	2017-07-18_12.02.11.088000
15	12	1.936000	16.png	positive	153	12	methexp32	2017-07-18_12.02.11.088000
15	99	2.135000	20.png	positive	153	13	methexp32	2017-07-18_12.02.11.088000
15	46	1.947000	67.png	negative	153	14	methexp32	2017-07-18_12.02.11.088000
15	177	2.117000	68.png	positive	153	15	methexp32	2017-07-18_12.02.11.088000
15	37	2.206000	72.png	negative	153	16	methexp32	2017-07-18_12.02.11.088000
15	7	2.596000	77.png	positive	153	17	methexp32	2017-07-18_12.02.11.088000
15	42	2.506000	43.png	negative	153	18	methexp32	2017-07-18_12.02.11.088000
