ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
24	150	5.547000	81.png	positive	153	1	methexp32	2017-07-19_13.17.45.910000
24	73	1.737000	72.png	positive	153	2	methexp32	2017-07-19_13.17.45.910000
24	45	1.577000	99.png	negative	153	3	methexp32	2017-07-19_13.17.45.910000
24	99	1.257000	20.png	positive	153	4	methexp32	2017-07-19_13.17.45.910000
24	131	1.834000	67.png	negative	153	5	methexp32	2017-07-19_13.17.45.910000
24	166	1.766000	29.png	neutral	170	6	methexp32	2017-07-19_13.17.45.910000
24	41	2.687000	14.png	negative	153	7	methexp32	2017-07-19_13.17.45.910000
24	124	3.106000	77.png	positive	153	8	methexp32	2017-07-19_13.17.45.910000
24	53	2.576000	43.png	positive	153	9	methexp32	2017-07-19_13.17.45.910000
24	146	2.007000	13.png	negative	153	10	methexp32	2017-07-19_13.17.45.910000
24	157	2.296000	50.png	neutral	158	11	methexp32	2017-07-19_13.17.45.910000
24	114	1.436000	16.png	positive	153	12	methexp32	2017-07-19_13.17.45.910000
24	65	1.887000	68.png	positive	153	13	methexp32	2017-07-19_13.17.45.910000
24	98	1.981000	98.png	positive	153	14	methexp32	2017-07-19_13.17.45.910000
24	122	2.025000	12.png	negative	153	15	methexp32	2017-07-19_13.17.45.910000
24	134	1.451000	39.png	negative	153	16	methexp32	2017-07-19_13.17.45.910000
24	45	1.526000	02.png	negative	153	17	methexp32	2017-07-19_13.17.45.910000
24	49	1.946000	70.png	negative	153	18	methexp32	2017-07-19_13.17.45.910000
