ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
126	Cologne	Bob	9	1	1	1	1	1	0	1	2	2	methexp32	2018-02-02_11.52.39.994000
126	Cologne	Bob	4	4	4	4	4	4	40	2	2	2	methexp32	2018-02-02_11.52.39.994000
