ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
122	Cologne	1	white5.bmp	Image	NonBob	d	['d']	correct	1.614378	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	1.611765	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white1.bmp	Image	NonBob	d	['d']	correct	1.435302	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	0.821805	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	0.719301	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	0.574073	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white5.bmp	Image	NonBob	d	['d']	correct	0.600028	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	0.473851	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	0.499288	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.638824	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white3.bmp	Image	NonBob	d	['d']	correct	0.899785	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white2.bmp	Image	NonBob	d	['d']	correct	0.470263	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.545472	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white2.bmp	Image	NonBob	d	['d']	correct	0.401795	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	0.580623	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	0.436296	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	0.409742	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white4.bmp	Image	Bob	k	['k']	correct	0.574171	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white1.bmp	Image	NonBob	d	['d']	correct	0.677220	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
122	Cologne	1	white3.bmp	Image	NonBob	d	['d']	correct	0.989899	0.000000	1	2	2	1	methexp32	2018-02-02_09.09.00.416000
