ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
134	Cologne	Bob	9	9	9	9	9	9	100	1	1	2	methexp32	2018-02-05_13.36.33.661000
134	Cologne	Bob	1	1	1	1	1	1	0	2	1	2	methexp32	2018-02-05_13.36.33.661000
