ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
102	Cologne	Bob	8	8	9	6	8	9	90	1	1	2	methexp32	2018-01-30_16.46.49.076000
102	Cologne	Bob	3	2	1	4	2	3	0	2	1	2	methexp32	2018-01-30_16.46.49.076000
