ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
128	Cologne	Bob	1	1	1	1	1	2	10	1	2	2	methexp32	2018-02-02_12.58.57.642000
128	Cologne	Bob	7	7	9	7	9	8	70	2	2	2	methexp32	2018-02-02_12.58.57.642000
