ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.955679	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white2.bmp	Image	NonBob	k	['k']	correct	0.615118	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.620787	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white5.bmp	Image	NonBob	k	['k']	correct	0.486017	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white4.bmp	Image	NonBob	k	['k']	correct	0.531684	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.443269	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.534937	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white4.bmp	Image	NonBob	k	['k']	correct	0.628262	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.601605	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.498066	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.363315	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white1.bmp	Image	NonBob	k	['k']	correct	0.458271	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.568261	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white5.bmp	Image	NonBob	k	['k']	correct	0.550500	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.469357	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.486448	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white2.bmp	Image	NonBob	k	['k']	correct	0.506573	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.588138	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white3.bmp	Image	Bob	d	['d']	correct	0.426013	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	1	white1.bmp	Image	NonBob	k	['k']	correct	0.507894	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	2	AUSGEZEICHNET	Text	pos	k	['k']	correct	1.342611	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	2	SCHRECKLICH	Text	neg	d	['d']	correct	0.697741	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	2	NETT	Text	pos	k	['k']	correct	0.557500	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	2	VERFAULT	Text	neg	d	['d']	correct	0.486669	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	2	GRAUENHAFT	Text	neg	d	['d']	correct	0.603993	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	2	HERRLICH	Text	pos	k	['k']	correct	0.570043	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	2	FURCHTBAR	Text	neg	d	['d']	correct	0.738655	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	2	﻿GROßARTIG	Text	pos	k	['k']	correct	0.528819	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
105	Cologne	2	PRÄCHTIG	Text	pos	k	['k']	correct	0.585642	0.000000	1	1	2	1	methexp32	2018-01-31_10.56.34.622000
