ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
136	Cologne	Bob	9	9	9	9	9	9	95	1	1	2	methexp32	2018-02-05_15.04.02.493000
136	Cologne	Bob	1	1	1	1	1	1	0	2	1	2	methexp32	2018-02-05_15.04.02.493000
