sid,bid,tid,material,instructions,material_order,stimulus_location,response_location,response_time,response_deadline,error
7,1,1,mixed deterministic,sequence concealed,random first,2,2,0.5041163000278175,1.25,0
7,1,2,mixed deterministic,sequence concealed,random first,1,1,0.4005656000226736,1.25,0
7,1,3,mixed deterministic,sequence concealed,random first,3,3,0.31064470001729205,1.25,0
7,1,4,mixed deterministic,sequence concealed,random first,5,5,0.40058209997368976,1.25,0
7,1,5,mixed deterministic,sequence concealed,random first,1,1,0.321893899992574,1.25,0
7,1,6,mixed deterministic,sequence concealed,random first,5,5,0.3901060000061989,1.25,0
7,1,7,mixed deterministic,sequence concealed,random first,2,2,0.380443700007163,1.25,0
7,1,8,mixed deterministic,sequence concealed,random first,5,5,0.31053140002768487,1.25,0
7,1,9,mixed deterministic,sequence concealed,random first,2,2,0.32238349999533966,1.25,0
7,1,10,mixed deterministic,sequence concealed,random first,5,5,0.30685200000880286,1.25,0
7,1,11,mixed deterministic,sequence concealed,random first,3,3,0.3411289000068791,1.25,0
7,1,12,mixed deterministic,sequence concealed,random first,1,1,0.320375100011006,1.25,0
7,1,13,mixed deterministic,sequence concealed,random first,6,6,0.34070399997290224,1.25,0
7,1,14,mixed deterministic,sequence concealed,random first,1,1,0.30028810002841055,1.25,0
7,1,15,mixed deterministic,sequence concealed,random first,2,2,0.3708037000033073,1.25,0
7,1,16,mixed deterministic,sequence concealed,random first,3,3,0.3103885999880731,1.25,0
7,1,17,mixed deterministic,sequence concealed,random first,4,4,0.3806732000084594,1.25,0
7,1,18,mixed deterministic,sequence concealed,random first,2,2,0.37238060001982376,1.25,0
7,1,19,mixed deterministic,sequence concealed,random first,4,4,0.3702599999960512,1.25,0
7,1,20,mixed deterministic,sequence concealed,random first,3,4,0.4310115000116639,1.25,1
7,1,21,mixed deterministic,sequence concealed,random first,5,5,0.3611011999892071,1.25,0
7,1,22,mixed deterministic,sequence concealed,random first,4,4,0.40062610001768917,1.25,0
7,1,23,mixed deterministic,sequence concealed,random first,1,1,0.36070249998010695,1.25,0
7,1,24,mixed deterministic,sequence concealed,random first,6,6,0.32091439998475835,1.25,0
7,1,25,mixed deterministic,sequence concealed,random first,2,2,0.3116351999924518,1.15,0
7,1,26,mixed deterministic,sequence concealed,random first,5,5,0.30074559996137396,1.15,0
7,1,27,mixed deterministic,sequence concealed,random first,4,3,0.41068720002658665,1.15,1
7,1,28,mixed deterministic,sequence concealed,random first,1,1,0.331054599955678,1.15,0
7,1,29,mixed deterministic,sequence concealed,random first,4,5,0.3204871999914758,1.15,1
7,1,30,mixed deterministic,sequence concealed,random first,6,6,0.37105380004504696,1.15,0
7,1,31,mixed deterministic,sequence concealed,random first,2,2,0.3908397000050172,1.15,0
7,1,32,mixed deterministic,sequence concealed,random first,1,1,0.4023494000430219,1.15,0
7,1,33,mixed deterministic,sequence concealed,random first,3,3,0.4010585999931209,1.15,0
7,1,34,mixed deterministic,sequence concealed,random first,5,5,0.32064940000418574,1.15,0
7,1,35,mixed deterministic,sequence concealed,random first,6,6,0.3504231999977492,1.15,0
7,1,36,mixed deterministic,sequence concealed,random first,5,5,0.42066080000950024,1.15,0
7,1,37,mixed deterministic,sequence concealed,random first,2,2,0.40062819997547194,1.15,0
7,1,38,mixed deterministic,sequence concealed,random first,6,6,0.3304257999989204,1.15,0
7,1,39,mixed deterministic,sequence concealed,random first,5,5,0.34071610000682995,1.15,0
7,1,40,mixed deterministic,sequence concealed,random first,1,1,0.34052760002668947,1.15,0
7,1,41,mixed deterministic,sequence concealed,random first,2,2,0.35070640000049025,1.15,0
7,1,42,mixed deterministic,sequence concealed,random first,1,1,0.36086359998444095,1.15,0
7,1,43,mixed deterministic,sequence concealed,random first,3,3,0.3208773999940604,1.15,0
7,1,44,mixed deterministic,sequence concealed,random first,2,2,0.40254679997451603,1.15,0
7,1,45,mixed deterministic,sequence concealed,random first,3,3,0.40076979994773865,1.15,0
7,1,46,mixed deterministic,sequence concealed,random first,4,4,0.3805811000056565,1.15,0
7,1,47,mixed deterministic,sequence concealed,random first,2,2,0.3523414999945089,1.15,0
7,1,48,mixed deterministic,sequence concealed,random first,5,5,0.34066740004345775,1.15,0
7,1,49,mixed deterministic,sequence concealed,random first,4,4,0.3303516999585554,1.05,0
7,1,50,mixed deterministic,sequence concealed,random first,5,6,0.3006254999781959,1.05,1
7,1,51,mixed deterministic,sequence concealed,random first,2,2,0.3608792999875732,1.05,0
7,1,51,mixed deterministic,sequence concealed,random first,2,1,0.36112600000342354,1.05,1
7,1,52,mixed deterministic,sequence concealed,random first,5,5,0.4027121000108309,1.05,0
7,1,53,mixed deterministic,sequence concealed,random first,3,3,0.3907027000095695,1.05,0
7,1,54,mixed deterministic,sequence concealed,random first,2,2,0.3806470999843441,1.05,0
7,1,55,mixed deterministic,sequence concealed,random first,4,5,0.3406432999763638,1.05,1
7,1,56,mixed deterministic,sequence concealed,random first,6,6,0.5112080000108108,1.05,0
7,1,57,mixed deterministic,sequence concealed,random first,3,3,0.4207071000128053,1.05,0
7,1,58,mixed deterministic,sequence concealed,random first,2,2,0.341857599967625,1.05,0
