sid,bid,tid,material,instructions,material_order,stimulus_location,response_location,response_time,response_deadline,error
84,1,1,mixed deterministic,sequence revealed,regular first,5,5,1.5418,0.9,0
84,1,2,mixed deterministic,sequence revealed,regular first,3,3,0.8316,0.9,0
84,1,3,mixed deterministic,sequence revealed,regular first,4,4,0.866,0.9,0
84,1,4,mixed deterministic,sequence revealed,regular first,1,1,0.7198,0.9,0
84,1,5,mixed deterministic,sequence revealed,regular first,2,2,0.6358,0.9,0
84,1,6,mixed deterministic,sequence revealed,regular first,6,6,0.7269,0.9,0
84,1,7,mixed deterministic,sequence revealed,regular first,5,5,0.7125,0.9,0
84,1,8,mixed deterministic,sequence revealed,regular first,3,3,1.2287,0.9,0
84,1,9,mixed deterministic,sequence revealed,regular first,4,5,0.8243,0.9,1
84,1,10,mixed deterministic,sequence revealed,regular first,1,1,0.8899,0.9,0
84,1,11,mixed deterministic,sequence revealed,regular first,2,2,0.5031,0.9,0
84,1,12,mixed deterministic,sequence revealed,regular first,6,6,0.8315,0.9,0
84,1,13,mixed deterministic,sequence revealed,regular first,5,5,0.6847,0.9,0
84,1,14,mixed deterministic,sequence revealed,regular first,3,3,1.1175,0.9,0
84,1,15,mixed deterministic,sequence revealed,regular first,4,4,0.878,0.9,0
84,1,16,mixed deterministic,sequence revealed,regular first,1,1,0.6298,0.9,0
84,1,17,mixed deterministic,sequence revealed,regular first,2,2,0.552,0.9,0
84,1,18,mixed deterministic,sequence revealed,regular first,6,6,0.6569,0.9,0
84,1,19,mixed deterministic,sequence revealed,regular first,5,5,0.594,0.9,0
84,1,20,mixed deterministic,sequence revealed,regular first,3,3,0.6426,0.9,0
84,1,21,mixed deterministic,sequence revealed,regular first,4,5,0.5944,0.9,1
84,1,22,mixed deterministic,sequence revealed,regular first,1,1,0.6775,0.9,0
84,1,23,mixed deterministic,sequence revealed,regular first,2,2,0.6916,0.9,0
84,1,24,mixed deterministic,sequence revealed,regular first,6,6,0.5452,0.9,0
