sid,bid,tid,material,instructions,material_order,stimulus_location,response_location,response_time,response_deadline,error
9,1,1,probabilistic,sequence revealed,regular first,3,3,0.6824003000510857,0.9,0
9,1,2,probabilistic,sequence revealed,regular first,6,6,0.607012000051327,0.9,0
9,1,3,probabilistic,sequence revealed,regular first,2,2,0.7046105000190437,0.9,0
9,1,4,probabilistic,sequence revealed,regular first,1,1,0.634961000061594,0.9,0
9,1,5,probabilistic,sequence revealed,regular first,3,3,0.7812488999916241,0.9,0
9,1,6,probabilistic,sequence revealed,regular first,6,6,0.7046164999483153,0.9,0
9,1,7,probabilistic,sequence revealed,regular first,5,5,0.5790355999488384,0.9,0
9,1,8,probabilistic,sequence revealed,regular first,4,4,0.6766672000521794,0.9,0
9,1,9,probabilistic,sequence revealed,regular first,2,2,0.6283165999921039,0.9,0
9,1,10,probabilistic,sequence revealed,regular first,3,3,0.7742791000055149,0.9,0
9,1,11,probabilistic,sequence revealed,regular first,6,6,0.7329067999962717,0.9,0
9,1,12,probabilistic,sequence revealed,regular first,1,1,0.7743836999870837,0.9,0
9,1,13,probabilistic,sequence revealed,regular first,2,2,0.7463954000268131,0.9,0
9,1,14,probabilistic,sequence revealed,regular first,1,1,0.7602533999597654,0.9,0
9,1,15,probabilistic,sequence revealed,regular first,3,3,0.7394107000436634,0.9,0
9,1,16,probabilistic,sequence revealed,regular first,4,4,0.7255376999964938,0.9,0
9,1,17,probabilistic,sequence revealed,regular first,5,5,0.6138322999468073,0.9,0
9,1,18,probabilistic,sequence revealed,regular first,3,3,0.7324365000240505,0.9,0
9,1,19,probabilistic,sequence revealed,regular first,4,4,0.8161843999987468,0.9,0
9,1,20,probabilistic,sequence revealed,regular first,2,2,0.7185032999841496,0.9,0
9,1,21,probabilistic,sequence revealed,regular first,4,5,0.6626591000240296,0.9,1
9,1,22,probabilistic,sequence revealed,regular first,2,2,0.6797710000537336,0.9,0
9,1,23,probabilistic,sequence revealed,regular first,4,4,0.7113599000731483,0.9,0
9,1,24,probabilistic,sequence revealed,regular first,2,2,0.7184003000147641,0.9,0
9,1,25,probabilistic,sequence revealed,regular first,5,5,0.7188193999463692,0.8,0
9,1,26,probabilistic,sequence revealed,regular first,4,3,0.7533395000500605,0.8,1
9,1,27,probabilistic,sequence revealed,regular first,2,2,0.6973963000345975,0.8,0
9,1,28,probabilistic,sequence revealed,regular first,1,1,0.6486303999554366,0.8,0
9,1,29,probabilistic,sequence revealed,regular first,3,3,0.885948000010103,0.8,0
9,1,30,probabilistic,sequence revealed,regular first,6,6,0.6626654000720009,0.8,0
9,1,31,probabilistic,sequence revealed,regular first,4,4,0.6347386999987066,0.8,0
9,1,32,probabilistic,sequence revealed,regular first,5,5,0.6208163000410423,0.8,0
9,1,33,probabilistic,sequence revealed,regular first,4,3,0.7466642999788746,0.8,1
9,1,34,probabilistic,sequence revealed,regular first,2,2,0.7075690999627113,0.8,0
9,1,35,probabilistic,sequence revealed,regular first,1,1,0.6419306000461802,0.8,0
9,1,36,probabilistic,sequence revealed,regular first,5,5,0.6624763000290841,0.8,0
9,1,37,probabilistic,sequence revealed,regular first,4,4,0.7325586000224575,0.8,0
9,1,38,probabilistic,sequence revealed,regular first,2,2,0.8931184000102803,0.8,0
9,1,39,probabilistic,sequence revealed,regular first,5,5,0.7324221000308171,0.8,0
9,1,40,probabilistic,sequence revealed,regular first,1,1,0.7326217999216169,0.8,0
9,1,41,probabilistic,sequence revealed,regular first,3,3,0.7678602000232786,0.8,0
9,1,42,probabilistic,sequence revealed,regular first,6,6,0.7043700999347493,0.8,0
9,1,43,probabilistic,sequence revealed,regular first,3,2,0.7535444999812171,0.8,1
9,1,44,probabilistic,sequence revealed,regular first,5,5,0.6556917999405414,0.8,0
9,1,45,probabilistic,sequence revealed,regular first,4,4,0.7335191000020131,0.8,0
9,1,46,probabilistic,sequence revealed,regular first,3,3,0.6975462000118569,0.8,0
9,1,47,probabilistic,sequence revealed,regular first,6,6,0.7603244000347331,0.8,0
9,1,48,probabilistic,sequence revealed,regular first,5,5,0.6906807000050321,0.8,0
9,1,49,probabilistic,sequence revealed,regular first,4,4,0.6905250999843702,0.7,0
9,1,50,probabilistic,sequence revealed,regular first,5,5,0.7329869999084622,0.7,0
9,1,51,probabilistic,sequence revealed,regular first,1,1,0.7398155000992119,0.7,0
9,1,52,probabilistic,sequence revealed,regular first,3,3,0.7673096000216901,0.7,0
9,1,53,probabilistic,sequence revealed,regular first,1,2,0.7184821999398991,0.7,1
9,1,54,probabilistic,sequence revealed,regular first,5,5,0.697313699987717,0.7,0
9,1,55,probabilistic,sequence revealed,regular first,4,4,0.6906120999483392,0.7,0
9,1,56,probabilistic,sequence revealed,regular first,5,5,0.6836819000309333,0.7,0
9,1,57,probabilistic,sequence revealed,regular first,3,3,0.690529799903743,0.7,0
9,1,58,probabilistic,sequence revealed,regular first,6,6,0.6976762999547645,0.7,0
9,1,59,probabilistic,sequence revealed,regular first,1,1,0.7464149000588804,0.7,0
9,1,60,probabilistic,sequence revealed,regular first,3,3,0.6697211000137031,0.7,0
9,1,61,probabilistic,sequence revealed,regular first,6,5,0.7742686999263242,0.7,1
9,1,62,probabilistic,sequence revealed,regular first,5,5,2.6050019999966025,0.7,0
9,1,63,probabilistic,sequence revealed,regular first,6,6,0.6910463999956846,0.7,0
9,1,64,probabilistic,sequence revealed,regular first,5,5,0.816450999933295,0.7,0
9,1,65,probabilistic,sequence revealed,regular first,4,4,0.8369934000074863,0.7,0
9,1,66,probabilistic,sequence revealed,regular first,2,2,0.6417281000176445,0.7,0
9,1,67,probabilistic,sequence revealed,regular first,1,1,0.6626003000419587,0.7,0
9,1,68,probabilistic,sequence revealed,regular first,5,5,0.6279635999817401,0.7,0
9,1,69,probabilistic,sequence revealed,regular first,4,4,0.6278344000456855,0.7,0
9,1,70,probabilistic,sequence revealed,regular first,2,2,0.7044911000411958,0.7,0
9,1,71,probabilistic,sequence revealed,regular first,1,1,0.9206116000423208,0.7,0
9,1,72,probabilistic,sequence revealed,regular first,3,3,0.8302264000521973,0.7,0
9,1,73,probabilistic,sequence revealed,regular first,6,5,0.7820922000100836,0.6,1
9,1,74,probabilistic,sequence revealed,regular first,4,4,0.6904845000244677,0.6,0
9,1,75,probabilistic,sequence revealed,regular first,2,2,0.6903232000768185,0.6,0
9,1,76,probabilistic,sequence revealed,regular first,6,6,0.6908875999506563,0.6,0
9,1,77,probabilistic,sequence revealed,regular first,5,5,0.836881999974139,0.6,0
9,1,78,probabilistic,sequence revealed,regular first,4,4,1.095449800021015,0.6,0
9,1,79,probabilistic,sequence revealed,regular first,3,3,0.7514488999731839,0.6,0
9,1,80,probabilistic,sequence revealed,regular first,4,4,0.6567138000391424,0.6,0
9,1,81,probabilistic,sequence revealed,regular first,5,5,0.593225899967365,0.6,0
9,1,82,probabilistic,sequence revealed,regular first,6,6,0.6418376999208704,0.6,0
9,1,83,probabilistic,sequence revealed,regular first,5,5,0.6488349999999627,0.6,0
9,1,84,probabilistic,sequence revealed,regular first,6,6,0.8304516000207514,0.6,0
9,1,85,probabilistic,sequence revealed,regular first,3,2,0.7185293999500573,0.6,1
9,1,86,probabilistic,sequence revealed,regular first,2,2,0.6238190999720246,0.6,0
9,1,87,probabilistic,sequence revealed,regular first,1,1,0.6769789999816567,0.6,0
9,1,88,probabilistic,sequence revealed,regular first,4,4,0.7115444999653846,0.6,0
9,1,89,probabilistic,sequence revealed,regular first,3,3,0.7534567000111565,0.6,0
9,1,90,probabilistic,sequence revealed,regular first,6,6,0.7115104000549763,0.6,0
9,1,91,probabilistic,sequence revealed,regular first,5,5,0.6487261999864131,0.6,0
9,1,92,probabilistic,sequence revealed,regular first,3,3,0.6975424999836832,0.6,0
9,1,93,probabilistic,sequence revealed,regular first,6,6,0.6626877000089735,0.6,0
9,1,94,probabilistic,sequence revealed,regular first,2,2,0.7535132999764755,0.6,0
9,1,95,probabilistic,sequence revealed,regular first,1,1,0.6700543001061305,0.6,0
9,1,96,probabilistic,sequence revealed,regular first,6,6,0.7673461000667885,0.6,0
9,1,97,probabilistic,sequence revealed,regular first,5,5,0.7533361000241712,0.5,0
9,1,98,probabilistic,sequence revealed,regular first,6,6,0.7679622999858111,0.5,0
9,1,99,probabilistic,sequence revealed,regular first,1,1,0.697527699987404,0.5,0
9,1,100,probabilistic,sequence revealed,regular first,3,3,0.6705013000173494,0.5,0
9,1,101,probabilistic,sequence revealed,regular first,4,4,0.6414596999529749,0.5,0
9,1,102,probabilistic,sequence revealed,regular first,2,2,0.6492564999498427,0.5,0
9,1,103,probabilistic,sequence revealed,regular first,1,1,0.613884299993515,0.5,0
9,1,104,probabilistic,sequence revealed,regular first,3,3,0.6906883000629023,0.5,0
9,1,105,probabilistic,sequence revealed,regular first,6,6,0.6488685000222176,0.5,0
9,1,106,probabilistic,sequence revealed,regular first,5,5,0.5720173999434337,0.5,0
9,1,107,probabilistic,sequence revealed,regular first,4,4,0.5790845999727026,0.5,0
9,1,108,probabilistic,sequence revealed,regular first,6,6,0.8161420000251383,0.5,0
9,1,109,probabilistic,sequence revealed,regular first,5,5,0.6977268999908119,0.5,0
9,1,110,probabilistic,sequence revealed,regular first,2,2,0.6138099000090733,0.5,0
9,1,111,probabilistic,sequence revealed,regular first,1,1,0.6068969999905676,0.5,0
9,1,112,probabilistic,sequence revealed,regular first,4,4,0.6348171000136063,0.5,0
9,1,113,probabilistic,sequence revealed,regular first,3,3,0.767322100000456,0.5,0
9,1,114,probabilistic,sequence revealed,regular first,1,1,0.6747878999449313,0.5,0
9,1,115,probabilistic,sequence revealed,regular first,3,3,0.7182184000266716,0.5,0
9,1,116,probabilistic,sequence revealed,regular first,6,6,0.6629792000167072,0.5,0
9,1,117,probabilistic,sequence revealed,regular first,5,5,0.5790613999124616,0.5,0
9,1,118,probabilistic,sequence revealed,regular first,6,6,0.6764799000229686,0.5,0
9,1,119,probabilistic,sequence revealed,regular first,5,5,0.6420066000428051,0.5,0
9,1,120,probabilistic,sequence revealed,regular first,4,4,0.5930390999419615,0.5,0
9,1,121,probabilistic,sequence revealed,regular first,2,2,0.6417645000619814,0.5,0
9,1,122,probabilistic,sequence revealed,regular first,1,1,0.592976399930194,0.5,0
