sid,bid,tid,material,instructions,material_order,stimulus_location,response_location,response_time,response_deadline,error
62,1,1,probabilistic,sequence concealed,random first,6,6,0.3637,0.9,0
62,1,2,probabilistic,sequence concealed,random first,3,2,0.5522,0.9,1
62,1,3,probabilistic,sequence concealed,random first,2,2,0.6107,0.9,0
62,1,4,probabilistic,sequence concealed,random first,1,1,0.4339,0.9,0
62,1,5,probabilistic,sequence concealed,random first,5,5,0.4755,0.9,0
62,1,6,probabilistic,sequence concealed,random first,6,6,0.4335,0.9,0
62,1,7,probabilistic,sequence concealed,random first,3,3,0.5735,0.9,0
62,1,8,probabilistic,sequence concealed,random first,4,4,0.4824,0.9,0
62,1,9,probabilistic,sequence concealed,random first,1,1,0.5312,0.9,0
62,1,10,probabilistic,sequence concealed,random first,5,5,0.5801,0.9,0
62,1,11,probabilistic,sequence concealed,random first,6,6,0.42,0.9,0
62,1,12,probabilistic,sequence concealed,random first,4,5,0.4615,0.9,1
62,1,13,probabilistic,sequence concealed,random first,2,2,0.4925,0.9,0
62,1,14,probabilistic,sequence concealed,random first,1,1,0.5382,0.9,0
62,1,15,probabilistic,sequence concealed,random first,2,2,0.5383,0.9,0
62,1,16,probabilistic,sequence concealed,random first,5,5,0.5592,0.9,0
62,1,17,probabilistic,sequence concealed,random first,4,4,0.587,0.9,0
62,1,18,probabilistic,sequence concealed,random first,6,6,0.4822,0.9,0
62,1,19,probabilistic,sequence concealed,random first,5,5,0.6083,0.9,0
62,1,20,probabilistic,sequence concealed,random first,2,2,0.4336,0.9,0
62,1,21,probabilistic,sequence concealed,random first,1,1,0.4614,0.9,0
62,1,22,probabilistic,sequence concealed,random first,2,2,0.6009,0.9,0
62,1,23,probabilistic,sequence concealed,random first,4,4,0.5522,0.9,0
62,1,24,probabilistic,sequence concealed,random first,5,5,0.5313,0.9,0
62,1,25,probabilistic,sequence concealed,random first,6,6,0.4127,0.8,0
62,1,26,probabilistic,sequence concealed,random first,3,3,0.6358,0.8,0
62,1,27,probabilistic,sequence concealed,random first,4,4,0.5658,0.8,0
62,1,28,probabilistic,sequence concealed,random first,2,2,0.5038,0.8,0
62,1,29,probabilistic,sequence concealed,random first,1,1,0.4894,0.8,0
62,1,30,probabilistic,sequence concealed,random first,2,2,0.5729,0.8,0
62,1,31,probabilistic,sequence concealed,random first,1,1,0.5382,0.8,0
62,1,32,probabilistic,sequence concealed,random first,5,5,0.5173,0.8,0
62,1,33,probabilistic,sequence concealed,random first,1,1,0.4753,0.8,0
62,1,34,probabilistic,sequence concealed,random first,5,5,0.4824,0.8,0
62,1,35,probabilistic,sequence concealed,random first,4,4,0.5661,0.8,0
62,1,36,probabilistic,sequence concealed,random first,5,5,0.4895,0.8,0
62,1,37,probabilistic,sequence concealed,random first,4,4,0.5311,0.8,0
62,1,38,probabilistic,sequence concealed,random first,2,2,0.7964,0.8,0
62,1,39,probabilistic,sequence concealed,random first,4,4,0.566,0.8,0
62,1,40,probabilistic,sequence concealed,random first,3,3,0.6569,0.8,0
62,1,41,probabilistic,sequence concealed,random first,6,5,0.6498,0.8,1
62,1,42,probabilistic,sequence concealed,random first,3,3,0.5655,0.8,0
62,1,43,probabilistic,sequence concealed,random first,4,4,0.5664,0.8,0
62,1,44,probabilistic,sequence concealed,random first,1,1,0.5944,0.8,0
62,1,45,probabilistic,sequence concealed,random first,6,6,0.4335,0.8,0
62,1,46,probabilistic,sequence concealed,random first,3,3,0.7476,0.8,0
62,1,47,probabilistic,sequence concealed,random first,1,1,0.5311,0.8,0
62,1,48,probabilistic,sequence concealed,random first,5,5,0.7336,0.8,0
62,1,49,probabilistic,sequence concealed,random first,6,6,0.5177,0.7,0
62,1,50,probabilistic,sequence concealed,random first,3,3,0.6497,0.7,0
62,1,51,probabilistic,sequence concealed,random first,4,4,0.7056,0.7,0
62,1,52,probabilistic,sequence concealed,random first,2,1,0.6341,0.7,1
62,1,53,probabilistic,sequence concealed,random first,3,3,0.51,0.7,0
62,1,54,probabilistic,sequence concealed,random first,4,4,0.4545,0.7,0
62,1,55,probabilistic,sequence concealed,random first,1,1,0.3922,0.7,0
62,1,56,probabilistic,sequence concealed,random first,2,2,0.4614,0.7,0
62,1,57,probabilistic,sequence concealed,random first,1,1,0.4267,0.7,0
62,1,58,probabilistic,sequence concealed,random first,5,5,0.4683,0.7,0
62,1,59,probabilistic,sequence concealed,random first,6,6,0.3917,0.7,0
62,1,60,probabilistic,sequence concealed,random first,4,4,0.413,0.7,0
62,1,61,probabilistic,sequence concealed,random first,3,4,0.4266,0.7,1
62,1,62,probabilistic,sequence concealed,random first,1,1,0.3809,0.7,0
62,1,63,probabilistic,sequence concealed,random first,3,3,0.4684,0.7,0
62,1,64,probabilistic,sequence concealed,random first,4,4,0.4266,0.7,0
