sid,bid,tid,material,instructions,material_order,stimulus_location,response_location,response_time,response_deadline,error
71,1,1,mixed deterministic,sequence revealed,regular first,4,4,0.7906,0.9,0
71,1,2,mixed deterministic,sequence revealed,regular first,3,3,0.852,0.9,0
71,1,3,mixed deterministic,sequence revealed,regular first,5,5,0.4616,0.9,0
71,1,4,mixed deterministic,sequence revealed,regular first,1,1,0.4686,0.9,0
71,1,5,mixed deterministic,sequence revealed,regular first,2,2,0.4685,0.9,0
71,1,6,mixed deterministic,sequence revealed,regular first,6,6,0.5519,0.9,0
71,1,7,mixed deterministic,sequence revealed,regular first,4,4,0.3779,0.9,0
71,1,8,mixed deterministic,sequence revealed,regular first,3,3,0.5594,0.9,0
71,1,9,mixed deterministic,sequence revealed,regular first,5,5,0.4476,0.9,0
71,1,10,mixed deterministic,sequence revealed,regular first,1,1,0.4404,0.9,0
71,1,11,mixed deterministic,sequence revealed,regular first,2,2,0.5592,0.9,0
71,1,12,mixed deterministic,sequence revealed,regular first,6,6,0.4824,0.9,0
71,1,13,mixed deterministic,sequence revealed,regular first,4,4,0.4405,0.9,0
71,1,14,mixed deterministic,sequence revealed,regular first,3,3,0.566,0.9,0
71,1,15,mixed deterministic,sequence revealed,regular first,5,5,0.4336,0.9,0
71,1,16,mixed deterministic,sequence revealed,regular first,1,1,0.4758,0.9,0
71,1,17,mixed deterministic,sequence revealed,regular first,2,2,0.6079,0.9,0
71,1,18,mixed deterministic,sequence revealed,regular first,6,6,0.4683,0.9,0
71,1,19,mixed deterministic,sequence revealed,regular first,4,4,0.5736,0.9,0
71,1,20,mixed deterministic,sequence revealed,regular first,3,3,0.5035,0.9,0
71,1,21,mixed deterministic,sequence revealed,regular first,5,5,0.3641,0.9,0
71,1,22,mixed deterministic,sequence revealed,regular first,1,1,0.4963,0.9,0
71,1,23,mixed deterministic,sequence revealed,regular first,2,2,0.5103,0.9,0
71,1,24,mixed deterministic,sequence revealed,regular first,6,6,0.4267,0.9,0
71,1,25,mixed deterministic,sequence revealed,regular first,4,4,0.5452,0.8,0
71,1,26,mixed deterministic,sequence revealed,regular first,3,3,0.5173,0.8,0
71,1,27,mixed deterministic,sequence revealed,regular first,5,5,0.3916,0.8,0
71,1,28,mixed deterministic,sequence revealed,regular first,1,1,0.4335,0.8,0
71,1,29,mixed deterministic,sequence revealed,regular first,2,2,0.5242,0.8,0
71,1,30,mixed deterministic,sequence revealed,regular first,6,6,0.5591,0.8,0
71,1,31,mixed deterministic,sequence revealed,regular first,4,4,0.4476,0.8,0
71,1,32,mixed deterministic,sequence revealed,regular first,3,6,0.3848,0.8,1
71,1,33,mixed deterministic,sequence revealed,regular first,5,5,0.7784,0.8,0
71,1,34,mixed deterministic,sequence revealed,regular first,1,1,0.5386,0.8,0
71,1,35,mixed deterministic,sequence revealed,regular first,2,2,0.6777,0.8,0
71,1,36,mixed deterministic,sequence revealed,regular first,6,6,0.5101,0.8,0
71,1,37,mixed deterministic,sequence revealed,regular first,4,4,0.4548,0.8,0
71,1,38,mixed deterministic,sequence revealed,regular first,3,3,0.5387,0.8,0
71,1,39,mixed deterministic,sequence revealed,regular first,5,5,0.2943,0.8,0
71,1,40,mixed deterministic,sequence revealed,regular first,1,1,0.5317,0.8,0
71,1,41,mixed deterministic,sequence revealed,regular first,2,2,0.4126,0.8,0
71,1,42,mixed deterministic,sequence revealed,regular first,6,6,0.4405,0.8,0
71,1,43,mixed deterministic,sequence revealed,regular first,4,4,0.4755,0.8,0
71,1,44,mixed deterministic,sequence revealed,regular first,3,3,0.5798,0.8,0
71,1,45,mixed deterministic,sequence revealed,regular first,5,6,0.4554,0.8,1
71,1,46,mixed deterministic,sequence revealed,regular first,1,1,0.4819,0.8,0
71,1,47,mixed deterministic,sequence revealed,regular first,2,2,0.6149,0.8,0
71,1,48,mixed deterministic,sequence revealed,regular first,6,6,0.3987,0.8,0
71,1,49,mixed deterministic,sequence revealed,regular first,4,4,0.4406,0.7,0
71,1,50,mixed deterministic,sequence revealed,regular first,3,3,0.5521,0.7,0
71,1,51,mixed deterministic,sequence revealed,regular first,5,5,0.3776,0.7,0
71,1,52,mixed deterministic,sequence revealed,regular first,1,1,0.5379,0.7,0
71,1,53,mixed deterministic,sequence revealed,regular first,2,2,0.4687,0.7,0
71,1,54,mixed deterministic,sequence revealed,regular first,6,6,0.4127,0.7,0
71,1,55,mixed deterministic,sequence revealed,regular first,4,4,0.4126,0.7,0
71,1,56,mixed deterministic,sequence revealed,regular first,3,3,0.4335,0.7,0
71,1,57,mixed deterministic,sequence revealed,regular first,5,5,0.4546,0.7,0
71,1,58,mixed deterministic,sequence revealed,regular first,1,1,0.4474,0.7,0
71,1,59,mixed deterministic,sequence revealed,regular first,2,2,0.4127,0.7,0
71,1,60,mixed deterministic,sequence revealed,regular first,6,6,0.3641,0.7,0
71,1,61,mixed deterministic,sequence revealed,regular first,4,4,0.3708,0.7,0
71,1,62,mixed deterministic,sequence revealed,regular first,3,3,0.5591,0.7,0
71,1,63,mixed deterministic,sequence revealed,regular first,5,5,0.3987,0.7,0
71,1,64,mixed deterministic,sequence revealed,regular first,1,1,0.4127,0.7,0
71,1,65,mixed deterministic,sequence revealed,regular first,2,2,0.5173,0.7,0
71,1,66,mixed deterministic,sequence revealed,regular first,6,6,0.3709,0.7,0
71,1,67,mixed deterministic,sequence revealed,regular first,4,4,0.336,0.7,0
71,1,68,mixed deterministic,sequence revealed,regular first,3,3,0.5731,0.7,0
71,1,69,mixed deterministic,sequence revealed,regular first,5,5,0.5312,0.7,0
71,1,70,mixed deterministic,sequence revealed,regular first,1,1,0.4197,0.7,0
71,1,71,mixed deterministic,sequence revealed,regular first,2,2,0.4893,0.7,0
71,1,72,mixed deterministic,sequence revealed,regular first,6,6,0.4335,0.7,0
71,1,73,mixed deterministic,sequence revealed,regular first,4,4,0.3777,0.6,0
71,1,74,mixed deterministic,sequence revealed,regular first,3,3,0.4266,0.6,0
71,1,75,mixed deterministic,sequence revealed,regular first,5,5,0.6012,0.6,0
71,1,76,mixed deterministic,sequence revealed,regular first,1,1,0.5105,0.6,0
71,1,77,mixed deterministic,sequence revealed,regular first,2,2,0.4479,0.6,0
71,1,78,mixed deterministic,sequence revealed,regular first,6,6,0.4548,0.6,0
71,1,79,mixed deterministic,sequence revealed,regular first,4,4,0.413,0.6,0
71,1,80,mixed deterministic,sequence revealed,regular first,3,3,0.4477,0.6,0
71,1,81,mixed deterministic,sequence revealed,regular first,5,5,0.3924,0.6,0
71,1,82,mixed deterministic,sequence revealed,regular first,1,1,0.4476,0.6,0
71,1,83,mixed deterministic,sequence revealed,regular first,2,2,0.3781,0.6,0
71,1,84,mixed deterministic,sequence revealed,regular first,6,5,0.2527,0.6,1
71,1,85,mixed deterministic,sequence revealed,regular first,4,2,0.4295,0.6,1
71,1,86,mixed deterministic,sequence revealed,regular first,3,4,0.0779,0.6,1
71,1,87,mixed deterministic,sequence revealed,regular first,5,5,0.6455,0.6,0
71,1,88,mixed deterministic,sequence revealed,regular first,1,1,0.4249,0.6,0
71,1,89,mixed deterministic,sequence revealed,regular first,2,1,0.4752,0.6,1
71,1,90,mixed deterministic,sequence revealed,regular first,6,5,0.3285,0.6,1
71,1,91,mixed deterministic,sequence revealed,regular first,4,4,0.4959,0.6,0
71,1,92,mixed deterministic,sequence revealed,regular first,3,3,0.4898,0.6,0
71,1,93,mixed deterministic,sequence revealed,regular first,5,5,0.4827,0.6,0
71,1,94,mixed deterministic,sequence revealed,regular first,1,1,0.448,0.6,0
71,1,95,mixed deterministic,sequence revealed,regular first,2,2,0.4545,0.6,0
71,1,96,mixed deterministic,sequence revealed,regular first,6,6,0.4754,0.6,0
71,1,97,mixed deterministic,sequence revealed,regular first,4,4,0.3637,0.5,0
71,1,98,mixed deterministic,sequence revealed,regular first,3,3,0.4477,0.5,0
71,1,99,mixed deterministic,sequence revealed,regular first,5,5,0.329,0.5,0
71,1,100,mixed deterministic,sequence revealed,regular first,1,1,0.4475,0.5,0
71,1,101,mixed deterministic,sequence revealed,regular first,2,3,0.5108,0.5,1
71,1,102,mixed deterministic,sequence revealed,regular first,6,6,0.4035,0.5,0
71,1,103,mixed deterministic,sequence revealed,regular first,4,4,0.329,0.5,0
71,1,104,mixed deterministic,sequence revealed,regular first,3,3,0.336,0.5,0
71,1,105,mixed deterministic,sequence revealed,regular first,5,5,0.4124,0.5,0
71,1,106,mixed deterministic,sequence revealed,regular first,1,2,0.399,0.5,1
71,1,107,mixed deterministic,sequence revealed,regular first,2,2,0.6218,0.5,0
71,1,108,mixed deterministic,sequence revealed,regular first,6,6,0.3921,0.5,0
71,1,109,mixed deterministic,sequence revealed,regular first,4,4,0.3084,0.5,0
71,1,110,mixed deterministic,sequence revealed,regular first,3,3,0.5032,0.5,0
71,1,111,mixed deterministic,sequence revealed,regular first,5,5,0.4199,0.5,0
71,1,112,mixed deterministic,sequence revealed,regular first,1,1,0.3637,0.5,0
71,1,113,mixed deterministic,sequence revealed,regular first,2,2,0.448,0.5,0
71,1,114,mixed deterministic,sequence revealed,regular first,6,4,0.2871,0.5,1
71,1,115,mixed deterministic,sequence revealed,regular first,4,4,0.3703,0.5,0
71,1,116,mixed deterministic,sequence revealed,regular first,3,3,0.4408,0.5,0
71,1,117,mixed deterministic,sequence revealed,regular first,5,6,0.3359,0.5,1
71,1,118,mixed deterministic,sequence revealed,regular first,1,1,0.4085,0.5,0
71,1,119,mixed deterministic,sequence revealed,regular first,2,2,0.3987,0.5,0
71,1,120,mixed deterministic,sequence revealed,regular first,6,6,0.4406,0.5,0
71,1,121,mixed deterministic,sequence revealed,regular first,4,4,0.3567,0.5,0
71,1,122,mixed deterministic,sequence revealed,regular first,3,3,0.5732,0.5,0
71,1,123,mixed deterministic,sequence revealed,regular first,5,5,0.5033,0.5,0
71,1,124,mixed deterministic,sequence revealed,regular first,1,1,0.2779,0.5,0
71,1,125,mixed deterministic,sequence revealed,regular first,2,2,0.5173,0.5,0
71,1,126,mixed deterministic,sequence revealed,regular first,6,6,0.348,0.5,0
71,1,127,mixed deterministic,sequence revealed,regular first,4,4,0.3708,0.5,0
71,1,128,mixed deterministic,sequence revealed,regular first,3,2,0.4407,0.5,1
71,1,129,mixed deterministic,sequence revealed,regular first,5,4,0.541,0.5,1
71,1,130,mixed deterministic,sequence revealed,regular first,1,1,0.3987,0.5,0
71,1,131,mixed deterministic,sequence revealed,regular first,2,2,0.4194,0.5,0
71,1,132,mixed deterministic,sequence revealed,regular first,6,6,0.392,0.5,0
71,1,133,mixed deterministic,sequence revealed,regular first,4,4,0.4057,0.5,0
71,1,134,mixed deterministic,sequence revealed,regular first,3,3,0.6219,0.5,0
71,1,135,mixed deterministic,sequence revealed,regular first,5,5,0.4803,0.5,0
71,1,136,mixed deterministic,sequence revealed,regular first,1,1,0.4266,0.5,0
71,1,137,mixed deterministic,sequence revealed,regular first,2,2,0.4196,0.5,0
71,1,138,mixed deterministic,sequence revealed,regular first,6,6,0.4475,0.5,0
71,1,139,mixed deterministic,sequence revealed,regular first,4,3,0.3641,0.5,1
71,1,140,mixed deterministic,sequence revealed,regular first,3,3,0.3599,0.5,0
