N
N
N
N
N
x
y
y
c
minus
period
y
x
N
N
N
period
N
N
y
c
minus
period
x
period
N
x
minus
N
N
x
y
c
minus
period
x
N
period
y
c
N
x
minus
period
N
N
N
x
comma
y
c
minus
N
N
N
y
c
minus
comma
N
N
comma
N
minus
period
x
comma
y
c
minus
period
x
N
N
y
minus
period
x
N
y
c
minus
period
y
x
y
c
minus
period
x
