sid,bid,tid,material,instructions,material_order,stimulus_location,response_location,response_time,response_deadline,error
8,1,1,probabilistic,sequence concealed,random first,6,6,1.1674,0.9,0
8,1,2,probabilistic,sequence concealed,random first,2,1,1.4313,0.9,1
8,1,3,probabilistic,sequence concealed,random first,3,1,1.0754,0.9,1
8,1,4,probabilistic,sequence concealed,random first,6,6,1.1774,0.9,0
8,1,5,probabilistic,sequence concealed,random first,2,1,0.7689,0.9,1
8,1,6,probabilistic,sequence concealed,random first,6,6,1.4274,0.9,0
8,1,7,probabilistic,sequence concealed,random first,2,4,1.6384,0.9,1
8,1,8,probabilistic,sequence concealed,random first,1,1,0.9291,0.9,0
8,1,9,probabilistic,sequence concealed,random first,5,6,0.7757,0.9,1
8,1,10,probabilistic,sequence concealed,random first,4,5,2.5469,0.9,1
8,1,11,probabilistic,sequence concealed,random first,3,3,3.6701,0.9,0
8,1,12,probabilistic,sequence concealed,random first,5,5,1.4359,0.9,0
8,1,13,probabilistic,sequence concealed,random first,4,4,1.2195,0.9,0
8,1,14,probabilistic,sequence concealed,random first,3,3,1.1454,0.9,0
8,1,15,probabilistic,sequence concealed,random first,1,1,0.8314,0.9,0
8,1,16,probabilistic,sequence concealed,random first,5,5,0.9713,0.9,0
8,1,17,probabilistic,sequence concealed,random first,4,4,0.8802,0.9,0
8,1,18,probabilistic,sequence concealed,random first,3,3,0.8665,0.9,0
8,1,19,probabilistic,sequence concealed,random first,6,6,2.087,0.9,0
8,1,20,probabilistic,sequence concealed,random first,2,1,0.9821,0.9,1
8,1,21,probabilistic,sequence concealed,random first,5,6,0.587,0.9,1
8,1,22,probabilistic,sequence concealed,random first,4,4,1.3363,0.9,0
8,1,23,probabilistic,sequence concealed,random first,3,3,1.6266,0.9,0
8,1,24,probabilistic,sequence concealed,random first,6,6,0.8033,0.9,0
8,1,25,probabilistic,sequence concealed,random first,4,4,2.2261,0.8,0
8,1,26,probabilistic,sequence concealed,random first,3,3,1.5345,0.8,0
8,1,27,probabilistic,sequence concealed,random first,1,1,0.7178,0.8,0
8,1,28,probabilistic,sequence concealed,random first,6,6,0.8033,0.8,0
8,1,29,probabilistic,sequence concealed,random first,1,1,0.6479,0.8,0
8,1,30,probabilistic,sequence concealed,random first,2,2,1.8499,0.8,0
8,1,31,probabilistic,sequence concealed,random first,5,5,1.0521,0.8,0
8,1,32,probabilistic,sequence concealed,random first,4,4,0.8387,0.8,0
8,1,33,probabilistic,sequence concealed,random first,2,1,0.8502,0.8,1
8,1,34,probabilistic,sequence concealed,random first,1,1,0.6685,0.8,0
8,1,35,probabilistic,sequence concealed,random first,5,4,1.2635,0.8,1
8,1,36,probabilistic,sequence concealed,random first,4,4,0.9079,0.8,0
8,1,37,probabilistic,sequence concealed,random first,6,6,0.9894,0.8,0
8,1,38,probabilistic,sequence concealed,random first,2,2,0.913,0.8,0
8,1,39,probabilistic,sequence concealed,random first,4,4,1.1082,0.8,0
8,1,40,probabilistic,sequence concealed,random first,2,1,2.1495,0.8,1
8,1,41,probabilistic,sequence concealed,random first,4,4,0.989,0.8,0
8,1,42,probabilistic,sequence concealed,random first,2,1,0.648,0.8,1
8,1,43,probabilistic,sequence concealed,random first,3,3,0.9563,0.8,0
8,1,44,probabilistic,sequence concealed,random first,6,6,0.8082,0.8,0
8,1,45,probabilistic,sequence concealed,random first,2,2,0.5643,0.8,0
8,1,46,probabilistic,sequence concealed,random first,1,1,0.6428,0.8,0
8,1,47,probabilistic,sequence concealed,random first,5,6,0.601,0.8,1
8,1,48,probabilistic,sequence concealed,random first,4,5,-0.0131,0.8,1
8,1,49,probabilistic,sequence concealed,random first,3,3,1.279,0.7,0
8,1,50,probabilistic,sequence concealed,random first,6,6,0.6265,0.7,0
8,1,51,probabilistic,sequence concealed,random first,1,5,-0.2221,0.7,1
8,1,52,probabilistic,sequence concealed,random first,5,5,1.0281,0.7,0
8,1,53,probabilistic,sequence concealed,random first,4,4,1.7712,0.7,0
8,1,54,probabilistic,sequence concealed,random first,3,3,1.2897,0.7,0
8,1,55,probabilistic,sequence concealed,random first,6,6,1.6127,0.7,0
8,1,56,probabilistic,sequence concealed,random first,2,1,0.6219,0.7,1
8,1,57,probabilistic,sequence concealed,random first,1,1,3.4953,0.7,0
8,1,58,probabilistic,sequence concealed,random first,2,2,1.2081,0.7,0
8,1,59,probabilistic,sequence concealed,random first,1,1,1.6417,0.7,0
8,1,60,probabilistic,sequence concealed,random first,6,6,1.2081,0.7,0
8,1,61,probabilistic,sequence concealed,random first,2,2,1.7309,0.7,0
8,1,62,probabilistic,sequence concealed,random first,1,1,1.0384,0.7,0
8,1,63,probabilistic,sequence concealed,random first,6,6,0.6433,0.7,0
8,1,64,probabilistic,sequence concealed,random first,2,1,0.6705,0.7,1
8,1,65,probabilistic,sequence concealed,random first,3,3,3.2053,0.7,0
8,1,66,probabilistic,sequence concealed,random first,1,1,0.7199,0.7,0
8,1,67,probabilistic,sequence concealed,random first,6,6,1.0616,0.7,0
8,1,68,probabilistic,sequence concealed,random first,3,1,0.7312,0.7,1
8,1,69,probabilistic,sequence concealed,random first,6,6,0.7687,0.7,0
8,1,70,probabilistic,sequence concealed,random first,2,1,0.9129,0.7,1
8,1,71,probabilistic,sequence concealed,random first,4,6,1.8844,0.7,1
8,1,72,probabilistic,sequence concealed,random first,3,3,2.0701,0.7,0
8,1,73,probabilistic,sequence concealed,random first,6,6,0.8803,0.6,0
8,1,74,probabilistic,sequence concealed,random first,2,2,1.3873,0.6,0
8,1,75,probabilistic,sequence concealed,random first,1,1,0.741,0.6,0
8,1,76,probabilistic,sequence concealed,random first,2,2,0.934,0.6,0
