subject_nr,learning_condition,memory_condition,trial_nr,trial_type,cs_nr,block,blockhalf,cs_dur_level,filler,masking,us_valence,us_filename,cs_filename,mask,cs_duration,postmask_duration,us_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,id_opt_5,id_opt_6,paired_opt_1,paired_opt_2,paired_opt_3,paired_opt_4,paired_opt_5,paired_opt_6,val_opt_1,val_opt_2,val_opt_3,val_opt_4,val_opt_5,val_opt_6,vf_neg,vf_pos,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_blank_show,time_fixation_dot_show,time_cs_us_show,time_postmask_show,time_us_show,time_valence_focus,time_subjective_rating,time_identification,time_logger
57,EC_subj_obj_uncorr,inclusion,0,uncorr_objective,cs9,1,first,30_40,no,yes,positive,1999.bmp,beakem,maske_9.bmp,30,50,2420,bokine,vegom,hiatts,beakem,boity,pevoke,other_cs,other_cs,unpaired,current_cs,other_cs,unpaired,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,no,430718,431622,431725,431758,431811,434231,NA,436841,440416
57,EC_subj_obj_uncorr,inclusion,1,subjective,cs27,1,first,90_10,no,no,positive,8496.bmp,altine,NA,90,50,2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,440581,441485,441588,441681,441734,444094,NA,NA,446862
57,EC_subj_obj_uncorr,inclusion,2,uncorr_objective,cs26,1,first,70_80,no,yes,negative,7380.bmp,parlic,maske_5.bmp,70,50,2380,prien,parlic,oureen,craeky,sepah,casteg,unpaired,current_cs,other_cs,other_cs,unpaired,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no,447019,447922,448025,448098,448151,450531,NA,452266,453650
57,EC_subj_obj_uncorr,inclusion,3,uncorr_objective,cs25,1,first,70_80,no,yes,positive,2058.bmp,casteg,maske_6.bmp,70,50,2380,sarary,oureen,craeky,minair,casteg,parlic,unpaired,other_cs,other_cs,unpaired,current_cs,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no,453834,454737,454840,454913,454966,457346,NA,459640,461020
57,EC_subj_obj_uncorr,inclusion,4,uncorr_objective,cs14,1,first,50_60,no,yes,negative,3550.bmp,symoan,maske_7.bmp,50,50,2400,pubio,roosle,symoan,lescry,jinkup,hicron,other_cs,unpaired,current_cs,other_cs,unpaired,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,no,no,yes,461167,462071,462174,462227,462280,464680,NA,465869,468058
57,EC_subj_obj_uncorr,inclusion,5,uncorr_objective,cs22,1,first,70_80,no,yes,negative,9007.bmp,oureen,maske_7.bmp,70,50,2380,sarary,craeky,oureen,minair,parlic,casteg,unpaired,other_cs,current_cs,unpaired,other_cs,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,yes,no,no,no,468215,469118,469221,469294,469347,471727,NA,472833,474910
57,EC_subj_obj_uncorr,inclusion,6,subjective,cs28,1,first,90_10,no,no,negative,9560.bmp,obtfin,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,475083,475986,476089,476192,476245,478595,NA,NA,479791
57,EC_subj_obj_uncorr,inclusion,7,subjective,cs8,1,first,30_40,no,yes,negative,9340.bmp,rutort,maske_12.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,479927,480830,480933,480966,481019,483439,484306,NA,487313
57,EC_subj_obj_uncorr,inclusion,8,subjective,cs20,1,first,70_80,no,yes,negative,9182.bmp,lobee,maske_3.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,487480,488384,488487,488560,488613,490993,492338,NA,493955
57,EC_subj_obj_uncorr,inclusion,9,uncorr_objective,cs5,1,first,30_40,no,yes,positive,2209.bmp,bokine,maske_7.bmp,40,50,2410,bokine,pevoke,boity,vegom,hiatts,beakem,current_cs,unpaired,other_cs,other_cs,unpaired,other_cs,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no,494090,494994,495097,495140,495193,497603,NA,499031,500185
57,EC_subj_obj_uncorr,inclusion,10,subjective,cs1,1,first,30_40,yes,yes,positive,8540.bmp,NA,maske_7.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA,500318,501221,501324,501357,501410,503831,504942,NA,506563
57,EC_subj_obj_uncorr,inclusion,11,subjective,cs3,1,first,30_40,no,yes,positive,5594.bmp,trelle,maske_7.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,506698,507602,507705,507738,507791,510211,511157,NA,512543
57,EC_subj_obj_uncorr,inclusion,12,uncorr_objective,cs21,1,first,70_80,no,yes,positive,2550.bmp,craeky,maske_9.bmp,80,50,2370,parlic,oureen,prien,casteg,sepah,craeky,other_cs,other_cs,unpaired,other_cs,unpaired,current_cs,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,no,yes,512707,513610,513713,513796,513849,516219,NA,517166,519005
57,EC_subj_obj_uncorr,inclusion,13,subjective,cs12,1,first,50_60,no,yes,negative,2141.bmp,haraks,maske_2.bmp,60,50,2390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,yes,no,no,NA,NA,NA,NA,NA,NA,519154,520057,520160,520223,520276,522666,523854,NA,526879
57,EC_subj_obj_uncorr,inclusion,14,uncorr_objective,cs13,1,first,50_60,no,yes,positive,5629.bmp,pubio,maske_2.bmp,50,50,2400,symoan,babit,pubio,hicron,twavel,lescry,other_cs,unpaired,current_cs,other_cs,unpaired,other_cs,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no,527031,527934,528037,528090,528143,530543,NA,531253,532290
57,EC_subj_obj_uncorr,inclusion,15,subjective,cs32,1,first,90_10,no,no,negative,8485.bmp,seloom,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,532454,533358,533461,533564,533617,535967,NA,NA,537157
57,EC_subj_obj_uncorr,inclusion,16,subjective,cs15,1,first,50_60,no,yes,positive,2057.bmp,tyorny,maske_11.bmp,60,50,2390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,537311,538214,538317,538380,538433,540823,541612,NA,544146
57,EC_subj_obj_uncorr,inclusion,17,uncorr_objective,cs18,1,first,50_60,no,yes,negative,9280.bmp,hicron,maske_8.bmp,60,50,2390,twavel,symoan,pubio,lescry,babit,hicron,unpaired,other_cs,other_cs,other_cs,unpaired,current_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,544292,545196,545299,545362,545415,547805,NA,548435,549360
57,EC_subj_obj_uncorr,inclusion,18,uncorr_objective,cs34,1,first,90_10,no,no,negative,3160.bmp,zillie,NA,100,50,2350,madjas,teutos,seork,zillie,appobe,fasyia,other_cs,unpaired,other_cs,current_cs,unpaired,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,549532,550435,550538,550641,550694,553044,NA,NA,554315
57,EC_subj_obj_uncorr,inclusion,19,subjective,cs7,1,first,30_40,no,yes,positive,7580.bmp,poieen,maske_4.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA,554451,555354,555457,555500,555553,557963,558914,NA,561003
57,EC_subj_obj_uncorr,inclusion,20,subjective,cs24,1,first,70_80,no,yes,negative,9561.bmp,naptor,maske_11.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,561168,562071,562174,562257,562310,564680,565712,NA,567332
