subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank,pre_post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,0,babit,positive,90_10,paired_cs,9,3749685,3755365,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,1,punnot,NA,NA,neither,9,3756384,3765726,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,2,sarary,NA,NA,neither,13,3766746,3775567,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,3,cenbre,both,30_40,distractor,14,3776586,3778773,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,4,chnap,NA,NA,neither,2,3779792,3782557,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,5,obeac,both,30_40,distractor,1,3783576,3785773,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,6,vegom,both,50_60,distractor,3,3786792,3788520,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,7,seloom,positive,70_80,paired_cs,14,3789539,3797732,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,8,roosle,negative,90_10,paired_cs,5,3798751,3809651,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,9,gigoro,both,90_10,distractor,2,3810670,3813801,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,10,orikle,NA,NA,neither,5,3814820,3819217,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,11,seork,both,30_40,distractor,1,3820236,3822445,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,12,avouco,NA,NA,neither,11,3823464,3826244,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,13,rutort,negative,90_10,paired_cs,4,3827263,3829225,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,14,jolver,positive,30_40,paired_cs,3,3830245,3832668,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,15,hesire,positive,50_60,paired_cs,6,3833687,3835998,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,16,eyalt,NA,NA,neither,5,3837017,3840483,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,17,coneoy,positive,70_80,paired_cs,3,3841502,3845221,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,18,dowsal,NA,NA,neither,14,3846240,3849019,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,19,craeky,NA,NA,neither,5,3850039,3856062,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,20,piend,positive,90_10,paired_cs,1,3857082,3860446,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,21,parwax,both,50_60,distractor,2,3861465,3863429,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,22,fasyia,positive,30_40,paired_cs,7,3864449,3868890,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,23,casteg,NA,NA,neither,9,3869909,3873147,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,24,tyorny,NA,NA,neither,16,3874166,3877405,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,25,strank,NA,NA,neither,2,3878424,3880391,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,26,tavoo,NA,NA,neither,4,3881410,3884066,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,27,madjas,both,70_80,distractor,11,3885085,3888897,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,28,ceayon,NA,NA,neither,6,3889916,3893621,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,29,gypass,negative,30_40,paired_cs,1,3894640,3896842,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,30,trelle,negative,50_60,paired_cs,6,3897861,3904104,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,31,donrey,NA,NA,neither,10,3905126,3908654,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,32,teior,negative,70_80,paired_cs,13,3909673,3913149,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,33,fangus,both,90_10,distractor,1,3914169,3916837,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,34,zillie,positive,30_40,paired_cs,9,3917856,3922504,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,35,palpid,positive,90_10,paired_cs,4,3923523,3926655,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,36,itafy,NA,NA,neither,3,3927674,3930807,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,37,oureen,NA,NA,neither,16,3931827,3934839,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,38,coline,both,70_80,distractor,17,3935858,3937357,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,39,styla,both,70_80,distractor,0,3938377,3940456,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,40,unuoll,negative,70_80,paired_cs,4,3941475,3944256,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,41,itplic,negative,50_60,paired_cs,5,3945275,3947013,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,42,lobee,negative,30_40,paired_cs,10,3948032,3950464,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,43,prien,positive,50_60,paired_cs,12,3951483,3954503,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,44,poieen,NA,NA,neither,14,3955522,3958327,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,45,spanal,both,90_10,distractor,1,3959346,3962246,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,46,twavel,negative,90_10,paired_cs,3,3963265,3965344,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,47,coskie,positive,50_60,paired_cs,15,3966363,3970419,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,48,appobe,negative,70_80,paired_cs,3,3971438,3974449,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,49,peush,NA,NA,neither,6,3975468,3977317,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,50,tafta,negative,70_80,paired_cs,3,3978337,3979950,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,51,beakem,positive,70_80,paired_cs,4,3980969,3982708,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,52,pevoke,both,50_60,distractor,14,3983727,3987529,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,53,yained,NA,NA,neither,6,3988548,3992016,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,54,treati,NA,NA,neither,6,3993035,3996275,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,55,yeomun,positive,90_10,paired_cs,9,3997295,4002155,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,56,oacart,positive,50_60,paired_cs,4,4003174,4010693,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,57,ribual,both,70_80,distractor,3,4011713,4013675,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,58,evone,positive,30_40,paired_cs,9,4014694,4016659,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,59,purdag,NA,NA,neither,1,4017679,4019529,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,60,clerd,both,30_40,distractor,6,4020548,4022623,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,61,sepah,negative,50_60,paired_cs,15,4023642,4025828,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,62,yahio,both,90_10,distractor,13,4026848,4029852,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,63,obtfin,negative,90_10,paired_cs,4,4030871,4033535,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,64,clish,NA,NA,neither,1,4034555,4036526,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,65,boity,negative,30_40,paired_cs,10,4037545,4046012,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,66,lescry,negative,30_40,paired_cs,8,4047031,4048993,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,67,altine,negative,50_60,paired_cs,15,4050012,4052453,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,68,funery,both,50_60,distractor,7,4053472,4056711,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,69,hicron,NA,NA,neither,6,4057730,4062715,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,70,haraks,NA,NA,neither,4,4063734,4066065,post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,71,voual,positive,70_80,paired_cs,16,4067084,4069977,post
