subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,correct_us,us_opt_1,us_opt_2,us_opt_3,us_opt_4,us_opt_5,us_opt_6,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,im_opt_none,im_opt_dk,time_im_form,time_im_blank
98,EC_subj_only,normal,EC_subj_only,normal,40,purdag,negative,NA,neither,none_correct,9342.bmp,9280.bmp,3220.bmp,8485.bmp,9340.bmp,6020.bmp,no,no,yes,no,no,no,no,no,3206566,3210097
98,EC_subj_only,normal,EC_subj_only,normal,41,parwax,negative,50_60,paired_cs,3160.bmp,6020.bmp,3220.bmp,9280.bmp,2141.bmp,9404.bmp,3160.bmp,no,no,no,no,no,yes,no,no,3211122,3212794
98,EC_subj_only,normal,EC_subj_only,normal,42,seloom,negative,30_40,paired_cs,9500.bmp,7380.bmp,1525.bmp,2276.bmp,9830.bmp,9500.bmp,9404.bmp,no,no,no,no,no,no,no,yes,3213819,3217053
98,EC_subj_only,normal,EC_subj_only,normal,43,ceayon,negative,90_10,paired_cs,3220.bmp,9520.bmp,6311.bmp,3220.bmp,2900.bmp,9331.bmp,2053.bmp,no,no,no,no,yes,no,no,no,3218079,3223702
98,EC_subj_only,normal,EC_subj_only,normal,44,roosle,positive,90_10,paired_cs,2311.bmp,7350.bmp,8420.bmp,5994.bmp,2311.bmp,5910.bmp,8170.bmp,no,no,no,yes,no,no,no,no,3224728,3226182
98,EC_subj_only,normal,EC_subj_only,normal,45,poieen,negative,NA,neither,none_correct,9220.bmp,9920.bmp,9041.bmp,9331.bmp,2710.bmp,9330.bmp,no,no,no,no,no,yes,no,no,3227208,3230644
98,EC_subj_only,normal,EC_subj_only,normal,46,babit,positive,30_40,paired_cs,4220.bmp,5910.bmp,4220.bmp,8540.bmp,2209.bmp,2040.bmp,4606.bmp,no,no,no,no,no,no,no,yes,3231668,3233967
98,EC_subj_only,normal,EC_subj_only,normal,47,ordit,positive,NA,neither,none_correct,5594.bmp,2900.2.bmp,7230.bmp,8420.bmp,1650.bmp,2091.bmp,no,no,no,no,no,no,no,yes,3234991,3237175
98,EC_subj_only,normal,EC_subj_only,normal,48,guote,positive,30_40,paired_cs,4622.bmp,2791.bmp,2340.bmp,4622.bmp,4606.bmp,2070.bmp,2900.2.bmp,no,no,yes,no,no,no,no,no,3238200,3242252
98,EC_subj_only,normal,EC_subj_only,normal,49,pubio,positive,NA,neither,none_correct,7350.bmp,2209.bmp,8080.bmp,5831.bmp,2091.bmp,4220.bmp,no,no,no,no,yes,no,no,no,3243276,3246193
98,EC_subj_only,normal,EC_subj_only,normal,50,rutort,positive,30_40,distractor,none_correct,7350.bmp,2311.bmp,2660.bmp,2150.bmp,8540.bmp,2057.bmp,no,no,no,no,no,no,no,yes,3247217,3250771
98,EC_subj_only,normal,EC_subj_only,normal,51,gigoro,negative,NA,neither,none_correct,2750.bmp,3300.bmp,9560.bmp,9331.bmp,1525.bmp,6311.bmp,no,no,no,no,no,no,no,yes,3251796,3254607
98,EC_subj_only,normal,EC_subj_only,normal,52,cenbre,negative,50_60,paired_cs,9560.bmp,9630.bmp,9220.bmp,6530.bmp,7380.bmp,9007.bmp,9560.bmp,yes,no,no,no,no,no,no,no,3255633,3257504
98,EC_subj_only,normal,EC_subj_only,normal,53,sarary,negative,NA,neither,none_correct,9000.bmp,9430.bmp,8485.bmp,9265.bmp,2750.bmp,9500.bmp,no,no,no,no,no,no,no,yes,3258529,3262389
98,EC_subj_only,normal,EC_subj_only,normal,54,chnap,negative,50_60,distractor,none_correct,9220.bmp,9007.bmp,6831.bmp,2276.bmp,6838.bmp,3550.bmp,no,no,no,no,no,yes,no,no,3263414,3265710
98,EC_subj_only,normal,EC_subj_only,normal,55,jinkup,negative,70_80,paired_cs,9920.bmp,9830.bmp,6838.bmp,9280.bmp,2900.bmp,3220.bmp,9920.bmp,no,no,no,no,no,no,yes,no,3266735,3271833
98,EC_subj_only,normal,EC_subj_only,normal,56,tafta,positive,90_10,paired_cs,7580.bmp,8080.bmp,8470.bmp,5831.bmp,2209.bmp,7580.bmp,4220.bmp,no,yes,no,no,no,no,no,no,3272858,3275656
98,EC_subj_only,normal,EC_subj_only,normal,57,teior,positive,NA,neither,none_correct,7230.bmp,2071.bmp,8540.bmp,5830.bmp,8190.bmp,4622.bmp,no,no,no,no,no,no,no,yes,3276681,3280110
98,EC_subj_only,normal,EC_subj_only,normal,58,clerd,negative,30_40,distractor,none_correct,9561.bmp,9006.bmp,8485.bmp,9331.bmp,2141.bmp,3160.bmp,no,no,no,no,no,no,no,yes,3281134,3282491
98,EC_subj_only,normal,EC_subj_only,normal,59,jolver,positive,90_10,paired_cs,1650.bmp,2208.bmp,2070.bmp,8501.bmp,2209.bmp,1650.bmp,8330.bmp,no,no,no,no,yes,no,no,no,3283516,3285405
98,EC_subj_only,normal,EC_subj_only,normal,60,itplic,positive,50_60,paired_cs,2080.bmp,8501.bmp,8170.bmp,5994.bmp,5629.bmp,2071.bmp,2080.bmp,no,no,no,no,no,yes,no,no,3286430,3292360
98,EC_subj_only,normal,EC_subj_only,normal,61,oltar,positive,70_80,paired_cs,2550.bmp,2550.bmp,4606.bmp,7502.bmp,2660.bmp,8200.bmp,5594.bmp,no,no,no,no,no,no,no,yes,3293384,3297240
98,EC_subj_only,normal,EC_subj_only,normal,62,makan,negative,30_40,paired_cs,2141.bmp,9006.bmp,9280.bmp,2141.bmp,2375.1.bmp,9500.bmp,7380.bmp,no,no,no,no,no,yes,no,no,3298264,3302765
98,EC_subj_only,normal,EC_subj_only,normal,63,casteg,negative,30_40,paired_cs,6831.bmp,9331.bmp,9000.bmp,9265.bmp,9006.bmp,6311.bmp,6831.bmp,no,no,yes,no,no,no,no,no,3303789,3306500
98,EC_subj_only,normal,EC_subj_only,normal,64,teutos,negative,NA,neither,none_correct,9342.bmp,7380.bmp,6838.bmp,2750.bmp,2710.bmp,2375.1.bmp,no,no,no,no,no,no,no,yes,3307524,3310666
98,EC_subj_only,normal,EC_subj_only,normal,65,fangus,positive,90_10,distractor,none_correct,8470.bmp,7580.bmp,5460.bmp,8330.bmp,1650.bmp,8496.bmp,no,no,yes,no,no,no,no,no,3311691,3315335
98,EC_subj_only,normal,EC_subj_only,normal,66,beakem,negative,30_40,distractor,none_correct,2276.bmp,6311.bmp,1525.bmp,9102.bmp,9000.bmp,9435.bmp,no,no,no,no,no,no,no,yes,3316360,3319393
98,EC_subj_only,normal,EC_subj_only,normal,67,pevoke,negative,NA,neither,none_correct,9435.bmp,6555.bmp,9182.bmp,9102.bmp,6530.bmp,3160.bmp,no,yes,no,no,no,no,no,no,3320418,3322601
98,EC_subj_only,normal,EC_subj_only,normal,68,treati,negative,90_10,distractor,none_correct,9520.bmp,3300.bmp,9404.bmp,6838.bmp,9920.bmp,2276.bmp,no,no,yes,no,no,no,no,no,3323625,3326333
98,EC_subj_only,normal,EC_subj_only,normal,69,tavoo,negative,70_80,distractor,none_correct,9000.bmp,2276.bmp,9180.bmp,9435.bmp,9340.bmp,9400.bmp,no,no,no,no,no,no,no,yes,3327358,3329976
98,EC_subj_only,normal,EC_subj_only,normal,70,oureen,positive,NA,neither,none_correct,2057.bmp,2150.bmp,8190.bmp,7350.bmp,8540.bmp,1999.bmp,no,no,no,no,no,no,no,yes,3331000,3334022
98,EC_subj_only,normal,EC_subj_only,normal,71,styla,negative,70_80,paired_cs,9180.bmp,9340.bmp,9180.bmp,3160.bmp,9400.bmp,3550.bmp,9050.bmp,yes,no,no,no,no,no,no,no,3335046,3339018
