subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,correct_us,us_opt_1,us_opt_2,us_opt_3,us_opt_4,us_opt_5,us_opt_6,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,im_opt_none,im_opt_dk,time_im_form,time_im_blank
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,0,fangus,positive,90_10,distractor,2080.bmp,2080.bmp,2050.bmp,4220.bmp,8190.bmp,8200.bmp,5830.bmp,no,no,no,no,no,no,yes,no,5062874,5073397
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,1,coskie,positive,50_60,paired_cs,2050.bmp,2040.bmp,1710.bmp,7330.bmp,2058.bmp,2050.bmp,2550.bmp,no,no,no,no,no,no,yes,no,5074422,5082866
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,2,lescry,negative,30_40,paired_cs,9342.bmp,9435.bmp,2900.bmp,9430.bmp,9342.bmp,6838.bmp,9340.bmp,no,yes,no,no,no,no,no,no,5083903,5096982
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,3,hesire,positive,50_60,paired_cs,2057.bmp,2070.bmp,8080.bmp,2057.bmp,2311.bmp,2150.bmp,4622.bmp,no,no,yes,no,no,no,no,no,5098007,5105314
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,4,obeac,negative,30_40,distractor,9041.bmp,9561.bmp,9041.bmp,9920.bmp,9630.bmp,9432.bmp,2710.bmp,no,no,no,no,no,no,no,yes,5106339,5122215
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,5,coline,positive,70_80,distractor,8470.bmp,2070.bmp,8470.bmp,5460.bmp,2550.bmp,8540.bmp,2340.bmp,no,no,no,no,no,no,yes,no,5123239,5126589
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,6,chnap,positive,NA,neither,none_correct,7470.bmp,8420.bmp,7502.bmp,7330.bmp,5594.bmp,5910.bmp,no,no,no,no,no,no,yes,no,5127613,5136183
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,7,dowsal,negative,NA,neither,none_correct,3300.bmp,9432.bmp,6242.bmp,9435.bmp,2750.bmp,1525.bmp,no,no,no,no,no,no,no,yes,5137207,5145685
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,8,unuoll,negative,70_80,paired_cs,2375.1.bmp,2710.bmp,6838.bmp,9007.bmp,3300.bmp,2375.1.bmp,9920.bmp,no,no,no,no,no,no,yes,no,5146711,5150458
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,9,seloom,positive,70_80,paired_cs,5830.bmp,2660.bmp,8170.bmp,2050.bmp,2070.bmp,5830.bmp,1440.bmp,no,no,no,no,yes,no,no,no,5151483,5157988
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,10,rutort,negative,90_10,paired_cs,7380.bmp,6530.bmp,9342.bmp,7380.bmp,9102.bmp,9280.bmp,9007.bmp,no,no,yes,no,no,no,no,no,5159012,5170797
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,11,ceayon,negative,NA,neither,none_correct,9000.bmp,6020.bmp,2710.bmp,6831.bmp,9220.bmp,6838.bmp,no,no,no,no,no,no,yes,no,5171822,5185896
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,12,coneoy,positive,70_80,paired_cs,8540.bmp,2091.bmp,8470.bmp,1710.bmp,2660.bmp,7330.bmp,8540.bmp,no,no,no,no,no,no,yes,no,5186920,5194956
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,13,fasyia,positive,30_40,paired_cs,2160.bmp,2208.bmp,8370.bmp,5830.bmp,2160.bmp,5994.bmp,5594.bmp,no,no,no,no,no,no,yes,no,5195981,5200882
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,14,palpid,positive,90_10,paired_cs,1999.bmp,8200.bmp,1999.bmp,2660.bmp,8420.bmp,7502.bmp,2311.bmp,no,yes,no,no,no,no,no,no,5201907,5208272
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,15,donrey,positive,NA,neither,none_correct,5629.bmp,2208.bmp,7350.bmp,7470.bmp,8330.bmp,2070.bmp,no,no,no,yes,no,no,no,no,5209296,5215463
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,16,punnot,negative,NA,neither,none_correct,2900.bmp,9007.bmp,6555.bmp,9400.bmp,7380.bmp,9500.bmp,no,no,no,no,no,no,yes,no,5216488,5227224
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,17,trelle,negative,50_60,paired_cs,9102.bmp,8485.bmp,6555.bmp,9432.bmp,9102.bmp,6311.bmp,9400.bmp,no,no,no,no,no,no,no,yes,5228249,5241184
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,18,purdag,negative,NA,neither,none_correct,9340.bmp,9630.bmp,9041.bmp,6311.bmp,3300.bmp,9342.bmp,no,no,no,no,no,no,no,yes,5242209,5247945
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,19,vegom,positive,50_60,distractor,2058.bmp,2160.bmp,7470.bmp,2058.bmp,7350.bmp,7580.bmp,2791.bmp,no,no,no,no,no,no,no,yes,5248970,5257926
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,20,voual,positive,70_80,paired_cs,2311.bmp,1710.bmp,1650.bmp,2900.2.bmp,2311.bmp,4220.bmp,8190.bmp,no,no,no,no,no,no,yes,no,5258951,5266447
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,21,avouco,positive,NA,neither,none_correct,8496.bmp,2550.bmp,2071.bmp,7502.bmp,5594.bmp,2160.bmp,no,no,no,no,no,no,yes,no,5267473,5270820
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,22,yahio,negative,90_10,distractor,2710.bmp,2900.bmp,2710.bmp,9520.bmp,9421.bmp,9340.bmp,6020.bmp,no,no,no,no,no,no,yes,no,5271844,5276232
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,23,babit,positive,90_10,paired_cs,2660.bmp,8496.bmp,4622.bmp,8200.bmp,1999.bmp,2311.bmp,2660.bmp,no,no,no,no,no,yes,no,no,5277258,5290941
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,24,styla,negative,70_80,distractor,9432.bmp,9220.bmp,9421.bmp,9432.bmp,2375.1.bmp,9430.bmp,2900.bmp,no,no,no,no,no,no,yes,no,5291966,5294476
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,25,altine,negative,50_60,paired_cs,3220.bmp,6831.bmp,9404.bmp,9000.bmp,3220.bmp,9180.bmp,1525.bmp,no,no,no,no,no,no,yes,no,5295502,5301038
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,26,eyalt,negative,NA,neither,none_correct,9041.bmp,6242.bmp,2276.bmp,9561.bmp,6020.bmp,9050.bmp,no,yes,no,no,no,no,no,no,5302062,5306980
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,27,seork,positive,30_40,distractor,7470.bmp,2660.bmp,8190.bmp,8170.bmp,2791.bmp,7470.bmp,2311.bmp,no,no,no,no,no,no,yes,no,5308005,5319476
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,28,beakem,positive,70_80,paired_cs,5629.bmp,5994.bmp,2040.bmp,8080.bmp,8470.bmp,5629.bmp,1463.bmp,no,no,no,no,no,no,yes,no,5320501,5335079
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,29,prien,positive,50_60,paired_cs,2791.bmp,1440.bmp,2791.bmp,2058.bmp,2057.bmp,7330.bmp,8496.bmp,no,no,no,no,no,no,yes,no,5336104,5341790
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,30,orikle,positive,NA,neither,none_correct,2150.bmp,2340.bmp,2900.2.bmp,8496.bmp,5460.bmp,2209.bmp,no,no,no,no,no,no,yes,no,5342814,5352218
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,31,ribual,positive,70_80,distractor,8420.bmp,2160.bmp,7350.bmp,8420.bmp,2791.bmp,2071.bmp,8370.bmp,no,no,no,no,no,yes,no,no,5353242,5362538
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,32,jolver,positive,30_40,paired_cs,7580.bmp,4606.bmp,8330.bmp,4220.bmp,7580.bmp,2091.bmp,5629.bmp,no,no,no,no,no,no,yes,no,5363563,5372944
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,33,obtfin,negative,90_10,paired_cs,9421.bmp,9520.bmp,2141.bmp,9421.bmp,2375.1.bmp,9280.bmp,9000.bmp,no,no,no,no,no,no,yes,no,5373969,5380732
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,34,sarary,negative,NA,neither,none_correct,9331.bmp,9404.bmp,6555.bmp,3160.bmp,9500.bmp,9920.bmp,no,yes,no,no,no,no,no,no,5381759,5391340
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,35,craeky,negative,NA,neither,none_correct,3300.bmp,7380.bmp,9520.bmp,9180.bmp,6831.bmp,1525.bmp,no,no,no,no,no,no,yes,no,5392365,5395712
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,36,twavel,negative,90_10,paired_cs,8485.bmp,9421.bmp,8485.bmp,6530.bmp,6555.bmp,9000.bmp,3550.bmp,no,yes,no,no,no,no,no,no,5396736,5402687
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,37,itplic,negative,50_60,paired_cs,2750.bmp,9006.bmp,2141.bmp,9340.bmp,2750.bmp,9435.bmp,2710.bmp,no,no,no,no,no,no,yes,no,5403712,5407699
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,38,treati,negative,NA,neither,none_correct,9830.bmp,9180.bmp,9421.bmp,9006.bmp,9430.bmp,9400.bmp,no,no,no,no,no,no,yes,no,5408726,5413013
