subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_neither,vm_dk,time_vm_form,time_vm_blank
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,49,coskie,NA,NA,neither,no,no,no,yes,3879509,3881522
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,50,guote,positive,50_60,paired_cs,no,yes,no,no,3882541,3884443
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,51,purdag,positive,50_60,paired_cs,no,yes,no,no,3885462,3886580
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,52,donrey,both,90_10,distractor,no,no,yes,no,3887599,3888716
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,53,funery,positive,90_10,paired_cs,yes,no,no,no,3889736,3892306
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,54,orikle,negative,50_60,paired_cs,no,no,no,yes,3893325,3895347
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,55,fangus,positive,70_80,paired_cs,no,no,no,yes,3896366,3897259
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,56,vegom,both,30_40,distractor,no,no,yes,no,3898278,3911525
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,57,symoan,positive,30_40,paired_cs,no,no,no,yes,3912544,3915444
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,58,beakem,negative,90_10,paired_cs,no,no,no,yes,3916463,3919578
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,59,obtfin,NA,NA,neither,no,yes,no,no,3920597,3922611
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,60,lescry,both,90_10,distractor,yes,no,no,no,3923630,3925755
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,61,zillie,both,30_40,distractor,yes,no,no,no,3926774,3928219
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,62,tafta,negative,50_60,paired_cs,no,no,no,yes,3929239,3931471
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,63,coline,negative,70_80,paired_cs,yes,no,no,no,3932491,3934734
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,64,dowsal,positive,70_80,paired_cs,yes,no,no,no,3935753,3939533
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,65,hicron,both,50_60,distractor,no,no,yes,no,3940552,3941891
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,66,voual,negative,70_80,paired_cs,no,yes,no,no,3942910,3947019
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,67,itafy,positive,90_10,paired_cs,no,no,yes,no,3948039,3949939
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,68,poieen,positive,90_10,paired_cs,yes,no,no,no,3950958,3952971
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,69,ribual,negative,30_40,paired_cs,no,no,no,yes,3953991,3956229
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,70,hesire,negative,70_80,paired_cs,yes,no,no,no,3957248,3960590
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,71,spanal,both,30_40,distractor,no,yes,no,no,3961609,3963398
