subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,PD_practice_runs,PD_practice_correct,PD_pos,PD_neg,time_PD_form,time_PD_blank
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,48,seloom,positive,70_80,paired_cs,1,1,yes,no,4525025,4527567
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,49,rutort,negative,90_10,paired_cs,1,1,no,yes,4528600,4532028
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,50,trelle,negative,50_60,paired_cs,1,1,no,yes,4533056,4540317
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,51,voual,positive,70_80,paired_cs,1,1,yes,no,4541345,4543520
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,52,gigoro,both,90_10,distractor,1,1,no,yes,4544548,4546584
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,53,tavoo,NA,NA,neither,1,1,yes,no,4547618,4549268
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,54,craeky,NA,NA,neither,1,1,no,yes,4550297,4553225
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,55,haraks,NA,NA,neither,1,1,no,yes,4554253,4555276
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,56,clish,NA,NA,neither,1,1,no,yes,4556304,4557833
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,57,avouco,NA,NA,neither,1,1,yes,no,4558861,4565617
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,58,appobe,negative,70_80,paired_cs,1,1,no,yes,4566645,4586607
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,59,yahio,both,90_10,distractor,1,1,yes,no,4587635,4590194
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,60,jolver,positive,30_40,paired_cs,1,1,no,yes,4591227,4593146
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,61,seork,both,30_40,distractor,1,1,no,yes,4594174,4595706
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,62,sepah,negative,50_60,paired_cs,1,1,yes,no,4596735,4598775
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,63,treati,NA,NA,neither,1,1,no,yes,4599803,4601336
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,64,gypass,negative,30_40,paired_cs,1,1,no,yes,4602370,4603904
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,65,unuoll,negative,70_80,paired_cs,1,1,no,yes,4604932,4606849
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,66,styla,both,70_80,distractor,1,1,no,yes,4607877,4609921
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,67,evone,positive,30_40,paired_cs,1,1,yes,no,4610949,4613371
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,68,strank,NA,NA,neither,1,1,no,yes,4614400,4615684
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,69,madjas,both,70_80,distractor,1,1,yes,no,4616712,4621575
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,70,tyorny,NA,NA,neither,1,1,yes,no,4622603,4626172
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,71,pevoke,both,50_60,distractor,1,1,no,yes,4627224,4633333
