subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,PD_practice_runs,PD_practice_correct,PD_pos,PD_neg,time_PD_form,time_PD_blank
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,58,yahio,negative,70_80,paired_cs,1,1,no,yes,3676765,3678503
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,59,tyorny,positive,50_60,paired_cs,1,1,no,yes,3679535,3683264
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,60,parlic,negative,50_60,paired_cs,1,1,yes,no,3684293,3685909
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,61,dowsal,NA,NA,neither,1,1,no,yes,3686937,3689667
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,62,avouco,NA,NA,neither,1,1,no,yes,3690695,3692689
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,63,trelle,NA,NA,neither,1,1,yes,no,3693718,3695945
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,64,haraks,negative,30_40,paired_cs,1,1,no,yes,3696973,3698459
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,65,chnap,negative,30_40,paired_cs,1,1,no,yes,3699487,3700980
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,66,orikle,negative,30_40,paired_cs,1,1,yes,no,3702012,3703759
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,67,spanal,positive,30_40,paired_cs,1,1,no,yes,3704787,3707519
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,68,twavel,positive,50_60,paired_cs,1,1,yes,no,3708547,3714766
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,69,tafta,positive,50_60,distractor,1,1,yes,no,3715794,3717281
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,70,oltar,positive,70_80,distractor,1,1,no,yes,3718336,3719826
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,71,tavoo,positive,70_80,paired_cs,1,1,no,yes,3720854,3723833
