subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,PD_practice_runs,PD_practice_correct,PD_pos,PD_neg,time_PD_form,time_PD_blank
54,EC_only,exclusion,EC_only,exclusion,0,purdag,NA,NA,neither,1,1,yes,no,2224526,2237905
54,EC_only,exclusion,EC_only,exclusion,1,symoan,NA,NA,neither,1,1,yes,no,2238933,2245810
54,EC_only,exclusion,EC_only,exclusion,2,oacart,NA,NA,neither,1,1,yes,no,2246838,2255465
54,EC_only,exclusion,EC_only,exclusion,3,seloom,NA,NA,neither,1,1,yes,no,2256493,2259247
54,EC_only,exclusion,EC_only,exclusion,4,jolver,NA,NA,neither,1,1,yes,no,2260275,2261778
54,EC_only,exclusion,EC_only,exclusion,5,trelle,negative,30_40,paired_cs,1,1,no,yes,2262806,2267693
54,EC_only,exclusion,EC_only,exclusion,6,coline,negative,90_10,paired_cs,1,1,no,yes,2268722,2271484
54,EC_only,exclusion,EC_only,exclusion,7,obtfin,NA,NA,neither,1,1,yes,no,2272512,2277142
54,EC_only,exclusion,EC_only,exclusion,8,altine,negative,70_80,paired_cs,1,1,no,yes,2278174,2280308
54,EC_only,exclusion,EC_only,exclusion,9,evone,NA,NA,neither,1,1,yes,no,2281337,2287354
54,EC_only,exclusion,EC_only,exclusion,10,jinkup,negative,70_80,paired_cs,1,1,no,yes,2288382,2290265
54,EC_only,exclusion,EC_only,exclusion,11,casteg,NA,NA,neither,1,1,yes,no,2291293,2294800
54,EC_only,exclusion,EC_only,exclusion,12,boity,negative,50_60,paired_cs,1,1,yes,no,2295828,2298084
54,EC_only,exclusion,EC_only,exclusion,13,orikle,negative,70_80,paired_cs,1,1,no,yes,2299112,2300491
54,EC_only,exclusion,EC_only,exclusion,14,yained,NA,NA,neither,1,1,yes,no,2301520,2309403
54,EC_only,exclusion,EC_only,exclusion,15,ceayon,NA,NA,neither,1,1,yes,no,2310435,2314818
54,EC_only,exclusion,EC_only,exclusion,16,fexony,NA,NA,neither,1,1,yes,no,2315846,2316972
54,EC_only,exclusion,EC_only,exclusion,17,tavoo,NA,NA,neither,1,1,no,yes,2318000,2322004
54,EC_only,exclusion,EC_only,exclusion,18,pubio,negative,50_60,paired_cs,1,1,yes,no,2323032,2328287
54,EC_only,exclusion,EC_only,exclusion,19,cenbre,positive,70_80,paired_cs,1,1,yes,no,2329315,2330819
54,EC_only,exclusion,EC_only,exclusion,20,yeomun,NA,NA,neither,1,1,no,yes,2331847,2335976
54,EC_only,exclusion,EC_only,exclusion,21,strank,NA,NA,neither,1,1,no,yes,2337004,2341130
54,EC_only,exclusion,EC_only,exclusion,22,babit,positive,30_40,paired_cs,1,1,yes,no,2342162,2345044
54,EC_only,exclusion,EC_only,exclusion,23,tafta,positive,90_10,paired_cs,1,1,no,yes,2346072,2348828
54,EC_only,exclusion,EC_only,exclusion,24,teutos,NA,NA,neither,1,1,no,yes,2349856,2353237
54,EC_only,exclusion,EC_only,exclusion,25,gypass,NA,NA,neither,1,1,yes,no,2354265,2356909
54,EC_only,exclusion,EC_only,exclusion,26,ordit,NA,NA,neither,1,1,no,yes,2357938,2364187
54,EC_only,exclusion,EC_only,exclusion,27,pevoke,negative,30_40,paired_cs,1,1,no,yes,2365215,2370453
54,EC_only,exclusion,EC_only,exclusion,28,hesire,NA,NA,neither,1,1,no,yes,2371481,2374473
54,EC_only,exclusion,EC_only,exclusion,29,ankoe,NA,NA,neither,1,1,yes,no,2375506,2382238
54,EC_only,exclusion,EC_only,exclusion,30,icecip,negative,30_40,paired_cs,1,1,no,yes,2383266,2387633
54,EC_only,exclusion,EC_only,exclusion,31,vegom,NA,NA,neither,1,1,yes,no,2388661,2392030
54,EC_only,exclusion,EC_only,exclusion,32,voual,NA,NA,neither,1,1,yes,no,2393058,2394684
54,EC_only,exclusion,EC_only,exclusion,33,oltar,positive,70_80,paired_cs,1,1,yes,no,2395718,2398089
54,EC_only,exclusion,EC_only,exclusion,34,roosle,NA,NA,neither,1,1,no,yes,2399117,2402251
54,EC_only,exclusion,EC_only,exclusion,35,clerd,positive,70_80,paired_cs,1,1,yes,no,2403279,2405900
54,EC_only,exclusion,EC_only,exclusion,36,unuoll,negative,50_60,paired_cs,1,1,yes,no,2406929,2409437
54,EC_only,exclusion,EC_only,exclusion,37,teior,NA,NA,neither,1,1,no,yes,2410472,2413977
54,EC_only,exclusion,EC_only,exclusion,38,peush,negative,90_10,paired_cs,1,1,no,yes,2415005,2416633
54,EC_only,exclusion,EC_only,exclusion,39,appobe,positive,90_10,paired_cs,1,1,yes,no,2417661,2418915
54,EC_only,exclusion,EC_only,exclusion,40,palpid,NA,NA,neither,1,1,yes,no,2419943,2425699
54,EC_only,exclusion,EC_only,exclusion,41,parwax,positive,70_80,paired_cs,1,1,yes,no,2426733,2427860
54,EC_only,exclusion,EC_only,exclusion,42,fangus,positive,30_40,paired_cs,1,1,no,yes,2428888,2431142
54,EC_only,exclusion,EC_only,exclusion,43,ribual,negative,90_10,paired_cs,1,1,no,yes,2432170,2434177
54,EC_only,exclusion,EC_only,exclusion,44,punnot,NA,NA,neither,1,1,yes,no,2435205,2438718
54,EC_only,exclusion,EC_only,exclusion,45,chnap,positive,50_60,paired_cs,1,1,yes,no,2439746,2441747
54,EC_only,exclusion,EC_only,exclusion,46,clish,NA,NA,neither,1,1,no,yes,2442775,2445904
54,EC_only,exclusion,EC_only,exclusion,47,haraks,NA,NA,neither,1,1,no,yes,2446932,2449197
54,EC_only,exclusion,EC_only,exclusion,48,lescry,NA,NA,neither,1,1,yes,no,2450229,2460832
54,EC_only,exclusion,EC_only,exclusion,49,coskie,NA,NA,neither,1,1,no,yes,2461860,2464243
54,EC_only,exclusion,EC_only,exclusion,50,prien,NA,NA,neither,1,1,no,yes,2465271,2468905
54,EC_only,exclusion,EC_only,exclusion,51,styla,positive,50_60,paired_cs,1,1,yes,no,2469933,2471818
54,EC_only,exclusion,EC_only,exclusion,52,twavel,negative,90_10,paired_cs,1,1,no,yes,2472851,2477987
54,EC_only,exclusion,EC_only,exclusion,53,seork,NA,NA,neither,1,1,yes,no,2479015,2481661
54,EC_only,exclusion,EC_only,exclusion,54,dowsal,NA,NA,neither,1,1,yes,no,2482689,2484818
54,EC_only,exclusion,EC_only,exclusion,55,makan,positive,90_10,paired_cs,1,1,yes,no,2485846,2487727
54,EC_only,exclusion,EC_only,exclusion,56,naptor,NA,NA,neither,1,1,no,yes,2488755,2491387
54,EC_only,exclusion,EC_only,exclusion,57,hiatts,NA,NA,neither,1,1,yes,no,2492415,2494041
54,EC_only,exclusion,EC_only,exclusion,58,funery,positive,50_60,paired_cs,1,1,yes,no,2495069,2500354
54,EC_only,exclusion,EC_only,exclusion,59,hicron,NA,NA,neither,1,1,yes,no,2501386,2504017
54,EC_only,exclusion,EC_only,exclusion,60,coneoy,NA,NA,neither,1,1,yes,no,2505045,2506547
54,EC_only,exclusion,EC_only,exclusion,61,tyorny,negative,50_60,paired_cs,1,1,yes,no,2507575,2508701
54,EC_only,exclusion,EC_only,exclusion,62,donrey,negative,30_40,paired_cs,1,1,no,yes,2509729,2511984
54,EC_only,exclusion,EC_only,exclusion,63,parlic,positive,30_40,paired_cs,1,1,no,yes,2513017,2516643
54,EC_only,exclusion,EC_only,exclusion,64,guote,positive,30_40,paired_cs,1,1,yes,no,2517671,2519056
54,EC_only,exclusion,EC_only,exclusion,65,piend,NA,NA,neither,1,1,yes,no,2520084,2521709
54,EC_only,exclusion,EC_only,exclusion,66,avouco,positive,50_60,paired_cs,1,1,yes,no,2522737,2524995
54,EC_only,exclusion,EC_only,exclusion,67,itplic,NA,NA,neither,1,1,yes,no,2526023,2527279
54,EC_only,exclusion,EC_only,exclusion,68,minair,positive,90_10,paired_cs,1,1,yes,no,2528307,2529937
54,EC_only,exclusion,EC_only,exclusion,69,poieen,negative,70_80,paired_cs,1,1,no,yes,2530966,2532976
54,EC_only,exclusion,EC_only,exclusion,70,zillie,NA,NA,neither,1,1,no,yes,2534028,2536405
54,EC_only,exclusion,EC_only,exclusion,71,itafy,NA,NA,neither,1,1,yes,no,2537433,2547564
