subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_neither,vm_dk,time_vm_form,time_vm_blank
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,0,jinkup,negative,50_60,paired_cs,no,yes,no,no,4073451,4078566
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,1,oacart,negative,70_80,paired_cs,no,yes,no,no,4079602,4085952
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,2,avouco,both,70_80,distractor,no,yes,no,no,4086987,4091827
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,3,seloom,NA,NA,neither,no,no,yes,no,4092866,4096699
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,4,prien,NA,NA,neither,no,no,yes,no,4097735,4099767
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,5,guote,NA,NA,neither,no,no,no,yes,4100802,4102840
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,6,symoan,NA,NA,neither,no,no,no,yes,4103874,4104892
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,7,gigoro,NA,NA,neither,no,no,no,yes,4105933,4107204
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,8,seork,both,50_60,distractor,no,no,no,yes,4108238,4109510
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,9,trelle,positive,50_60,paired_cs,yes,no,no,no,4110544,4112074
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,10,pubio,both,30_40,distractor,yes,no,no,no,4113109,4115141
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,11,rutort,NA,NA,neither,no,no,no,yes,4116177,4117972
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,12,piend,both,30_40,distractor,no,no,no,yes,4119006,4120278
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,13,gypass,NA,NA,neither,no,no,no,yes,4121312,4122585
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,14,coneoy,negative,70_80,paired_cs,no,no,no,yes,4123619,4127178
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,15,fusia,negative,90_10,paired_cs,no,no,no,yes,4128212,4133314
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,16,fasyia,positive,90_10,paired_cs,no,no,no,yes,4134348,4135622
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,17,jolver,NA,NA,neither,no,no,no,yes,4136657,4137673
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,18,palpid,NA,NA,neither,no,no,no,yes,4138708,4142268
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,19,hesire,negative,90_10,paired_cs,no,yes,no,no,4143302,4145338
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,20,appobe,negative,70_80,paired_cs,no,no,no,yes,4146373,4147905
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,21,oltar,negative,30_40,paired_cs,no,no,no,yes,4148940,4149957
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,22,teior,positive,70_80,paired_cs,yes,no,no,no,4150992,4154055
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,23,dowsal,positive,70_80,paired_cs,yes,no,no,no,4155091,4159930
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,24,eyalt,positive,30_40,paired_cs,no,no,no,yes,4160965,4162241
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,25,ribual,both,90_10,distractor,no,no,no,yes,4163276,4164292
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,26,tafta,both,50_60,distractor,yes,no,no,no,4165326,4167102
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,27,poieen,positive,90_10,paired_cs,yes,no,no,no,4168137,4170202
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,28,lescry,positive,70_80,paired_cs,yes,no,no,no,4171238,4173022
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,29,teutos,positive,90_10,paired_cs,yes,no,no,no,4174057,4175337
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,30,punnot,negative,90_10,paired_cs,no,no,no,yes,4176373,4178669
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,31,treati,both,50_60,distractor,yes,no,no,no,4179703,4181747
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,32,fexony,NA,NA,neither,no,no,no,yes,4182782,4184322
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,33,vegom,NA,NA,neither,no,no,no,yes,4185356,4231570
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,34,styla,negative,50_60,paired_cs,no,no,no,yes,4232605,4233625
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,35,bokine,NA,NA,neither,no,no,no,yes,4234659,4236956
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,36,zillie,positive,90_10,paired_cs,yes,no,no,no,4237991,4241554
79,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,37,sarary,both,70_80,distractor,no,no,no,yes,4242588,4243612
