subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_neither,vm_dk,time_vm_form,time_vm_blank
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,0,lescry,negative,30_40,paired_cs,no,yes,no,no,4712598,4722372
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,1,oacart,positive,50_60,paired_cs,no,no,yes,no,4723392,4726958
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,2,dowsal,NA,NA,neither,no,yes,no,no,4727977,4731323
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,3,seloom,positive,70_80,paired_cs,yes,no,no,no,4732343,4734574
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,4,tafta,negative,70_80,paired_cs,no,yes,no,no,4735596,4738385
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,5,fangus,both,90_10,distractor,no,no,yes,no,4739405,4744652
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,6,tyorny,NA,NA,neither,no,no,yes,no,4745671,4749557
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,7,clish,NA,NA,neither,no,no,yes,no,4750576,4752133
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,8,ceayon,NA,NA,neither,no,no,yes,no,4753153,4757378
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,9,avouco,NA,NA,neither,no,no,yes,no,4758397,4759839
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,10,clerd,both,30_40,distractor,no,no,yes,no,4760858,4765991
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,11,teior,negative,70_80,paired_cs,no,no,yes,no,4767010,4774173
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,12,seork,both,30_40,distractor,no,yes,no,no,4775192,4791269
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,13,purdag,NA,NA,neither,no,no,yes,no,4792288,4795406
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,14,evone,positive,30_40,paired_cs,no,no,yes,no,4796425,4797874
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,15,yained,NA,NA,neither,no,no,yes,no,4798893,4800130
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,16,vegom,both,50_60,distractor,no,yes,no,no,4801149,4803052
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,17,prien,positive,50_60,paired_cs,no,no,yes,no,4804071,4806744
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,18,yahio,both,90_10,distractor,no,no,yes,no,4807763,4813576
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,19,donrey,NA,NA,neither,no,no,no,yes,4814596,4819281
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,20,fasyia,positive,30_40,paired_cs,no,no,yes,no,4820300,4822757
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,21,funery,both,50_60,distractor,no,yes,no,no,4823776,4826450
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,22,orikle,NA,NA,neither,no,no,no,yes,4827470,4832152
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,23,sarary,NA,NA,neither,no,yes,no,no,4833171,4837833
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,24,hicron,NA,NA,neither,no,no,yes,no,4838852,4841306
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,25,punnot,NA,NA,neither,no,no,no,yes,4842325,4846453
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,26,poieen,NA,NA,neither,no,no,yes,no,4847472,4849478
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,27,itplic,negative,50_60,paired_cs,no,no,yes,no,4850497,4851723
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,28,appobe,negative,70_80,paired_cs,no,yes,no,no,4852742,4855645
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,29,styla,both,70_80,distractor,no,no,yes,no,4856664,4858336
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,30,obtfin,negative,90_10,paired_cs,no,no,yes,no,4859355,4865609
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,31,pevoke,both,50_60,distractor,no,no,no,yes,4866629,4873313
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,32,casteg,NA,NA,neither,no,no,yes,no,4874332,4875785
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,33,voual,positive,70_80,paired_cs,no,no,yes,no,4876804,4877917
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,34,babit,positive,90_10,paired_cs,yes,no,no,no,4878937,4884944
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,35,sepah,negative,50_60,paired_cs,no,no,no,yes,4885964,4889535
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,36,jolver,positive,30_40,paired_cs,no,yes,no,no,4890554,4892341
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,37,madjas,both,70_80,distractor,no,no,yes,no,4893361,4894814
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,38,rutort,negative,90_10,paired_cs,no,no,yes,no,4895833,4897172
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,39,ribual,both,70_80,distractor,no,no,no,yes,4898191,4902434
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,40,palpid,positive,90_10,paired_cs,no,no,yes,no,4903454,4904800
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,41,coline,both,70_80,distractor,no,no,yes,no,4905819,4907044
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,42,haraks,NA,NA,neither,no,no,yes,no,4908063,4909281
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,43,gigoro,both,90_10,distractor,no,no,yes,no,4910301,4911190
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,44,peush,NA,NA,neither,no,no,yes,no,4912209,4913653
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,45,unuoll,negative,70_80,paired_cs,no,no,yes,no,4914672,4916662
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,46,coneoy,positive,70_80,paired_cs,no,no,yes,no,4917681,4921586
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,47,hesire,positive,50_60,paired_cs,no,no,no,yes,4922605,4926839
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,48,piend,positive,90_10,paired_cs,no,no,yes,no,4927858,4930640
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,49,coskie,positive,50_60,paired_cs,no,no,yes,no,4931660,4934669
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,50,eyalt,NA,NA,neither,no,no,yes,no,4935688,4936800
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,51,gypass,negative,30_40,paired_cs,no,yes,no,no,4937819,4953215
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,52,beakem,positive,70_80,paired_cs,no,no,yes,no,4954234,4962684
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,53,itafy,NA,NA,neither,no,no,yes,no,4963704,4964597
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,54,lobee,negative,30_40,paired_cs,no,no,yes,no,4965616,4967066
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,55,tavoo,NA,NA,neither,no,no,yes,no,4968086,4975100
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,56,roosle,negative,90_10,paired_cs,no,yes,no,no,4976119,4977912
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,57,altine,negative,50_60,paired_cs,no,no,yes,no,4978931,4982279
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,58,boity,negative,30_40,paired_cs,no,yes,no,no,4983298,4984964
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,59,cenbre,both,30_40,distractor,yes,no,no,no,4985983,4989983
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,60,treati,NA,NA,neither,no,no,no,yes,4991003,4994455
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,61,oureen,NA,NA,neither,no,no,yes,no,4995474,4998813
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,62,craeky,NA,NA,neither,no,no,yes,no,4999832,5001172
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,63,strank,NA,NA,neither,no,no,yes,no,5002191,5003534
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,64,chnap,NA,NA,neither,no,no,yes,no,5004553,5005561
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,65,yeomun,positive,90_10,paired_cs,yes,no,no,no,5006580,5009031
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,66,trelle,negative,50_60,paired_cs,no,no,no,yes,5010050,5014401
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,67,zillie,positive,30_40,paired_cs,no,no,yes,no,5015420,5019095
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,68,obeac,both,30_40,distractor,no,yes,no,no,5020114,5022457
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,69,spanal,both,90_10,distractor,no,no,yes,no,5023476,5024704
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,70,twavel,negative,90_10,paired_cs,no,yes,no,no,5025723,5028726
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,71,parwax,both,50_60,distractor,no,yes,no,no,5029745,5031531
