subject_nr,learning_condition,memory_condition,trial_nr,trial_type,cs_nr,block,blockhalf,cs_dur_level,filler,masking,us_valence,us_filename,cs_filename,mask,cs_duration,postmask_duration,us_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,id_opt_5,id_opt_6,paired_opt_1,paired_opt_2,paired_opt_3,paired_opt_4,paired_opt_5,paired_opt_6,val_opt_1,val_opt_2,val_opt_3,val_opt_4,val_opt_5,val_opt_6,vf_neg,vf_pos,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_blank_show,time_fixation_dot_show,time_cs_us_show,time_postmask_show,time_us_show,time_valence_focus,time_subjective_rating,time_identification,time_logger
108,EC_subj_obj_uncorr,inclusion,0,uncorr_objective,cs30,1,first,90_10,no,no,negative,9007.bmp,beakem,NA,100,50,2350,gigoro,seloom,unuoll,piend,beakem,tyorny,other_cs,other_cs,unpaired,other_cs,current_cs,unpaired,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,746871,747774,747878,747982,748035,750385,NA,NA,758360
108,EC_subj_obj_uncorr,inclusion,1,subjective,cs24,1,first,70_80,no,yes,negative,9041.bmp,clerd,maske_1.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,yes,no,no,NA,NA,NA,NA,NA,NA,758529,759433,759537,759610,759664,762045,764791,NA,782196
108,EC_subj_obj_uncorr,inclusion,2,subjective,cs1,1,first,30_40,yes,yes,positive,4606.bmp,NA,maske_7.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,no,NA,NA,NA,NA,NA,NA,782339,783242,783346,783379,783432,785853,789175,NA,796302
108,EC_subj_obj_uncorr,inclusion,3,subjective,cs32,1,first,90_10,no,no,negative,9265.bmp,teutos,NA,90,50,2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,796480,797384,797488,797581,797634,799995,NA,NA,802535
108,EC_subj_obj_uncorr,inclusion,4,uncorr_objective,cs34,1,first,90_10,no,no,negative,6311.bmp,piend,NA,90,50,2360,beakem,guote,fexony,gigoro,piend,seloom,other_cs,unpaired,unpaired,other_cs,current_cs,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,802717,803621,803725,803818,803871,806231,NA,NA,807256
108,EC_subj_obj_uncorr,inclusion,5,uncorr_objective,cs21,1,first,70_80,no,yes,positive,8540.bmp,punnot,maske_2.bmp,70,50,2380,hesire,minair,coline,purdag,altine,punnot,other_cs,unpaired,other_cs,unpaired,other_cs,current_cs,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,yes,no,no,no,807425,808328,808432,808505,808558,810938,NA,813229,832003
108,EC_subj_obj_uncorr,inclusion,6,subjective,cs23,1,first,70_80,no,yes,positive,1999.bmp,itafy,maske_1.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA,832179,833083,833187,833260,833314,835695,837525,NA,843065
108,EC_subj_obj_uncorr,inclusion,7,subjective,cs19,1,first,70_80,no,yes,positive,2058.bmp,naptor,maske_9.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,yes,no,NA,NA,NA,NA,NA,NA,843234,844138,844241,844314,844368,846748,858380,NA,861137
108,EC_subj_obj_uncorr,inclusion,8,subjective,cs27,1,first,90_10,no,no,positive,1650.bmp,appobe,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,861317,862221,862325,862429,862482,864832,NA,NA,866334
108,EC_subj_obj_uncorr,inclusion,9,subjective,cs12,1,first,50_60,no,yes,negative,9421.bmp,icecip,maske_9.bmp,50,50,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,866493,867396,867500,867553,867606,870007,872694,NA,880525
108,EC_subj_obj_uncorr,inclusion,10,uncorr_objective,cs17,1,first,50_60,no,yes,positive,2550.bmp,teior,maske_1.bmp,50,50,2400,cocox,rutort,avouco,dowsal,teior,twavel,unpaired,other_cs,other_cs,unpaired,current_cs,other_cs,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,880683,881586,881690,881743,881796,884196,NA,885140,898387
108,EC_subj_obj_uncorr,inclusion,11,subjective,cs20,1,first,70_80,no,yes,negative,9006.bmp,madjas,maske_4.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,898596,899499,899603,899676,899729,902110,903781,NA,906312
108,EC_subj_obj_uncorr,inclusion,12,subjective,cs4,1,first,30_40,no,yes,negative,9340.bmp,strank,maske_10.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA,906449,907352,907456,907489,907542,909963,911389,NA,913002
108,EC_subj_obj_uncorr,inclusion,13,subjective,cs8,1,first,30_40,no,yes,negative,9830.bmp,clish,maske_4.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,913140,914043,914147,914181,914234,916655,918715,NA,922846
108,EC_subj_obj_uncorr,inclusion,14,uncorr_objective,cs33,1,first,90_10,no,no,positive,8080.bmp,seloom,NA,100,50,2350,piend,beakem,guote,seloom,gigoro,fexony,other_cs,other_cs,unpaired,current_cs,other_cs,unpaired,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,923014,923917,924021,924125,924178,926528,NA,NA,928115
108,EC_subj_obj_uncorr,inclusion,15,uncorr_objective,cs25,1,first,70_80,no,yes,positive,2340.bmp,hesire,maske_12.bmp,70,50,2380,coskie,coline,altine,hesire,punnot,haraks,unpaired,other_cs,other_cs,current_cs,other_cs,unpaired,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,no,928275,929178,929282,929356,929409,931790,NA,933057,946928
108,EC_subj_obj_uncorr,inclusion,16,subjective,cs28,1,first,90_10,no,no,negative,6242.bmp,ordit,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,947101,948005,948109,948213,948266,950616,NA,NA,957971
108,EC_subj_obj_uncorr,inclusion,17,subjective,cs15,1,first,50_60,no,yes,positive,2311.bmp,symoan,maske_12.bmp,60,50,2390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,958117,959022,959125,959188,959242,961632,962343,NA,970142
108,EC_subj_obj_uncorr,inclusion,18,uncorr_objective,cs29,1,first,90_10,no,no,positive,5831.bmp,gigoro,NA,100,50,2350,tyorny,unuoll,piend,seloom,beakem,gigoro,unpaired,unpaired,other_cs,other_cs,other_cs,current_cs,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,970314,971218,971322,971425,971478,973828,NA,NA,974623
108,EC_subj_obj_uncorr,inclusion,19,uncorr_objective,cs22,1,first,70_80,no,yes,negative,9180.bmp,coline,maske_3.bmp,80,50,2370,minair,coline,hesire,altine,purdag,punnot,unpaired,current_cs,other_cs,other_cs,unpaired,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,no,974781,975685,975789,975873,975926,978296,NA,979723,988823
108,EC_subj_obj_uncorr,inclusion,20,subjective,cs3,1,first,30_40,no,yes,positive,2791.bmp,jolver,maske_10.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA,988969,989872,989976,990009,990062,992483,993277,NA,996056
108,EC_subj_obj_uncorr,inclusion,21,subjective,cs31,1,first,90_10,no,no,positive,8470.bmp,poieen,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,996223,997127,997231,997334,997388,999738,NA,NA,1001090
108,EC_subj_obj_uncorr,inclusion,22,subjective,cs16,1,first,50_60,no,yes,negative,6020.bmp,trelle,maske_5.bmp,60,50,2390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,1001246,1002149,1002253,1002317,1002370,1004760,1005637,NA,1007482
108,EC_subj_obj_uncorr,inclusion,23,subjective,cs2,1,first,30_40,yes,yes,negative,9404.bmp,NA,maske_2.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA,1007609,1008512,1008616,1008659,1008712,1011123,1012559,NA,1013721
