subject_nr,learning_condition,memory_condition,trial_nr,trial_type,cs_nr,block,blockhalf,cs_dur_level,filler,masking,us_valence,us_filename,cs_filename,mask,cs_duration,postmask_duration,us_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,id_opt_5,id_opt_6,paired_opt_1,paired_opt_2,paired_opt_3,paired_opt_4,paired_opt_5,paired_opt_6,val_opt_1,val_opt_2,val_opt_3,val_opt_4,val_opt_5,val_opt_6,vf_neg,vf_pos,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_blank_show,time_fixation_dot_show,time_cs_us_show,time_postmask_show,time_us_show,time_valence_focus,time_subjective_rating,time_identification,time_logger
109,EC_subj_obj_uncorr,inclusion,0,uncorr_objective,cs10,1,first,30_40,no,yes,negative,3160.bmp,boity,maske_7.bmp,30,50,2420,obeac,evone,seork,lescry,jolver,boity,unpaired,other_cs,unpaired,other_cs,other_cs,current_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,712228,713131,713234,713267,713320,715740,NA,719623,735034
109,EC_subj_obj_uncorr,inclusion,1,uncorr_objective,cs17,1,first,50_60,no,yes,positive,2057.bmp,hesire,maske_4.bmp,60,50,2390,sepah,pevoke,funery,trelle,oacart,hesire,other_cs,unpaired,unpaired,other_cs,other_cs,current_cs,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,no,735180,736083,736186,736249,736302,738692,NA,742423,754860
109,EC_subj_obj_uncorr,inclusion,2,subjective,cs28,1,first,90_10,no,no,negative,9421.bmp,obtfin,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,755024,755927,756030,756133,756186,758536,NA,NA,765363
109,EC_subj_obj_uncorr,inclusion,3,subjective,cs4,1,first,30_40,no,yes,negative,1525.bmp,lobee,maske_10.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA,765501,766404,766507,766540,766593,769013,775409,NA,786153
109,EC_subj_obj_uncorr,inclusion,4,subjective,cs24,1,first,70_80,no,yes,negative,2375.1.bmp,unuoll,maske_1.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,786310,787213,787316,787399,787452,789822,792691,NA,795919
109,EC_subj_obj_uncorr,inclusion,5,subjective,cs1,1,first,30_40,yes,yes,positive,8501.bmp,NA,maske_1.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA,796046,796949,797052,797085,797138,799558,802488,NA,804332
109,EC_subj_obj_uncorr,inclusion,6,uncorr_objective,cs34,1,first,90_10,no,no,negative,8485.bmp,twavel,NA,90,50,2360,rutort,yahio,twavel,yeomun,babit,fangus,other_cs,unpaired,current_cs,other_cs,other_cs,unpaired,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,804497,805400,805503,805596,805649,808009,NA,NA,819981
109,EC_subj_obj_uncorr,inclusion,7,uncorr_objective,cs14,1,first,50_60,no,yes,negative,9102.bmp,trelle,maske_4.bmp,50,50,2400,sepah,funery,oacart,pevoke,hesire,trelle,other_cs,unpaired,other_cs,unpaired,other_cs,current_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,820133,821036,821139,821192,821245,823645,NA,826817,839756
109,EC_subj_obj_uncorr,inclusion,8,uncorr_objective,cs6,1,first,30_40,no,yes,negative,6530.bmp,lescry,maske_1.bmp,30,50,2420,boity,lescry,evone,jolver,obeac,seork,other_cs,current_cs,other_cs,other_cs,unpaired,unpaired,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,839891,840795,840898,840931,840984,843404,NA,844992,859258
109,EC_subj_obj_uncorr,inclusion,9,uncorr_objective,cs22,1,first,70_80,no,yes,negative,9404.bmp,tafta,maske_7.bmp,80,50,2370,seloom,tafta,ribual,appobe,styla,beakem,other_cs,current_cs,unpaired,other_cs,unpaired,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,859424,860327,860430,860513,860566,862936,NA,865234,867310
