subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank,pre_post
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,0,chnap,NA,NA,neither,4,51850,61038,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,1,coneoy,positive,70_80,paired_cs,9,62057,70243,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,2,lescry,negative,30_40,paired_cs,4,71262,78899,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,3,poieen,NA,NA,neither,16,79918,85597,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,4,obeac,both,30_40,distractor,19,86616,91599,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,5,itafy,NA,NA,neither,11,92618,101661,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,6,yained,NA,NA,neither,13,102680,110896,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,7,palpid,positive,90_10,paired_cs,6,111915,117232,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,8,hesire,positive,50_60,paired_cs,9,118251,125883,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,9,peush,NA,NA,neither,4,126902,131411,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,10,lobee,negative,30_40,paired_cs,11,132430,142645,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,11,babit,positive,90_10,paired_cs,18,143665,146562,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,12,strank,NA,NA,neither,2,147581,152300,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,13,obtfin,negative,90_10,paired_cs,1,153328,157033,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,14,oacart,positive,50_60,paired_cs,4,158053,162663,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,15,dowsal,NA,NA,neither,10,163682,169742,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,16,unuoll,negative,70_80,paired_cs,5,170761,178950,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,17,sarary,NA,NA,neither,1,179969,184359,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,18,ribual,both,70_80,distractor,2,185378,189778,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,19,rutort,negative,90_10,paired_cs,1,190797,195763,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,20,jolver,positive,30_40,paired_cs,6,196782,202669,pre
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,21,vegom,both,50_60,distractor,1,203688,207950,pre
