subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,correct_us,us_opt_1,us_opt_2,us_opt_3,us_opt_4,us_opt_5,us_opt_6,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,im_opt_none,im_opt_dk,time_im_form,time_im_blank
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,0,tavoo,negative,70_80,paired_cs,2053.bmp,9220.bmp,3550.bmp,9330.bmp,2053.bmp,9404.bmp,9102.bmp,no,yes,no,no,no,no,no,no,4369649,4374103
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,1,parwax,positive,70_80,paired_cs,2660.bmp,4622.bmp,2660.bmp,2900.2.bmp,2058.bmp,5629.bmp,7230.bmp,no,no,yes,no,no,no,no,no,4375129,4377662
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,2,obeac,negative,70_80,paired_cs,2375.1.bmp,2375.1.bmp,6242.bmp,3550.bmp,9430.bmp,2141.bmp,3160.bmp,yes,no,no,no,no,no,no,no,4378687,4379198
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,3,fangus,positive,30_40,paired_cs,5994.bmp,8330.bmp,2058.bmp,1999.bmp,2091.bmp,5994.bmp,1440.bmp,no,no,no,no,yes,no,no,no,4380223,4380632
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,4,craeky,negative,NA,neither,none_correct,9342.bmp,3160.bmp,2276.bmp,6570.1.bmp,9561.bmp,9560.bmp,no,yes,no,no,no,no,no,no,4381656,4381760
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,5,hesire,positive,70_80,distractor,7230.bmp,7230.bmp,5831.bmp,2160.bmp,2040.bmp,1440.bmp,7580.bmp,no,no,yes,no,no,no,no,no,4382787,4383096
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,6,coneoy,negative,NA,neither,none_correct,9561.bmp,9330.bmp,9102.bmp,9520.bmp,6555.bmp,8485.bmp,no,no,no,no,no,yes,no,no,4384120,4384525
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,7,cocox,negative,50_60,paired_cs,6831.bmp,9182.bmp,6555.bmp,6831.bmp,9050.bmp,9561.bmp,9220.bmp,no,no,no,yes,no,no,no,no,4385549,4385653
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,8,naptor,positive,50_60,paired_cs,1710.bmp,8540.bmp,1650.bmp,2208.bmp,1440.bmp,1710.bmp,7350.bmp,no,yes,no,no,no,no,no,no,4386677,4386882
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,9,twavel,positive,NA,neither,none_correct,8501.bmp,8420.bmp,2208.bmp,8080.bmp,2080.bmp,1710.bmp,no,yes,no,no,no,no,no,no,4387922,4388127
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,10,seloom,positive,70_80,paired_cs,8496.bmp,8330.bmp,2791.bmp,2209.bmp,5594.bmp,8496.bmp,7580.bmp,yes,no,no,no,no,no,no,no,4389151,4389255
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,11,boity,negative,70_80,distractor,6570.1.bmp,6838.bmp,3220.bmp,3300.bmp,2375.1.bmp,9041.bmp,6570.1.bmp,no,no,no,no,yes,no,no,no,4390280,4390485
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,12,piend,negative,NA,neither,none_correct,9220.bmp,9041.bmp,2710.bmp,6838.bmp,9050.bmp,9430.bmp,no,no,no,no,no,yes,no,no,4391509,4391714
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,13,sarary,positive,30_40,paired_cs,2160.bmp,2057.bmp,2160.bmp,8470.bmp,2040.bmp,2050.bmp,8190.bmp,no,yes,no,no,no,no,no,no,4392738,4392845
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,14,guote,negative,NA,neither,none_correct,9920.bmp,9630.bmp,6555.bmp,9520.bmp,6020.bmp,9400.bmp,no,no,no,no,yes,no,no,no,4393870,4393974
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,15,hicron,negative,70_80,distractor,7380.bmp,7380.bmp,2276.bmp,9432.bmp,2900.bmp,9007.bmp,3160.bmp,yes,no,no,no,no,no,no,no,4394998,4395101
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,16,orikle,positive,NA,neither,none_correct,7330.bmp,2071.bmp,5831.bmp,2208.bmp,1999.bmp,2160.bmp,no,no,no,yes,no,no,no,no,4396125,4396230
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,17,bokine,negative,NA,neither,none_correct,2375.1.bmp,9041.bmp,7380.bmp,2276.bmp,9435.bmp,9280.bmp,no,no,no,no,yes,no,no,no,4397254,4397460
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,18,jolver,positive,70_80,paired_cs,4606.bmp,2070.bmp,4606.bmp,5629.bmp,2150.bmp,2080.bmp,1999.bmp,no,no,yes,no,no,no,no,no,4398488,4398692
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,19,ankoe,positive,90_10,paired_cs,8540.bmp,5629.bmp,8496.bmp,8540.bmp,7502.bmp,5831.bmp,2209.bmp,no,yes,no,no,no,no,no,no,4399717,4399923
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,20,evone,positive,90_10,paired_cs,7350.bmp,2550.bmp,2900.2.bmp,5910.bmp,2058.bmp,7350.bmp,8470.bmp,no,no,no,no,yes,no,no,no,4400948,4401051
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,21,punnot,positive,70_80,distractor,8420.bmp,8496.bmp,5994.bmp,8420.bmp,5594.bmp,5830.bmp,2209.bmp,no,no,no,no,no,yes,no,no,4402076,4402588
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,22,tyorny,negative,NA,neither,none_correct,9050.bmp,9182.bmp,2276.bmp,6242.bmp,9920.bmp,9330.bmp,no,no,yes,no,no,no,no,no,4403617,4403720
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,23,eyalt,negative,90_10,paired_cs,9430.bmp,6831.bmp,2900.bmp,3160.bmp,9342.bmp,9050.bmp,9430.bmp,no,yes,no,no,no,no,no,no,4404744,4404847
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,24,itafy,negative,50_60,paired_cs,9220.bmp,9265.bmp,9500.bmp,8485.bmp,3220.bmp,9006.bmp,9220.bmp,no,no,no,no,yes,no,no,no,4405872,4405976
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,25,fasyia,positive,90_10,paired_cs,5830.bmp,2340.bmp,8170.bmp,5830.bmp,4606.bmp,2660.bmp,2040.bmp,yes,no,no,no,no,no,no,no,4407001,4407512
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,26,seork,positive,NA,neither,none_correct,2091.bmp,2340.bmp,2040.bmp,8496.bmp,2070.bmp,1650.bmp,no,yes,no,no,no,no,no,no,4408542,4409047
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,27,donrey,positive,NA,neither,none_correct,2050.bmp,5910.bmp,2311.bmp,2160.bmp,8470.bmp,5460.bmp,no,no,yes,no,no,no,no,no,4410071,4410177
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,28,itplic,negative,90_10,paired_cs,9432.bmp,9432.bmp,9830.bmp,6311.bmp,2053.bmp,9342.bmp,9000.bmp,no,yes,no,no,no,no,no,no,4411201,4411612
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,29,casteg,negative,NA,neither,none_correct,9280.bmp,1525.bmp,3550.bmp,9830.bmp,9006.bmp,9265.bmp,no,no,yes,no,no,no,no,no,4412636,4412841
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,30,avouco,positive,90_10,distractor,7470.bmp,8370.bmp,7470.bmp,5460.bmp,8080.bmp,8496.bmp,8170.bmp,no,no,yes,no,no,no,no,no,4413866,4414177
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,31,voual,positive,50_60,paired_cs,2080.bmp,2550.bmp,2791.bmp,2071.bmp,2080.bmp,7330.bmp,1999.bmp,no,no,no,no,no,yes,no,no,4415201,4415304
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,32,makan,positive,NA,neither,none_correct,2900.2.bmp,2057.bmp,7470.bmp,8370.bmp,5594.bmp,2050.bmp,no,yes,no,no,no,no,no,no,4416328,4416632
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,33,palpid,negative,70_80,paired_cs,6242.bmp,3220.bmp,6242.bmp,2053.bmp,9561.bmp,9404.bmp,9180.bmp,no,no,no,no,yes,no,no,no,4417656,4417862
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,34,purdag,negative,NA,neither,none_correct,8485.bmp,9404.bmp,6530.bmp,6570.1.bmp,6831.bmp,9435.bmp,no,no,yes,no,no,no,no,no,4418886,4419197
13,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,35,spanal,positive,30_40,paired_cs,4622.bmp,2150.bmp,2091.bmp,8190.bmp,8370.bmp,4622.bmp,7502.bmp,no,yes,no,no,no,no,no,no,4420221,4420529
