subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_neither,vm_dk,time_vm_form,time_vm_blank
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,0,sarary,both,30_40,distractor,no,no,no,yes,4481965,4491281
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,1,jolver,positive,30_40,paired_cs,no,no,yes,no,4492301,4494287
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,2,madjas,negative,70_80,paired_cs,no,no,yes,no,4495308,4497404
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,3,poieen,positive,90_10,paired_cs,yes,no,no,no,4498424,4501079
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,4,vegom,NA,NA,neither,no,no,yes,no,4502101,4505195
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,5,haraks,both,70_80,distractor,no,no,no,yes,4506214,4508757
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,6,seork,NA,NA,neither,no,no,yes,no,4509778,4512219
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,7,obtfin,NA,NA,neither,no,no,yes,no,4513238,4514673
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,8,fasyia,NA,NA,neither,no,no,yes,no,4515712,4517367
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,9,ordit,negative,90_10,paired_cs,no,no,no,yes,4518386,4522136
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,10,fangus,NA,NA,neither,no,no,yes,no,4523155,4524479
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,11,fexony,both,90_10,distractor,no,no,no,yes,4525498,4529247
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,12,cocox,both,50_60,distractor,no,yes,no,no,4530266,4539061
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,13,chnap,both,30_40,distractor,no,no,yes,no,4540081,4542618
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,14,rutort,negative,50_60,paired_cs,no,yes,no,no,4543638,4550598
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,15,pevoke,positive,30_40,paired_cs,yes,no,no,no,4551617,4556257
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,16,dowsal,both,50_60,distractor,no,no,yes,no,4557276,4573144
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,17,oltar,NA,NA,neither,no,no,yes,no,4574163,4578133
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,18,altine,negative,70_80,paired_cs,no,yes,no,no,4579152,4581593
108,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,19,twavel,negative,50_60,paired_cs,yes,no,no,no,4582612,4585279
