ParticipantNumber	knowing	CS	TrialNr	computerName	timeStamp
5	Schon mal gesehen	08.png	1	methexp32	2016-05-30_16.21.51.574000
5	Schon mal gesehen	20.png	2	methexp32	2016-05-30_16.21.51.574000
5	Schon mal gesehen	14n.png	3	methexp32	2016-05-30_16.21.51.574000
5	Schon mal gesehen	03.png	4	methexp32	2016-05-30_16.21.51.574000
5	Kenne ich sehr gut	51.png	5	methexp32	2016-05-30_16.21.51.574000
5	Schon mal gesehen	22.png	6	methexp32	2016-05-30_16.21.51.574000
5	Schon mal gesehen	04.png	7	methexp32	2016-05-30_16.21.51.574000
5	Gar nicht	50.png	8	methexp32	2016-05-30_16.21.51.574000
