ParticipantNumber	Length	US	CS	Answer	CorrectVariable	Mask1	Mask2	computerName	timeStamp
4	152	p45.wav	50.png	04.png	0	0	270	methexp32	2016-05-30_15.44.39.080000
4	158	neu9.wav	MotivationCS33.png	Distractor56.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	p89.wav	04.png	50.png	0	90	0	methexp32	2016-05-30_15.44.39.080000
4	152	p45.wav	08.png	03.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	n45.wav	20.png	14n.png	0	180	270	methexp32	2016-05-30_15.44.39.080000
4	152	p22.wav	08.png	03.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	n45.wav	03.png	03.png	1	180	0	methexp32	2016-05-30_15.44.39.080000
4	152	p36.wav	04.png	51.png	0	90	270	methexp32	2016-05-30_15.44.39.080000
4	152	p91.wav	04.png	51.png	0	90	270	methexp32	2016-05-30_15.44.39.080000
4	152	p52.wav	08.png	14n.png	0	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	n11.wav	03.png	03.png	1	270	180	methexp32	2016-05-30_15.44.39.080000
4	152	p89.wav	50.png	03.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	158	neu3.wav	MotivationCS33.png	MotivationCS33.png	1	270	0	methexp32	2016-05-30_15.44.39.080000
4	158	neu1.wav	MotivationCS27.png	MotivationCS27.png	1	90	0	methexp32	2016-05-30_15.44.39.080000
4	158	neu6.wav	MotivationCS33.png	MotivationCS33.png	1	270	180	methexp32	2016-05-30_15.44.39.080000
4	152	p23.wav	08.png	20.png	0	180	270	methexp32	2016-05-30_15.44.39.080000
4	152	p23.wav	14n.png	14n.png	1	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	p23.wav	50.png	03.png	0	90	0	methexp32	2016-05-30_15.44.39.080000
4	152	n30.wav	51.png	03.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	p22.wav	04.png	08.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	p21.wav	14n.png	14n.png	1	180	0	methexp32	2016-05-30_15.44.39.080000
4	152	n50.wav	20.png	08.png	0	270	90	methexp32	2016-05-30_15.44.39.080000
