phase,subject_nr,block,row,cond_order,stim1,valence,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,3,1,49,1,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,3,1,50,1,2,negative,3.png,9331.JPG,0,None,None,None,None
trials,3,1,51,1,2,positive,1.png,1604.JPG,0,None,None,None,None
trials,3,1,52,1,3,negative,3.png,9331.JPG,0,None,None,None,None
trials,3,1,53,1,NA,NA,9280.JPG,5720.JPG,0,None,None,None,None
trials,3,1,54,1,2,negative,9.png,2750.JPG,0,None,None,None,None
trials,3,1,55,1,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,3,1,56,1,2,negative,21.png,2900.1.JPG,0,None,None,None,None
trials,3,1,57,1,NA,NA,5780.JPG,9000.JPG,0,None,None,None,None
trials,3,1,58,1,2,positive,18.png,1460.JPG,0,None,None,None,None
trials,3,1,59,1,NA,NA,16.png,empty.png,0,None,None,None,None
trials,3,1,60,1,2,positive,24.png,1590.JPG,0,None,None,None,None
trials,3,1,61,1,3,negative,10.png,9432.JPG,0,None,None,None,None
trials,3,1,62,1,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,3,1,63,1,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,3,1,64,1,3,positive,17.png,1620.JPG,0,None,None,None,None
trials,3,1,65,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,66,1,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,3,1,67,1,3,negative,21.png,2900.1.JPG,0,None,None,None,None
trials,3,1,68,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,69,1,NA,NA,25.png,15.png,0,None,None,None,None
trials,3,1,70,1,NA,NA,empty.png,2.png,0,None,None,None,None
trials,3,1,71,1,3,neutral,5.png,7705.JPG,0,None,None,None,None
trials,3,1,72,1,1,negative,14.png,9265.JPG,0,None,None,None,None
trials,3,1,73,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,74,1,4,positive,17.png,1620.JPG,1,1,1,9,None
trials,3,1,75,1,1,negative,20.png,2100.JPG,0,None,None,None,None
trials,3,1,76,1,3,negative,9.png,2750.JPG,0,None,None,None,None
trials,3,1,77,1,2,negative,20.png,2100.JPG,0,None,None,None,None
trials,3,1,78,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,79,1,NA,NA,25.png,15.png,0,None,None,None,None
trials,3,1,80,1,NA,NA,empty.png,2.png,0,None,None,None,None
trials,3,1,81,1,3,neutral,12.png,7233.JPG,0,None,None,None,None
trials,3,1,82,1,NA,NA,empty.png,16.png,0,None,None,None,None
trials,3,1,83,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,84,1,2,negative,14.png,9265.JPG,0,None,None,None,None
trials,3,1,85,1,NA,NA,9280.JPG,5720.JPG,0,None,None,None,None
trials,3,1,86,1,NA,NA,6.png,27.png,0,None,None,None,None
trials,3,1,87,1,NA,NA,22.png,13.png,0,None,None,None,None
trials,3,1,88,1,NA,NA,25.png,15.png,0,None,None,None,None
trials,3,1,89,1,3,positive,1.png,1604.JPG,0,None,None,None,None
trials,3,1,90,1,4,neutral,5.png,7705.JPG,1,0,0,10,None
trials,3,1,91,1,NA,NA,empty.png,5250.JPG,0,None,None,None,None
trials,3,1,92,1,NA,NA,empty.png,19.png,0,None,None,None,None
trials,3,1,93,1,2,neutral,8.png,7002.JPG,0,None,None,None,None
trials,3,1,94,1,3,positive,4.png,1540.JPG,0,None,None,None,None
trials,3,1,95,1,3,neutral,8.png,7002.JPG,0,None,None,None,None
trials,3,1,96,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,97,1,3,negative,14.png,9265.JPG,0,None,None,None,None
trials,3,1,98,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,99,1,4,positive,1.png,1604.JPG,1,0,10,0,None
trials,3,1,100,1,2,neutral,23.png,7009.JPG,0,None,None,None,None
trials,3,1,101,1,4,negative,10.png,9432.JPG,1,0,9,1,None
trials,3,1,102,1,NA,NA,empty.png,16.png,0,None,None,None,None
trials,3,1,103,1,4,negative,3.png,9331.JPG,1,5,5,5,None
trials,3,1,104,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,105,1,3,neutral,23.png,7009.JPG,0,None,None,None,None
trials,3,1,106,1,NA,NA,empty.png,19.png,0,None,None,None,None
trials,3,1,107,1,NA,NA,5780.JPG,9000.JPG,0,None,None,None,None
trials,3,1,108,1,3,negative,20.png,2100.JPG,0,None,None,None,None
trials,3,1,109,1,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,3,1,110,1,3,positive,24.png,1590.JPG,0,None,None,None,None
trials,3,1,111,1,3,positive,18.png,1460.JPG,0,None,None,None,None
trials,3,1,112,1,NA,NA,5870.JPG,empty.png,0,None,None,None,None
trials,3,1,113,1,4,neutral,23.png,7009.JPG,1,0,0,10,None
trials,3,1,114,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,1,1,NA,NA,empty.png,5870.JPG,0,None,None,None,None
trials,3,2,2,1,4,neutral,11.png,7000.JPG,0,None,None,None,None
trials,3,2,3,1,4,positive,24.png,1590.JPG,0,None,None,None,None
trials,3,2,4,1,4,negative,14.png,9265.JPG,0,None,None,None,None
trials,3,2,5,1,NA,NA,6.png,27.png,0,None,None,None,None
trials,3,2,6,1,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,3,2,7,1,NA,NA,empty.png,2.png,0,None,None,None,None
trials,3,2,8,1,5,positive,1.png,1604.JPG,0,None,None,None,None
trials,3,2,9,1,5,neutral,11.png,7000.JPG,0,None,None,None,None
trials,3,2,10,1,4,negative,9.png,2750.JPG,0,None,None,None,None
trials,3,2,11,1,NA,NA,25.png,15.png,0,None,None,None,None
trials,3,2,12,1,5,negative,14.png,9265.JPG,0,None,None,None,None
trials,3,2,13,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,14,1,NA,NA,5870.JPG,empty.png,0,None,None,None,None
trials,3,2,15,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,16,1,4,positive,26.png,1750.JPG,0,None,None,None,None
trials,3,2,17,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,18,1,4,neutral,7.png,7006.JPG,0,None,None,None,None
trials,3,2,19,1,NA,NA,empty.png,19.png,0,None,None,None,None
trials,3,2,20,1,NA,NA,22.png,13.png,0,None,None,None,None
trials,3,2,21,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,22,1,4,positive,18.png,1460.JPG,0,None,None,None,None
trials,3,2,23,1,5,negative,10.png,9432.JPG,0,None,None,None,None
trials,3,2,24,1,4,neutral,8.png,7002.JPG,0,None,None,None,None
trials,3,2,25,1,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,3,2,26,1,NA,NA,19.png,empty.png,0,None,None,None,None
trials,3,2,27,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,28,1,5,neutral,5.png,7705.JPG,0,None,None,None,None
trials,3,2,29,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,30,1,NA,NA,empty.png,5250.JPG,0,None,None,None,None
trials,3,2,31,1,5,neutral,7.png,7006.JPG,0,None,None,None,None
trials,3,2,32,1,4,positive,4.png,1540.JPG,0,None,None,None,None
trials,3,2,33,1,6,neutral,11.png,7000.JPG,0,None,None,None,None
trials,3,2,34,1,4,negative,21.png,2900.1.JPG,0,None,None,None,None
trials,3,2,35,1,4,neutral,12.png,7233.JPG,0,None,None,None,None
trials,3,2,36,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,37,1,NA,NA,9280.JPG,5720.JPG,0,None,None,None,None
trials,3,2,38,1,7,neutral,11.png,7000.JPG,1,0,0,10,None
trials,3,2,39,1,NA,NA,5780.JPG,9000.JPG,0,None,None,None,None
trials,3,2,40,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,41,1,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,3,2,42,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,43,1,NA,NA,empty.png,16.png,0,None,None,None,None
trials,3,2,44,1,5,neutral,8.png,7002.JPG,0,None,None,None,None
trials,3,2,45,1,4,negative,20.png,2100.JPG,0,None,None,None,None
trials,3,2,46,1,5,negative,3.png,9331.JPG,0,None,None,None,None
trials,3,2,47,1,NA,NA,9280.JPG,5720.JPG,0,None,None,None,None
trials,3,2,48,1,6,positive,1.png,1604.JPG,0,None,None,None,None
trials,3,2,49,1,5,negative,9.png,2750.JPG,0,None,None,None,None
trials,3,2,50,1,5,positive,4.png,1540.JPG,0,None,None,None,None
trials,3,2,51,1,5,positive,26.png,1750.JPG,0,None,None,None,None
trials,3,2,52,1,NA,NA,5780.JPG,9000.JPG,0,None,None,None,None
trials,3,2,53,1,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,3,2,54,1,5,positive,17.png,1620.JPG,0,None,None,None,None
trials,3,2,55,1,6,negative,3.png,9331.JPG,0,None,None,None,None
trials,3,2,56,1,6,negative,9.png,2750.JPG,0,None,None,None,None
trials,3,2,57,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,58,1,NA,NA,19.png,empty.png,0,None,None,None,None
trials,3,2,59,1,6,neutral,7.png,7006.JPG,0,None,None,None,None
trials,3,2,60,1,5,positive,24.png,1590.JPG,0,None,None,None,None
trials,3,2,61,1,6,negative,14.png,9265.JPG,0,None,None,None,None
trials,3,2,62,1,5,negative,20.png,2100.JPG,0,None,None,None,None
trials,3,2,63,1,6,positive,4.png,1540.JPG,0,None,None,None,None
trials,3,2,64,1,6,positive,17.png,1620.JPG,0,None,None,None,None
trials,3,2,65,1,NA,NA,22.png,13.png,0,None,None,None,None
trials,3,2,66,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,67,1,7,positive,1.png,1604.JPG,0,None,None,None,None
trials,3,2,68,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,69,1,6,neutral,5.png,7705.JPG,0,None,None,None,None
trials,3,2,70,1,7,neutral,7.png,7006.JPG,1,0,0,10,None
trials,3,2,71,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,72,1,NA,NA,5780.JPG,9000.JPG,0,None,None,None,None
trials,3,2,73,1,5,neutral,23.png,7009.JPG,0,None,None,None,None
trials,3,2,74,1,NA,NA,25.png,15.png,0,None,None,None,None
trials,3,2,75,1,5,negative,21.png,2900.1.JPG,0,None,None,None,None
trials,3,2,76,1,NA,NA,empty.png,16.png,0,None,None,None,None
trials,3,2,77,1,NA,NA,empty.png,2.png,0,None,None,None,None
trials,3,2,78,1,6,negative,10.png,9432.JPG,0,None,None,None,None
trials,3,2,79,1,NA,NA,empty.png,2.png,0,None,None,None,None
trials,3,2,80,1,7,positive,4.png,1540.JPG,1,0,10,0,None
trials,3,2,81,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,82,1,6,positive,26.png,1750.JPG,0,None,None,None,None
trials,3,2,83,1,NA,NA,25.png,15.png,0,None,None,None,None
trials,3,2,84,1,7,positive,26.png,1750.JPG,1,0,10,0,None
trials,3,2,85,1,7,negative,3.png,9331.JPG,0,None,None,None,None
trials,3,2,86,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,87,1,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,3,2,88,1,6,neutral,23.png,7009.JPG,0,None,None,None,None
trials,3,2,89,1,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,3,2,90,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,91,1,7,positive,17.png,1620.JPG,0,None,None,None,None
trials,3,2,92,1,NA,NA,6.png,27.png,0,None,None,None,None
trials,3,2,93,1,NA,NA,empty.png,5870.JPG,0,None,None,None,None
trials,3,2,94,1,6,neutral,8.png,7002.JPG,0,None,None,None,None
trials,3,2,95,1,6,negative,20.png,2100.JPG,0,None,None,None,None
trials,3,2,96,1,NA,NA,9280.JPG,5720.JPG,0,None,None,None,None
trials,3,2,97,1,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,3,2,98,1,5,positive,18.png,1460.JPG,0,None,None,None,None
trials,3,2,99,1,6,negative,21.png,2900.1.JPG,0,None,None,None,None
trials,3,2,100,1,NA,NA,22.png,13.png,0,None,None,None,None
trials,3,2,101,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,102,1,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,3,2,103,1,NA,NA,16.png,empty.png,0,None,None,None,None
trials,3,2,104,1,5,neutral,12.png,7233.JPG,0,None,None,None,None
trials,3,2,105,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,2,106,1,7,negative,14.png,9265.JPG,1,10,0,0,None
trials,3,2,107,1,6,positive,24.png,1590.JPG,0,None,None,None,None
trials,3,2,108,1,6,neutral,12.png,7233.JPG,0,None,None,None,None
trials,3,2,109,1,NA,NA,6.png,27.png,0,None,None,None,None
trials,3,2,110,1,7,negative,10.png,9432.JPG,0,None,None,None,None
trials,3,2,111,1,7,neutral,5.png,7705.JPG,0,None,None,None,None
trials,3,2,112,1,7,neutral,23.png,7009.JPG,0,None,None,None,None
trials,3,2,113,1,6,positive,18.png,1460.JPG,0,None,None,None,None
trials,3,2,114,1,7,negative,9.png,2750.JPG,1,10,0,0,None
trials,3,3,1,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,2,1,NA,NA,9280.JPG,5720.JPG,0,None,None,None,None
trials,3,3,3,1,8,positive,17.png,1620.JPG,0,None,None,None,None
trials,3,3,4,1,8,positive,4.png,1540.JPG,0,None,None,None,None
trials,3,3,5,1,8,negative,9.png,2750.JPG,0,None,None,None,None
trials,3,3,6,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,7,1,7,negative,20.png,2100.JPG,0,None,None,None,None
trials,3,3,8,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,9,1,7,neutral,8.png,7002.JPG,0,None,None,None,None
trials,3,3,10,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,11,1,8,neutral,23.png,7009.JPG,0,None,None,None,None
trials,3,3,12,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,13,1,NA,NA,6.png,27.png,0,None,None,None,None
trials,3,3,14,1,8,neutral,7.png,7006.JPG,0,None,None,None,None
trials,3,3,15,1,NA,NA,16.png,empty.png,0,None,None,None,None
trials,3,3,16,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,17,1,7,positive,24.png,1590.JPG,0,None,None,None,None
trials,3,3,18,1,8,neutral,5.png,7705.JPG,0,None,None,None,None
trials,3,3,19,1,8,neutral,8.png,7002.JPG,0,None,None,None,None
trials,3,3,20,1,8,positive,24.png,1590.JPG,0,None,None,None,None
trials,3,3,21,1,NA,NA,empty.png,19.png,0,None,None,None,None
trials,3,3,22,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,23,1,7,negative,21.png,2900.1.JPG,0,None,None,None,None
trials,3,3,24,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,25,1,8,negative,14.png,9265.JPG,0,None,None,None,None
trials,3,3,26,1,8,negative,21.png,2900.1.JPG,0,None,None,None,None
trials,3,3,27,1,8,positive,26.png,1750.JPG,0,None,None,None,None
trials,3,3,28,1,NA,NA,22.png,13.png,0,None,None,None,None
trials,3,3,29,1,8,positive,1.png,1604.JPG,0,None,None,None,None
trials,3,3,30,1,9,negative,14.png,9265.JPG,0,None,None,None,None
trials,3,3,31,1,8,negative,10.png,9432.JPG,0,None,None,None,None
trials,3,3,32,1,9,neutral,8.png,7002.JPG,0,None,None,None,None
trials,3,3,33,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,34,1,NA,NA,19.png,empty.png,0,None,None,None,None
trials,3,3,35,1,8,negative,3.png,9331.JPG,0,None,None,None,None
trials,3,3,36,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,37,1,NA,NA,22.png,13.png,0,None,None,None,None
trials,3,3,38,1,9,positive,26.png,1750.JPG,0,None,None,None,None
trials,3,3,39,1,NA,NA,9280.JPG,5720.JPG,0,None,None,None,None
trials,3,3,40,1,9,positive,4.png,1540.JPG,0,None,None,None,None
trials,3,3,41,1,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,3,3,42,1,9,negative,21.png,2900.1.JPG,0,None,None,None,None
trials,3,3,43,1,NA,NA,empty.png,5250.JPG,0,None,None,None,None
trials,3,3,44,1,7,positive,18.png,1460.JPG,0,None,None,None,None
trials,3,3,45,1,7,neutral,12.png,7233.JPG,0,None,None,None,None
trials,3,3,46,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,47,1,9,negative,10.png,9432.JPG,0,None,None,None,None
trials,3,3,48,1,8,neutral,12.png,7233.JPG,0,None,None,None,None
trials,3,3,49,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,50,1,NA,NA,19.png,empty.png,0,None,None,None,None
trials,3,3,51,1,NA,NA,empty.png,2.png,0,None,None,None,None
trials,3,3,52,1,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,3,3,53,1,NA,NA,16.png,empty.png,0,None,None,None,None
trials,3,3,54,1,NA,NA,25.png,15.png,0,None,None,None,None
trials,3,3,55,1,10,negative,21.png,2900.1.JPG,1,10,0,0,None
trials,3,3,56,1,NA,NA,5780.JPG,9000.JPG,0,None,None,None,None
trials,3,3,57,1,9,negative,3.png,9331.JPG,0,None,None,None,None
trials,3,3,58,1,8,positive,18.png,1460.JPG,0,None,None,None,None
trials,3,3,59,1,9,positive,24.png,1590.JPG,0,None,None,None,None
trials,3,3,60,1,8,negative,20.png,2100.JPG,0,None,None,None,None
trials,3,3,61,1,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,3,3,62,1,10,negative,3.png,9331.JPG,0,None,None,None,None
trials,3,3,63,1,10,neutral,8.png,7002.JPG,1,0,0,10,None
trials,3,3,64,1,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,3,3,65,1,9,positive,1.png,1604.JPG,0,None,None,None,None
trials,3,3,66,1,NA,NA,25.png,15.png,0,None,None,None,None
trials,3,3,67,1,9,negative,9.png,2750.JPG,0,None,None,None,None
trials,3,3,68,1,NA,NA,5780.JPG,9000.JPG,0,None,None,None,None
trials,3,3,69,1,NA,NA,16.png,empty.png,0,None,None,None,None
trials,3,3,70,1,10,negative,10.png,9432.JPG,0,None,None,None,None
trials,3,3,71,1,NA,NA,25.png,15.png,0,None,None,None,None
trials,3,3,72,1,9,neutral,7.png,7006.JPG,0,None,None,None,None
trials,3,3,73,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,74,1,10,positive,4.png,1540.JPG,0,None,None,None,None
trials,3,3,75,1,9,neutral,12.png,7233.JPG,0,None,None,None,None
trials,3,3,76,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,77,1,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,3,3,78,1,9,neutral,5.png,7705.JPG,0,None,None,None,None
trials,3,3,79,1,9,neutral,23.png,7009.JPG,0,None,None,None,None
trials,3,3,80,1,NA,NA,empty.png,5250.JPG,0,None,None,None,None
trials,3,3,81,1,NA,NA,6.png,27.png,0,None,None,None,None
trials,3,3,82,1,NA,NA,5870.JPG,empty.png,0,None,None,None,None
trials,3,3,83,1,NA,NA,empty.png,2.png,0,None,None,None,None
trials,3,3,84,1,NA,NA,9280.JPG,5720.JPG,0,None,None,None,None
trials,3,3,85,1,NA,NA,empty.png,2.png,0,None,None,None,None
trials,3,3,86,1,NA,NA,empty.png,5870.JPG,0,None,None,None,None
trials,3,3,87,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,88,1,10,neutral,23.png,7009.JPG,0,None,None,None,None
trials,3,3,89,1,NA,NA,22.png,13.png,0,None,None,None,None
trials,3,3,90,1,9,negative,20.png,2100.JPG,0,None,None,None,None
trials,3,3,91,1,9,positive,18.png,1460.JPG,0,None,None,None,None
trials,3,3,92,1,10,positive,24.png,1590.JPG,1,0,10,0,None
trials,3,3,93,1,8,neutral,11.png,7000.JPG,0,None,None,None,None
trials,3,3,94,1,10,negative,20.png,2100.JPG,1,5,2,6,None
trials,3,3,95,1,NA,NA,5780.JPG,9000.JPG,0,None,None,None,None
trials,3,3,96,1,NA,NA,6.png,27.png,0,None,None,None,None
trials,3,3,97,1,10,negative,9.png,2750.JPG,0,None,None,None,None
trials,3,3,98,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,99,1,10,neutral,5.png,7705.JPG,0,None,None,None,None
trials,3,3,100,1,10,neutral,7.png,7006.JPG,0,None,None,None,None
trials,3,3,101,1,NA,NA,empty.png,5870.JPG,0,None,None,None,None
trials,3,3,102,1,10,neutral,12.png,7233.JPG,1,0,0,10,None
trials,3,3,103,1,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,3,3,104,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,3,105,1,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,3,3,106,1,9,positive,17.png,1620.JPG,0,None,None,None,None
trials,3,3,107,1,9,neutral,11.png,7000.JPG,0,None,None,None,None
trials,3,3,108,1,10,positive,26.png,1750.JPG,0,None,None,None,None
trials,3,3,109,1,10,negative,14.png,9265.JPG,0,None,None,None,None
trials,3,3,110,1,10,positive,18.png,1460.JPG,1,0,10,0,None
trials,3,3,111,1,10,neutral,11.png,7000.JPG,0,None,None,None,None
