phase,subject_nr,block,row,cond_order,stim1,valence,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,3,1,1,1,10.png,positive,1440.JPG,0,None,None,None,None,
trials,3,1,2,1,empty.png,NA,5611.JPG,0,None,None,None,None,
trials,3,1,3,1,11.png,negative,9331.JPG,0,None,None,None,None,
trials,3,1,4,1,14.png,neutral,7705.JPG,0,None,None,None,None,
trials,3,1,5,1,5660.JPG,NA,5720.JPG,0,None,None,None,None,
trials,3,2,6,1,empty.png,NA,5780.JPG,0,None,None,None,None,
trials,3,2,7,1,18.png,negative,9265.JPG,0,None,None,None,None,
trials,3,2,8,1,4.png,neutral,7006.JPG,0,None,None,None,None,
trials,3,2,9,1,empty.png,NA,empty.png,0,None,None,None,None,
trials,3,2,10,1,17.png,positive,1460.JPG,0,None,None,None,None,
trials,3,3,11,1,8.png,positive,1721.JPG,0,None,None,None,None,
trials,3,3,12,1,9280.JPG,NA,5250.JPG,0,None,None,None,None,
trials,3,3,13,1,24.png,neutral,7175.JPG,0,None,None,None,None,
trials,3,3,14,1,9000.JPG,NA,5870.JPG,0,None,None,None,None,
trials,3,3,15,1,14.png,neutral,7705.JPG,0,None,None,None,None,
trials,3,4,16,1,3.png,neutral,7009.JPG,0,None,None,None,None,
trials,3,4,17,1,17.png,positive,1460.JPG,0,None,None,None,None,
trials,3,4,18,1,21.png,positive,1590.JPG,0,None,None,None,None,
trials,3,4,19,1,17.png,positive,1460.JPG,0,None,None,None,None,
trials,3,4,20,1,7.png,negative,9432.JPG,0,None,None,None,None,
trials,3,5,21,1,empty.png,NA,empty.png,0,None,None,None,None,
trials,3,5,22,1,12.png,neutral,7035.JPG,0,None,None,None,None,
trials,3,5,23,1,empty.png,NA,16.png,0,None,None,None,None,
trials,3,5,24,1,9.png,negative,9041.JPG,0,None,None,None,None,
trials,3,5,25,1,empty.png,NA,6.png,0,None,None,None,None,
trials,3,6,26,1,17.png,positive,1460.JPG,1,None,None,None,None,
trials,3,6,27,1,14.png,neutral,7705.JPG,0,None,None,None,None,
trials,3,6,28,1,1.png,negative,2276.JPG,0,None,None,None,None,
trials,3,6,29,1,empty.png,NA,5780.JPG,0,None,None,None,None,
trials,3,6,30,1,5611.JPG,NA,empty.png,0,None,None,None,None,
phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,3,1,1,1,1,positive,1.png,1604.JPG,0,None,None,None,None
trials,3,1,2,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,3,1,1,neutral,7.png,7006.JPG,0,None,None,None,None
trials,3,1,4,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,5,1,1,negative,3.png,9331.JPG,0,None,None,None,None
trials,3,1,6,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,7,1,NA,NA,empty.png,5870.JPG,0,None,None,None,None
trials,3,1,8,1,NA,NA,6.png,27.png,0,None,None,None,None
trials,3,1,9,1,NA,NA,22.png,13.png,0,None,None,None,None
trials,3,1,10,1,1,neutral,8.png,7002.JPG,0,None,None,None,None
trials,3,1,11,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,12,1,1,positive,24.png,1590.JPG,0,None,None,None,None
trials,3,1,13,1,1,positive,4.png,1540.JPG,0,None,None,None,None
trials,3,1,14,1,1,positive,17.png,1620.JPG,0,None,None,None,None
trials,3,1,15,1,1,neutral,5.png,7705.JPG,0,None,None,None,None
trials,3,1,16,1,NA,NA,5870.JPG,empty.png,0,None,None,None,None
trials,3,1,17,1,1,neutral,12.png,7233.JPG,0,None,None,None,None
trials,3,1,18,1,2,neutral,7.png,7006.JPG,0,None,None,None,None
trials,3,1,19,1,2,neutral,12.png,7233.JPG,0,None,None,None,None
trials,3,1,20,1,1,negative,10.png,9432.JPG,0,None,None,None,None
trials,3,1,21,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,22,1,1,neutral,11.png,7000.JPG,0,None,None,None,None
trials,3,1,23,1,NA,NA,5780.JPG,9000.JPG,0,None,None,None,None
trials,3,1,24,1,NA,NA,6.png,27.png,0,None,None,None,None
trials,3,1,25,1,NA,NA,22.png,13.png,0,None,None,None,None
trials,3,1,26,1,2,neutral,5.png,7705.JPG,0,None,None,None,None
trials,3,1,27,1,NA,NA,2.png,empty.png,0,None,None,None,None
trials,3,1,28,1,1,positive,26.png,1750.JPG,0,None,None,None,None
trials,3,1,29,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,30,1,1,negative,9.png,2750.JPG,0,None,None,None,None
trials,3,1,31,1,NA,NA,19.png,empty.png,0,None,None,None,None
trials,3,1,32,1,2,neutral,11.png,7000.JPG,0,None,None,None,None
trials,3,1,33,1,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,3,1,34,1,1,positive,18.png,1460.JPG,0,None,None,None,None
trials,3,1,35,1,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,3,1,36,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,37,1,2,positive,17.png,1620.JPG,0,None,None,None,None
trials,3,1,38,1,2,positive,26.png,1750.JPG,0,None,None,None,None
trials,3,1,39,1,2,positive,4.png,1540.JPG,0,None,None,None,None
trials,3,1,40,1,1,negative,21.png,2900.1.JPG,0,None,None,None,None
trials,3,1,41,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,42,1,NA,NA,9280.JPG,5720.JPG,0,None,None,None,None
trials,3,1,43,1,3,neutral,11.png,7000.JPG,0,None,None,None,None
trials,3,1,44,1,1,neutral,23.png,7009.JPG,0,None,None,None,None
trials,3,1,45,1,2,negative,10.png,9432.JPG,0,None,None,None,None
trials,3,1,46,1,3,neutral,7.png,7006.JPG,0,None,None,None,None
trials,3,1,47,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,3,1,48,1,3,positive,26.png,1750.JPG,0,None,None,None,None
